Market Data - All Shares
As of  22/10/2020 

Name,Symbol ,ISIN,Index,Closing Price (0.01 NIS),Change (%),Turnover(NIS thousands),Last Trade
A.L.D.,ALD,IL0010840036,,180.60,0.00,0.00,EoD
ABILITY,ABIL,KYG8789K1242,,71.10,0.00,0.00,EoD
ACCEL,ACCL,IL0007700169,"TA-Growth, TA-AllShare",177.70,-1.28,378.87,EoD
ADGAR INV.,ADGR,IL0018200837,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Investment Properties Abroad",401.20,-2.12,520.61,EoD
ADKA,ADKA,IL0011436438,"TA-Growth, TA-AllShare",755.60,3.71,930.34,EoD
AERODROME GROUP,ARDM,IL0003630105,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Industrials",262.70,-3.24,1690.90,EoD
AFCON HOLD,AFHL,IL0005780130,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",10770.00,3.16,47.71,EoD
AFI PROPERTIES,AFPR,IL0010913544,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Investment Properties Abroad",7876.00,0.03,4299.12,EoD
AFRICA INDUST,AFID,IL0008000114,,451.00,0.00,0.00,EoD
AFRICA RESIDENC,AFRE,IL0010979487,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Construction",9276.00,0.37,493.86,EoD
AI SYSTEMS,AICS,IL0001690119,,270.50,5.42,24.24,EoD
AIRPORT CITY,ARPT,IL0010958358,"TA-35, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Investment Properties in Israel",3743.00,-0.93,21230.06,EoD
ALBAAD,ALBA,IL0006250125,"TA-SME60, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",7642.00,0.42,442.87,EoD
ALLIUM MEDICAL,ALMD,IL0011014508,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare",51.00,-2.86,73.18,EoD
ALLOT,ALLT,IL0010996549,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance",3496.00,-0.46,1365.77,EoD
ALMEDA        L,AMDA.L,IL0011689622,,777.90,-1.53,66.43,EoD
ALMOGIM,ALMA,IL0011368292,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Construction",318.90,0.00,2.22,EoD
ALON GAS,ALGS,IL0011176885,"TA-Growth, TA-AllShare, TA Oil & Gas Index",1031.00,0.49,8.63,EoD
ALONY HETZ,ALHE,IL0003900136,"TA-35, TA-125, TA-RealEstate, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Investment Properties in Israel",3445.00,-0.75,9451.92,EoD
ALROV PROPERT,ALRPR,IL0003870198,"TA-RealEstate, Tel-Div Index, TA-Growth, TA-AllShare, TA-Investment Properties Abroad",10040.00,-0.89,101.32,EoD
ALTSHU FUND PEN,ASPF,IL0011590374,"TA-90, TA-125, TA-Finance Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance",1566.00,-1.45,1986.75,EoD
AMANET,AMAN,IL0006540129,"TA-Growth, TA-AllShare",1404.00,0.07,27.67,EoD
AMIR MARK.,AMRK,IL0010922040,"TA-Growth, TA-AllShare",2169.00,0.28,257.74,EoD
AMOT,AMOT,IL0010972789,"TA-35, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Investment Properties in Israel",1532.00,-1.48,4026.42,EoD
ANALYST,ANLT,IL0010806136,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus",1560.00,-3.58,50.45,EoD
