Market Data - All Shares
As of  04/11/2020 14:31

Name,Symbol ,ISIN,Index,Last Price (0.01 NIS),Change (%),Turnover(NIS thousands),Last Trade
A.L.D.,ALD,IL0010840036,,171.00,,,
ABILITY,ABIL,KYG8789K1242,,71.10,,,
ACCEL,ACCL,IL0007700169,"TA-Growth, TA-AllShare",178.80,-0.72,73.06,14:27
ADGAR INV.,ADGR,IL0018200837,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Investment Properties Abroad",436.60,1.14,206.40,13:43
ADKA,ADKA,IL0011436438,"TA-Growth, TA-AllShare",1133.00,2.26,3270.48,14:30
AERODROME GROUP,ARDM,IL0003630105,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Industrials",233.00,3.10,1105.63,14:22
AFCON HOLD,AFHL,IL0005780130,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",11300.00,2.45,28.46,13:00
AFI PROPERTIES,AFPR,IL0010913544,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Investment Properties Abroad",8495.00,4.67,1374.49,14:31
AFRICA INDUST,AFID,IL0008000114,,451.00,,,
AFRICA RESIDENC,AFRE,IL0010979487,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Construction",9617.00,0.76,50.95,13:38
AI SYSTEMS,AICS,IL0001690119,,267.90,-0.04,1.94,14:02
AIRPORT CITY,ARPT,IL0010958358,"TA-35, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Investment Properties in Israel",3969.00,1.20,1316.69,14:25
ALBAAD,ALBA,IL0006250125,"TA-SME60, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",7724.00,-0.27,342.73,14:30
ALLIUM MEDICAL,ALMD,IL0011014508,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare",65.00,2.04,45.30,14:12
ALLOT,ALLT,IL0010996549,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance",3292.00,-0.87,1221.27,14:31
ALMEDA        L,AMDA.L,IL0011689622,,734.60,2.43,0.73,10:25
ALMOGIM,ALMA,IL0011368292,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Construction",313.00,1.66,22.43,13:53
ALON GAS,ALGS,IL0011176885,"TA-Growth, TA-AllShare, TA Oil & Gas Index",1072.00,,,
ALONY HETZ,ALHE,IL0003900136,"TA-35, TA-125, TA-RealEstate, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Investment Properties in Israel",3680.00,1.43,4550.84,14:27
ALROV PROPERT,ALRPR,IL0003870198,"TA-RealEstate, Tel-Div Index, TA-Growth, TA-AllShare, TA-Investment Properties Abroad",10080.00,1.82,20.19,13:33
ALTSHU FUND PEN,ASPF,IL0011590374,"TA-90, TA-125, TA-Finance Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance",1675.00,3.01,3816.89,14:28
AMANET,AMAN,IL0006540129,"TA-Growth, TA-AllShare",1425.00,0.07,13.48,14:19
AMIR MARK.,AMRK,IL0010922040,"TA-Growth, TA-AllShare",2147.00,0.05,9.53,11:02
AMOT,AMOT,IL0010972789,"TA-35, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Investment Properties in Israel",1729.00,0.93,5440.69,14:29
