Symbol,Name,"Wtd Alpha",Last,Change,%Chg,"52W High","52W Low","52W %Chg",Time
AAPL,"Apple Inc",+78.30,116.29,-0.029999999999987,-0.03%,137.98,53.15,+79.80%,"16:01 ET"
ADBE,"Adobe Systems Inc",+44.30,452.93,-18.21,-3.87%,536.88,255.13,+54.56%,"16:02 ET"
ADI,"Analog Devices",+26.60,134.92,-0.90000000000001,-0.66%,140.38,79.07,+19.35%,"16:01 ET"
ADP,"Automatic Data Procs",+13.70,171.06,1.17,+0.69%,182.32,103.11,+5.48%,"15:59 ET"
ADSK,"Autodesk Inc",+51.00,248.37,-14.24,-5.42%,276.68,125.38,+62.51%,"16:03 ET"
ALGN,"Align Technology",+76.00,464.31,-12.68,-2.66%,507.05,127.88,+78.74%,"15:59 ET"
ALXN,"Alexion Pharm Inc",+25.80,127.1,2.22,+1.78%,128.57,72.67,+15.19%,"15:59 ET"
AMAT,"Applied Materials",+29.30,69.39,-1.91,-2.68%,75.93,36.64,+24.02%,"15:59 ET"
AMD,"Adv Micro Devices",+85.70,77.98,-5.14,-6.18%,94.28,35.58,+115.91%,"16:00 ET"
AMGN,"Amgen Inc",+10.30,241.62,6.62,+2.82%,264.97,177.05,+9.91%,"15:59 ET"
AMZN,"Amazon.com Inc",+66.50,3037.16,-106.58,-3.39%,3552.25,1626.03,+70.49%,"16:01 ET"
ANSS,"Ansys Inc",+34.80,319.49,-8.98,-2.73%,357.92,200.07,+43.70%,"15:59 ET"
ASML,"Asml Hld NY Reg",+49.20,399.86,-6.47,-1.59%,420.65,191.25,+50.16%,"16:00 ET"
ATVI,"Activision Blizzard",+32.90,75,-0.41,-0.54%,87.73,50.51,+38.77%,"16:00 ET"
AVGO,"Broadcom Ltd",+23.50,363.39,-12.15,-3.24%,393.89,155.67,+15.92%,"15:59 ET"
BIDU,"Baidu Inc",+30.10,143.23,-0.96000000000001,-0.67%,148.38,82,+14.51%,"15:59 ET"
BIIB,"Biogen Inc",-25.30,236.39,0.13,+0.06%,374.99,223.25,-19.23%,"15:59 ET"
BKNG,"Booking Holdings Inc",+17.10,2008.62,-109.62,-5.18%,2128.02,1107.29,+6.55%,"15:59 ET"
BMRN,"Biomarin Pharmaceuticals",+17.00,76.08,0.98999999999999,+1.32%,131.95,68.25,+0.29%,"15:59 ET"
CDNS,"Cadence Design Sys",+67.10,112.4,-6.17,-5.20%,127.5,51.39,+67.66%,"16:01 ET"
CDW,"CDW Corp",+12.80,137.59,-6.36,-4.42%,146.95,73.39,+3.58%,"15:59 ET"
CERN,"Cerner Corp",+11.00,74.72,0.84999999999999,+1.15%,80.9,53.08,+11.34%,"15:59 ET"
