"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,quarterized_revenue,quarterized_earnings,effective_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,skip_reason
HAPP,Happiness Biotech Group Limited,Healthcare,China,7e-05,63481805.86667,15059207.06667,12121334.4,1700195.4,8379701.23333,37801570.13333,63481805.86667,15059207.06667,12121334.4,1700195.4,8379701.23333,37801570.13333,0.059,0.059,2.14555,0,2.14555,0.79683,2.14555,0.328,0.13402,1.3403,5.625,0.35437,2.5,0.89628,0.03496,0,0.797,1.72,0.46337,0.59375,25900000,7449041,0.28761,151,3279120,44289000,49331.39735,-0.622,0.02115,-0.08678,0.02115,-0.08678,0.02115,-0.48819,0.56181,0.02115,1.15576,1,1,9972364.33333,3638836.2,0.32882,0.90115,0.61498,0.13632,0.06755,0.10193,0.31927,USD,1.0,0.015,0,0,0,1.72,1.6,3.25,1.93061,-10.90913,7.5,-47.07692,0.14545,0.14645,12.87447,15.81152,2.50441,3.41124,0.0,0.0,10.62621,12.79513,14.353,2.96782,0.01,11.72067,13.03683,None
SJ,Scienjoy Holding Corporation,Communication Services,China,9e-05,1065857428.57143,158710857.14286,372472333.33333,11371333.33333,85041095.2381,719164880.95238,1065857428.57143,158710857.14286,372472333.33333,11371333.33333,85041095.2381,719164880.95238,0.001,0.001,2.87922,0,2.87922,0.20034,2.87922,0.008,0.14409,0.0,0.0,0.0,0.0,0.09234,0.00968,0,0,8.11,0.0,1000.0,30606500,176100000,5.75368,10000000,1534217,244852000,17.61,0.10962,0.13046,0.10962,0.13046,0.10962,0.13046,0.10962,1.59808,0.13046,1.70232,1,1,169546000.0,48282400.0,0.00905,0.03178,0.02041,1.35175,1.16931,1.26053,1.12273,USD,1.0,0,0,0,0,8.11,5.24,18.5,9.0288,-10.17635,54.77099,-56.16216,0.43288,0.43388,2.2456,2.12145,0.06331,0.25324,0.09401,0.06937,1.85981,1.80165,2.19353,0.16828,0.09169,1.84073,2.01713,None
GRVY,"GRAVITY Co., Ltd.",Communication Services,South Korea,0.00042,317190509.38667,43256883.06133,98376735.18933,15082595.968,29169739.51467,207783622.288,317190509.38667,43256883.06133,98376735.18933,15082595.968,29169739.51467,207783622.288,-0.432,4.48403,16.6208,0,16.6208,0.0023,16.6208,31.94093,0.15446,4.61948,34.80469,0.37693,2.5,2.77946,0.09078,0,8.067,130.59,0.06177,0.00527,6948900,62703087616,9023.45517,279,931708544,931708544,224742249.51971,48.72,0.11465,0.21879,0.11465,0.21879,0.11465,36.5947,184.02348,0.11465,1.62325,1,1,44728714.85867,11182178.71467,20.83021,83.32084,52.07553,0.68152,0.51535,0.59843,0.77358,KRW,0.00088,0,0,0,0,130.59,49.5,239.9,148.40453,-12.00403,163.81818,-45.56482,0.85179,0.85279,2.73599,2.9503,0.16274,0.11259,4.89922,2.60946,2.67534,2.89945,2.85315,0.14767,3.76434,2.7974,2.82527,None
LEJU,Leju Holdings Limited,Real Estate,China,0.00064,654214735.26667,842907.86667,206698816.13333,6530148.53333,3686528.2,430456775.7,654214735.26667,842907.86667,206698816.13333,6530148.53333,3686528.2,430456775.7,0.021,0.021,14.71429,4.20408,12.08673,0.39055,12.08673,0.399,0.02683,-0.01474,0.0,0.0753,2.5,0.05859,0.02044,0.49,0.14,2.03,0.06897,0.94887,136412992,19302238,0.1415,2251,15358329,281010752,8574.96135,0.359,0.08519,0.55072,0.08519,0.55072,0.08519,0.40693,3.08465,0.08519,1.47594,0.21,0.21,55063883.26667,50535154.0,0.27892,0.30391,0.29142,1.05209,1.27327,1.16268,1.07828,USD,1.0,0.2,0,0,0,0.14444,1.716,6.96,2.50723,-19.03403,18.29837,-70.83333,0.11976,0.12076,1.97823,1.78657,0.20235,0.08969,4.63028,4.65196,1.65907,1.57745,1.8924,0.15602,4.65112,1.62826,1.76033,None
PKX,POSCO,Basic Materials,South Korea,0.00169,53411330835.14977,1544626347.75563,12973985452.39045,466160131.04965,1005393239.40264,33192658143.77011,53411330835.14977,1544626347.75563,12973985452.39045,466160131.04965,1005393239.40264,33192658143.77011,0.143,0.143,17.44816,10.88211,15.80664,0.00041,15.80664,1.38,0.02772,0.07231,2.5,0.0885,2.5,0.08519,0.03871,7.21,4.49675,77.84,0.05777,0.00054,302502016,1595459371008,5274.2107,10000000,8241632772096,23642900480,159545.9371,12.834,-0.02719,-0.06207,-0.02719,-0.06207,-0.02719,9.60998,49.09991,-0.02719,1.02281,1,1,6503274907.47616,2118521030.95248,1267.30499,3890.27659,2578.79079,0.71029,0.74009,0.72519,0.85158,KRW,0.00088,1.0048,0.33866,0.10526,0.3026,77.84,35.78,92.19,68.20511,14.12635,117.5517,-15.56568,1.49122,10.99661,2.51536,2.45553,0.20839,0.20112,2.38228,2.33857,2.04701,2.09881,2.49544,0.21475,2.37042,2.08291,2.28917,None
APT,"Alpha Pro Tech, Ltd.",Industrials,Canada,0.00578,76368866.66667,15904733.33333,28094266.66667,7303600.0,11604166.66667,52231566.66667,76368866.66667,15904733.33333,28094266.66667,7303600.0,11604166.66667,52231566.66667,0.982,0.982,4.11856,6.88793,4.8109,1.05032,4.8109,3.123,0.26374,0.96839,5.625,0.65118,2.5,0.78709,0.43864,1.16,1.94,8.02,0.2419,1.78667,13500300,27086000,2.00633,115,100897232,107867392,235530.43478,21.143,0.2186,0.45316,0.2186,0.45316,0.2186,15.97054,80.9027,0.2186,2.14298,0.54,0.54,11106933.33333,2346666.66667,9.08417,42.99598,26.04007,0.13157,0.18703,0.1593,0.39912,USD,1.0,0,0,0,0,8.02,7.64,25.55,11.70185,-31.46384,4.97382,-68.61057,0.04243,0.04343,9.29495,6.77358,0.03163,0.12652,0.0,0.0,10.53784,7.60632,8.04426,0.08907,0.01,9.08208,8.56317,None
CEPU,Central Puerto S.A.,Utilities,Argentina,0.01496,392389361.496,114906878.508,110947925.172,11929703.712,63418291.11,251668643.334,392389361.496,114906878.508,110947925.172,11929703.712,63418291.11,251668643.334,1.055,1.055,5.40816,1.93431,4.5397,0.01789,4.5397,1.771,0.16811,0.90531,2.5,0.28051,2.5,0.63148,0.03371,1.37,0.49,2.48,0.19758,0.00473,150516992,6195338240,41.16039,10000000,38891159552,659206080,619.53382,-0.355,-0.66567,-0.16811,-0.14197,-0.16811,-0.14197,-0.30828,0.74172,-0.26812,1.51655,0.06,0.06,166110027.564,50937863.58,234.12891,763.50198,498.81544,0.90916,0.83486,0.87201,0.93381,ARS,0.01062,0.119,0.341,0,0,2.48,1.9,3.15,2.33237,-15.41554,4.0,-21.26984,0.1216,0.1226,2.12057,2.20387,0.5405,0.77428,2.11527,2.05552,1.31763,1.32581,2.17222,0.66739,2.0954,1.33172,1.75197,None
HMY,Harmony Gold Mining Company Lim,Basic Materials,South Africa,0.0192,1740685980.0,-112735880.0,650279400.0,135940350.0,11602235.0,1195482690.0,1740685980.0,-112735880.0,650279400.0,135940350.0,11602235.0,1195482690.0,0.114,0.114,11.72414,14.57143,12.43596,0.08536,12.43596,0.532,0.10111,-0.06977,0.0,0.18227,1.0,0.13308,0.30186,0.35,0.435,5.01,0.08683,0.09866,609897984,3575000064,5.86164,33093,4045499904,3017929984,108028.89022,3.343,0.06613,0.21595,0.06613,0.21595,0.06613,2.56124,13.85618,0.06613,1.38067,1,1,294751760.0,163063470.0,13.72511,24.80936,19.26723,0.74909,0.69854,0.72382,0.85077,ZAR,0.06495,0.077,0.027,0.038,0.037,5.01,2.93,7.61,4.58095,9.36599,70.98976,-34.16557,0.88889,0.88989,2.45478,2.4611,1.55453,0.29192,0.72759,0.73574,1.31858,1.30559,2.46794,0.93322,0.74167,1.32208,1.89501,None
QD,Qudian Inc.,Financial Services,China,0.02298,861751643.82203,285270623.72276,123919591.69968,78104754.97339,181687689.34807,492835617.76086,861751643.82203,285270623.72276,123919591.69968,78104754.97339,181687689.34807,492835617.76086,-1.388,1.1195,3.93502,3.51613,3.8303,0.15259,7.66059,3.0367,0.26518,0.78501,2.5,3.34373,4.8125,2.18287,0.29536,0.62,0.554,2.14,0.25888,0.04635,253088000,958818688,3.78848,1047,551731840,551731840,915777.16141,4.27,-0.69356,-0.26355,-0.18556,-0.26355,-0.18556,3.13661,16.73306,2.80439,15.1462,-4.58,45.8,524489421.77654,131122355.44414,1.05194,4.20776,2.62985,0.34637,0.17967,0.26302,0.51285,CNY,0.15351,0,0,0,0,2.14,1.17,3.82,2.03737,5.03725,82.90598,-43.97906,0.73208,0.73308,6.09236,7.42331,1.53521,1.78164,39.7402,83.52623,14.87935,17.53662,6.76783,1.66843,61.64321,16.21799,11.49291,None
FFHL,"Fuwei Films (Holdings) Co., Ltd",Consumer Cyclical,China,0.03295,51111359.18,1146054.49,13068910.106,-737666.72,204193.885,32090134.643,51111359.18,1146054.49,13068910.106,-737666.72,204193.885,32090134.643,0.157,0.157,8.97519,0,8.97519,0.08069,8.97519,0.524,0.05823,0.2878,13.92188,-0.05336,0.0,0.18347,0.09165,0,0.927,8.14,0.11388,0.11928,3265840,19610000,6.00458,208,52842296,27171788,94278.84615,0.4878,0.01166,0.4878,0.01166,0.4878,0.01166,0.4878,3.48901,0.01166,1.1083,1,1,12478735.794,6160724.724,4.23459,8.57729,6.40594,1.10429,0.92602,1.01516,1.00755,CNY,0.15351,0,0,0,0,8.14,2.3,17.12,9.4743,-14.08334,253.91304,-52.45327,0.78812,0.78912,1.92456,2.08973,4.39712,2.63366,8.75878,8.85081,1.01557,1.12297,2.01714,3.52539,8.8148,1.07927,1.54821,None
