"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,quarterized_revenue,quarterized_earnings,effective_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,skip_reason
HAPP,Happiness Biotech Group Limited,Healthcare,China,7e-05,63481805.86667,15059207.06667,12121334.4,1700195.4,8379701.23333,37801570.13333,63481805.86667,15059207.06667,12121334.4,1700195.4,8379701.23333,37801570.13333,0.059,0.059,2.14555,0,2.14555,0.79683,2.14555,0.328,0.13402,1.3403,5.625,0.35437,2.5,0.89628,0.03496,0,0.797,1.72,0.46337,0.59375,25900000,7449041,0.28761,151,3279120,44289000,49331.39735,-0.622,0.02115,-0.08678,0.02115,-0.08678,0.02115,-0.48819,0.56181,0.02115,1.15576,1,1,9972364.33333,3638836.2,0.32882,0.90115,0.61498,0.13632,0.06755,0.10193,0.31927,USD,1.0,0.015,0,0,0,1.72,1.6,3.25,1.93061,-10.90913,7.5,-47.07692,0.14545,0.14645,12.87447,15.81152,2.50441,3.41124,0.0,0.0,10.62621,12.79513,14.353,2.96782,0.01,11.72067,13.03683,None
LEJU,Leju Holdings Limited,Real Estate,China,0.00064,654214735.26667,842907.86667,206698816.13333,6530148.53333,3686528.2,430456775.7,654214735.26667,842907.86667,206698816.13333,6530148.53333,3686528.2,430456775.7,0.021,0.021,14.71429,4.20408,12.08673,0.39055,12.08673,0.399,0.02683,-0.01474,0.0,0.0753,2.5,0.05859,0.02044,0.49,0.14,2.03,0.06897,0.94887,136412992,19302238,0.1415,2251,15358329,281010752,8574.96135,0.359,0.08519,0.55072,0.08519,0.55072,0.08519,0.40693,3.08465,0.08519,1.47594,0.21,0.21,55063883.26667,50535154.0,0.27892,0.30391,0.29142,1.05209,1.27327,1.16268,1.07828,USD,1.0,0.2,0,0,0,0.14444,1.716,6.96,2.50723,-19.03403,18.29837,-70.83333,0.11976,0.12076,1.97823,1.78657,0.20235,0.08969,4.63028,4.65196,1.65907,1.57745,1.8924,0.15602,4.65112,1.62826,1.76033,None
PKX,POSCO,Basic Materials,South Korea,0.00169,53411330835.14977,1544626347.75563,12973985452.39045,466160131.04965,1005393239.40264,33192658143.77011,53411330835.14977,1544626347.75563,12973985452.39045,466160131.04965,1005393239.40264,33192658143.77011,0.143,0.143,17.44816,10.88211,15.80664,0.00041,15.80664,1.38,0.02772,0.07231,2.5,0.0885,2.5,0.08519,0.03871,7.21,4.49675,77.84,0.05777,0.00054,302502016,1595459371008,5274.2107,10000000,8241632772096,23642900480,159545.9371,12.834,-0.02719,-0.06207,-0.02719,-0.06207,-0.02719,9.60998,49.09991,-0.02719,1.02281,1,1,6503274907.47616,2118521030.95248,1267.30499,3890.27659,2578.79079,0.71029,0.74009,0.72519,0.85158,KRW,0.00088,1.0048,0.33866,0.10526,0.3026,77.84,35.78,92.19,68.20511,14.12635,117.5517,-15.56568,1.49122,10.99661,2.51536,2.45553,0.20839,0.20112,2.38228,2.33857,2.04701,2.09881,2.49544,0.21475,2.37042,2.08291,2.28917,None
CEPU,Central Puerto S.A.,Utilities,Argentina,0.01496,392389361.496,114906878.508,110947925.172,11929703.712,63418291.11,251668643.334,392389361.496,114906878.508,110947925.172,11929703.712,63418291.11,251668643.334,1.055,1.055,5.40816,1.93431,4.5397,0.01789,4.5397,1.771,0.16811,0.90531,2.5,0.28051,2.5,0.63148,0.03371,1.37,0.49,2.48,0.19758,0.00473,150516992,6195338240,41.16039,10000000,38891159552,659206080,619.53382,-0.355,-0.66567,-0.16811,-0.14197,-0.16811,-0.14197,-0.30828,0.74172,-0.26812,1.51655,0.06,0.06,166110027.564,50937863.58,234.12891,763.50198,498.81544,0.90916,0.83486,0.87201,0.93381,ARS,0.01062,0.119,0.341,0,0,2.48,1.9,3.15,2.33237,-15.41554,4.0,-21.26984,0.1216,0.1226,2.12057,2.20387,0.5405,0.77428,2.11527,2.05552,1.31763,1.32581,2.17222,0.66739,2.0954,1.33172,1.75197,None
HMY,Harmony Gold Mining Company Lim,Basic Materials,South Africa,0.0192,1740685980.0,-112735880.0,650279400.0,135940350.0,11602235.0,1195482690.0,1740685980.0,-112735880.0,650279400.0,135940350.0,11602235.0,1195482690.0,0.114,0.114,11.72414,14.57143,12.43596,0.08536,12.43596,0.532,0.10111,-0.06977,0.0,0.18227,1.0,0.13308,0.30186,0.35,0.435,5.01,0.08683,0.09866,609897984,3575000064,5.86164,33093,4045499904,3017929984,108028.89022,3.343,0.06613,0.21595,0.06613,0.21595,0.06613,2.56124,13.85618,0.06613,1.38067,1,1,294751760.0,163063470.0,13.72511,24.80936,19.26723,0.74909,0.69854,0.72382,0.85077,ZAR,0.06495,0.077,0.027,0.038,0.037,5.01,2.93,7.61,4.58095,9.36599,70.98976,-34.16557,0.88889,0.88989,2.45478,2.4611,1.55453,0.29192,0.72759,0.73574,1.31858,1.30559,2.46794,0.93322,0.74167,1.32208,1.89501,None
TSM,Taiwan Semiconductor Manufactur,Technology,Taiwan,0.03336,42969903199.304,15657450577.24267,12792449181.81467,4965544069.444,10311497323.34333,27881176190.55933,42969903199.304,15657450577.24267,12792449181.81467,4965544069.444,10311497323.34333,27881176190.55933,0.058,0.058,32.04022,26.20833,30.58224,0.40941,10.19408,0.087,0.38861,2.03178,5.625,2.42604,6.25,2.03234,0.18908,4.56,3.73,116.82,0.03193,0.31931,5186079744,540588376064,104.23835,10000000,81006960640,569517735936,54058.83761,0.194,0.07294,0.11313,0.07294,0.11313,0.07294,0.17378,1.91891,0.07294,1.41472,1.89,1.89,25673498972.07467,8103788432.75143,3.15528,9.99618,6.57573,0.42313,0.49137,0.45725,0.6762,TWD,0.03574,0.43985,0.44643,0.43502,0.42387,116.82,54.52,142.2,116.70949,0.09469,114.26999,-17.8481,1.42108,8.23579,3.49993,3.03974,0.025,0.02552,1.76269,2.59799,1.83551,1.70038,3.27983,0.03526,2.19034,1.77794,2.52889,None
BMA,Banco Macro S.A.,Financial Services,Argentina,0.0359,933503016.18,272900795.508,249209771.724,85620990.924,179260893.216,591356393.952,933503016.18,272900795.508,249209771.724,85620990.924,179260893.216,591356393.952,-2.854,3.20422,3.49603,3.12966,3.40444,0.02026,6.80888,10.57028,0.32365,1.99226,6.875,0.8544,2.5,1.43878,0.08967,5.63,5.04,17.27,0.29184,0.00761,63941300,30268991488,473.38718,8561,1894837248,1894837248,3535684.08924,-0.038,-0.66875,0.1755,0.06249,0.1755,0.06249,0.01537,1.12687,0.06249,1.36245,0.19,0.19,339079295.772,217775267.688,5.58818,8.70088,7.14453,4.05301,4.2112,4.1321,2.03276,ARS,0.01062,2.202,2.23454,0.002,0.753,17.27,11.45,26.79,14.5003,19.10101,50.82969,-35.53565,0.7588,0.7598,1.25279,1.23872,1.3634,1.02069,46.22336,40.54663,0.59065,0.63728,1.25575,1.20205,43.395,0.62397,0.93986,None
SUPV,Grupo Supervielle S.A.,Financial Services,Argentina,0.04819,397683608.496,599270.316,122860636.884,9693865.908,5146568.112,260272122.69,397683608.496,599270.316,122860636.884,9693865.908,5146568.112,260272122.69,-0.894,1.33607,5.68293,6.47222,5.88025,0.00848,11.7605,67.56752,0.08538,-0.01126,0.0,0.2008,2.5,0.14753,0.02688,0.36,0.41,2.18,0.18807,0.00597,91344496,3499881984,38.31519,4943,347740832,347740832,708048.14566,38.649,-0.66763,0.5075,0.07373,0.5075,0.07373,29.11363,146.61813,26.20964,132.09818,-0.43,4.3,148312558.62,78739450.404,2.34465,4.41635,3.3805,5.87768,6.19433,6.03601,2.45683,ARS,0.01062,0.027,0.04092,0.075,0.115,2.18,1.53,3.68,1.90266,1.40782,42.48366,-40.76087,0.60465,0.60565,1.17228,1.16211,3.06273,6.2972,22.99537,31.50595,0.34149,0.42984,1.1772,4.68996,27.26066,0.39567,0.78643,None
KT,KT Corporation,Communication Services,South Korea,0.08864,21068409765.33333,556160528.0,5353187488.0,113383248.0,334771888.0,13210798626.66667,21068409765.33333,556160528.0,5353187488.0,113383248.0,334771888.0,13210798626.66667,0.264,0.264,12.59507,10.18243,11.99191,0.0003,11.99191,1.47,0.02751,0.066,2.5,0.13384,6.25,0.10927,0.27768,1.48,1.1965,15,0.07977,0.00053,475596992,658025021440,1383.57692,10000000,6302252138496,7258992640,65802.50214,2.316,4e-05,0.03595,4e-05,0.03595,4e-05,1.74599,9.77993,4e-05,1.05022,1,1,3801481786.66667,1020930944.0,1657.84094,6173.04449,3915.44271,1.34257,1.33829,1.34043,1.15777,KRW,0.00088,0.60637,0.44444,0.46733,0.35094,15,9.17,15.35,11.94489,25.5767,63.57688,-2.28013,1.88673,45.10871,1.82943,1.83185,0.27887,0.48009,1.77365,1.79951,1.2015,1.22271,1.84064,0.38948,1.79658,1.22211,1.53137,None
ESGR,Enstar Group Limited,Financial Services,Bermuda,0.41905,2160909200.0,1186914933.33333,893196400.0,683666933.33333,935290933.33333,1527052800.0,2160909200.0,1186914933.33333,893196400.0,683666933.33333,935290933.33333,1527052800.0,0.274,0.274,3.15736,16.58667,6.51469,2.06738,13.02937,0.436,0.65966,0.45336,1.0,3.43599,4.375,2.22666,0.84394,15,78.8,249.95,0.31526,0.813,18597500,1703092992,91.57645,1189,728424192,5500271616,1432374.25736,3.101,0.17439,0.3162,0.17439,0.3162,0.17439,2.4048,13.074,0.17439,1.92193,2.13,2.13,1969526200.0,918607866.66667,0.36985,0.79297,0.58141,2.61013,2.54703,2.57858,1.6058,USD,1.0,3.0,0,0,0,249.95,147.04,269.12,228.16689,9.54701,69.98776,-7.12322,1.68594,22.96457,1.42701,1.43304,4.88659,4.52576,0.23941,0.27059,9.60564,7.87775,1.44003,4.71618,0.265,8.7517,5.09586,None
GGAL,Grupo Financiero Galicia S.A.,Financial Services,Argentina,0.57728,1855046998.332,233899707.144,522182705.352,62228879.784,148064293.464,1188614851.842,1855046998.332,233899707.144,522182705.352,62228879.784,148064293.464,1188614851.842,-0.901,2.06941,5.09231,4.965,5.06048,0.01323,10.12096,16.61259,0.14226,0.11564,1.0,0.30436,2.5,0.24108,0.07396,2,1.95,9.37,0.20811,0.00814,147468992,26439047168,179.28547,9271,2459730688,2459730688,2851801.01046,0.298,-0.66871,0.10903,0.06286,0.10903,0.06286,0.25076,2.30378,0.06286,1.36431,-0.09,0.9,723501679.116,250839648.612,3.39976,9.80599,6.60287,5.53031,5.01381,5.27206,2.2961,ARS,0.01062,0.064,0.082,0.313,0.362,9.37,5.86,14.94,8.0962,15.73324,59.89761,-37.28246,0.77313,0.77413,1.18961,1.20183,3.74322,4.32429,24.55986,21.53642,0.58212,0.60783,1.20572,4.04375,23.05814,0.60498,0.90535,None
VALE,VALE S.A.,Basic Materials,Brazil,0.92554,30101066193.33333,2918080438.0,11701712670.66667,3423973620.66667,3171027029.33333,20901389432.0,30101066193.33333,2918080438.0,11701712670.66667,3423973620.66667,3171027029.33333,20901389432.0,0.544,0.544,11.13039,6.46974,9.96523,0.46714,9.96523,0.914,0.2283,0.20839,2.25,0.74048,2.5,0.52813,0.23158,3.47,2.017,22.4,0.09004,0.55516,5130800128,56292999168,10.97158,74316,134033735680,115186466816,757481.55401,30.061,-0.66246,0.31222,0.12536,0.31222,0.12536,22.6238,114.16902,20.37396,102.9198,0.12,0.12,10551818629.33333,5746506033.33333,12.70243,23.32439,18.01341,1.41891,1.46009,1.4395,1.19979,BRL,0.17101,0.75882,0.42676,0.26078,0.398,22.4,10.06,23.02,18.0073,24.394,122.66402,-7.61946,1.90432,47.69149,1.71471,1.66755,0.19238,0.07629,0.65842,0.66204,1.54036,1.83125,1.70113,0.14434,0.67023,1.6958,1.69847,None
IMOS,ChipMOS TECHNOLOGIES INC.,Technology,Taiwan,1.16047,763271734.06267,82738190.54133,213654024.98133,21414307.208,52076248.87467,488462879.522,763271734.06267,82738190.54133,213654024.98133,21414307.208,52076248.87467,488462879.522,0.234,0.234,14.39565,32.78218,18.99228,0.05275,6.33076,0.708,0.10288,0.61151,5.625,0.2494,2.5,0.44539,0.06969,1.01,2.3,33.35,0.06897,0.05779,36362000,2367482880,65.10871,10000000,5395118080,1213918592,236.74829,0.295,-0.6699,0.01597,0.05103,0.01597,0.05103,0.22524,2.17621,0.05103,1.30516,1,1,199927267.87467,59625892.612,26.9854,90.48281,58.73411,0.73118,0.72021,0.72569,0.85188,TWD,0.03574,1.209,0.773,0.969,0.194,33.35,18.2,36.31,27.91029,19.48997,83.24176,-8.15202,1.67311,21.93538,2.3761,2.3978,0.0,0.0,0.39963,0.37004,2.25136,2.49712,2.39695,0.01,0.39484,2.38424,2.3906,None
