"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,quarterized_revenue,quarterized_earnings,effective_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,skip_reason
TLV:ABIL,ABILITY INC,Technology,Israel,1e+50,1693200.0,-7635000.0,421000.0,-1342300.0,-4488650.0,1057100.0,1693200.0,-7635000.0,421000.0,-1342300.0,-4488650.0,1057100.0,2.86614,2.86614,1563671.7213,1563671.7213,1563671.7213,1.66314,521223.9071,-1.10205,0,0.0,0.0,0.0,0.0,0.01,0.03946,0,-0.938,208.8,-0.00449,10000.0,7972390,-6709000,-0.84153,10,4946707,2870583,-670900.0,0.07351,0.0345,0.07351,0.0345,0.07351,0.0345,0.07351,1.41756,0.0345,1.22248,1,1,-3962733.33333,10400.0,2451.12994,475.64496,1463.38745,-0.16933,-2.58778,14.78555,3.8452,USD,ILS,1.0,0.30034,0,0,0,0,1.3418,69.1,380,163.82292,27.45469,202.17077,-45.05263,0.89868,0.89968,0.77139,0.61171,0.84432,0.83243,7.52261,4.71154,0.71359,0.57295,0.70155,0.84838,6.12708,0.65327,0.67741,None
TLV:ABRA,ABRA TECH,Technology,Israel,12038.89086,18581400.0,-12050466.66667,22532300.0,4175733.33333,-3937366.66667,20556850.0,18581400.0,-12050466.66667,22532300.0,4175733.33333,-3937366.66667,20556850.0,0.82413,0.82413,7.51417,7.51417,7.51417,1.21412,2.50472,60.539,0.15254,0.0,0.0,0.0,0.0,0.09717,0.42577,0,0.159,393.6,0.0004,0.55908,62814000,9429000,0.15011,352,50947159,75047181,26786.93182,-0.57555,0.39177,-0.57555,0.39177,-0.57555,0.39177,-0.57555,0.47445,0.39177,3.00885,1,1,5831066.66667,925566.66667,8.73719,55.04429,31.89074,0.28574,0.41948,0.35261,0.59381,USD,ILS,1.0,0.30034,29.1911,245.464,161.365,107.2049,0.48141,225.1,456,339.31805,15.99737,74.85562,-13.68421,1.45951,9.66576,19.10708,3.71693,0.30872,0.0095,0.11423,0.14727,10.60497,3.72292,11.42201,0.16911,0.14075,7.17394,9.29798,None
TLV:ACCL,ACCEL SOLUTIONS GR,Technology,Israel,1e+50,54300466.66667,-2694666.66667,17954533.33333,-58733.33333,-1376700.0,36127500.0,54300466.66667,-2694666.66667,17954533.33333,-58733.33333,-1376700.0,36127500.0,0.84215,0.84215,18404.87591,18404.87591,18404.87591,1.12742,6134.95864,53.923,-0.09114,0.0,0.0,0.0,0.0,-0.00302,0.35625,0,-0.068,212.1,-0.00032,1.47201,116817000,-6047000,-0.05176,25,55873778,74800830,-241880.0,1.218,0.23014,-0.49853,0.23014,-0.49853,0.23014,0.78887,4.99434,0.23014,2.20069,1,1,-630000.0,-676266.66667,699955935.35519,566038751.84676,632997343.60097,1.35901,1.0403,1.19966,1.09529,USD,ILS,1.0,0.30034,64.3205,173.616,4.602,47.5795,0.90506,95.5,299,234.98958,-9.74068,122.09424,-29.06355,1.14595,2.26457,3.96836,2.19816,0.61772,0.38687,0.00373,0.0054,2.45469,2.12417,3.09326,0.51229,0.01456,2.29943,2.69634,None
TLV:ACE,ACE CAPITAL RETAIL,Consumer Cyclical,Israel,11935.5694,624690800.0,24388000.0,183259066.66667,8914666.66667,16651333.33333,403974933.33333,624690800.0,24388000.0,183259066.66667,8914666.66667,16651333.33333,403974933.33333,0.33248,0.33248,3.08949,3.08949,3.08949,0.20663,3.08949,9.741,0.063,0.0,0.0,0.0,0.0,0.046,0.81862,0,2.128,2165,0.00098,1.06867,23015000,46134000,2.00452,990,243563514,151310792,46600.0,0.20774,0.05097,0.20774,0.05097,0.20774,0.05097,0.20774,2.08871,0.05097,1.30483,1,1,101393266.66667,25393133.33333,2.40217,9.59171,5.99694,6.48685,5.51469,6.00077,2.44965,USD,ILS,1.0,0.30034,36.3477,86.8998,0,0,0.04008,1600,2198,1857.0754,16.58116,35.3125,-1.50136,1.88963,45.52643,1.16238,1.18619,0.14502,0.16442,0.0,0.0,0.75117,0.81041,1.18428,0.16472,0.01,0.79079,0.98754,None
TLV:ADGR,ADGAR INVEST & DEV,Real Estate,Israel,16376627.8711,72114417.15067,13516341.17867,18752168.39867,1040197.556,7278269.36733,45433292.77467,72114417.15067,13516341.17867,18752168.39867,1040197.556,7278269.36733,45433292.77467,4.74027,4.74027,42.44954,42.44954,42.44954,1.26624,42.44954,19.808,-0.11855,0.18819,1.0,0.1226,2.5,0.13563,0.25364,0,-0.188,621.7,-0.0003,0.24093,163544992,-28926000,-0.17687,116,1156583525,308959171,-249362.06897,0.486,0.00371,-0.47897,0.00371,-0.47897,0.00371,0.24476,2.27379,0.00371,1.06853,1,1,24425611.02133,4970506.864,47.35126,232.68925,140.02026,2.87386,2.81893,2.8464,1.68713,ILS,ILS,0.30034,0.30034,7.3374,7.2151,6.9655,6.3741,0.51579,345,676.9,591.0514,5.18544,80.2029,-8.15482,1.66737,21.48777,1.3551,1.35632,0.70549,0.31826,19.26964,18.5273,0.9694,0.85429,1.36571,0.52187,18.90847,0.92185,1.14378,None
TLV:ADKA,ADIKA STYLE LTD,Consumer Cyclical,Israel,114519250093079.36,176013666.66667,4285066.66667,59013466.66667,462293.33363,2373680.0003,117513566.66667,176013666.66667,4285066.66667,59013466.66667,462293.33363,2373680.0003,117513566.66667,0.32947,0.32947,1649.77257,1611.37407,1649.77257,0.23398,1649.77257,22.626,0.01493,0.0,0.0,0.0,0.0,0.00554,0.10489,0,0.1449,834.9,0.00017,315.13223,21218500,3219600,0.15174,451,74757542,53085128,7138.80266,5.53135,0.18185,0.18849,0.18185,0.18849,0.18185,4.19563,22.02818,0.18185,1.95925,1,1,16190466.66667,6448506.66637,4.61738,14857890.4389,7428952.66825,2.96953,2.94906,2.9593,1.72026,USD,ILS,1.0,0.30034,0,0,0,0,1.45113,306.1,1780,1358.8257,-38.55724,172.754,-53.09551,0.71755,0.71855,1.46838,1.34579,1.05658,0.63401,1.83717,2.47798,1.36975,1.2924,1.41709,0.85529,2.16758,1.34108,1.37908,None
TLV:AFHL,AFCON HOLDINGS LTD,Technology,Israel,48821.72837,505475964.23867,2949799.32133,134928966.38267,1744574.94667,2347187.134,320202465.31067,505475964.23867,2949799.32133,134928966.38267,1744574.94667,2347187.134,320202465.31067,0.21084,0.21084,22.69998,22.69998,22.69998,0.17381,7.56666,30.639,0.00779,0.01379,2.25,0.01223,1.0,0.02248,0.22939,0,2.625,19870,0.00013,0.61229,5057400,13510000,2.67133,1209,365799165,301357599,11174.5244,0.28124,0.02158,0.28124,0.02158,0.28124,0.02158,0.28124,2.45621,0.02158,1.15789,1,1,18959583.20267,16258004.88,19.29363,22.49963,20.89663,2.69749,2.73602,2.71676,1.64826,ILS,ILS,0.30034,0.30034,949.1046,215.99013,323.9852,323.9852,1.10052,8320,21720,15653.542,26.93613,138.82212,-8.5175,1.72388,26.24479,1.37493,1.37034,0.28935,0.2829,3.3487,3.79293,1.57707,1.66232,1.38264,0.29612,3.58082,1.6297,1.50617,None
TLV:AFID,None,None,Unknown,1e+50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,5000000000000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0,0,0,0.0,10000.0,100000000,0,0.0,10000000,0,0,0.0,-0.9,-0.9,-0.9,-0.9,0,0,-0.9,0.15,-0.9,0.15,1,1,0,10000000000000.0,10000000000000.0,0.0,5000000000000.0,10000000000000.0,10000000000000.0,0.0,0.0,USD,USD,1.0,1.0,1992.123,2458.831,1844.0001,1299.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,None
TLV:AFPR,AFI PROPERTIES,Real Estate,Israel,1749795.65437,275416064.85067,52767395.348,80338507.23467,20407802.66,36587599.004,177877286.04267,275416064.85067,52767395.348,80338507.23467,20407802.66,36587599.004,177877286.04267,3.68607,3.68607,4.76917,4.76917,4.76917,1.50217,4.76917,28.812,0.30567,0.49643,2.5,0.66137,2.5,0.57343,0.09381,0,8.911,14000,0.00064,0.35728,36032600,311606016,8.64789,296,3757520082,1531317349,1052723.02703,-0.47835,0.02935,-0.47835,0.02935,-0.47835,0.02935,-0.47835,0.57165,0.02935,1.19675,1,1,94263531.06267,36409737.656,39.86186,103.20097,71.53141,1.91951,2.07567,1.99759,1.41336,ILS,ILS,0.30034,0.30034,699.04755,262.25336,355.3014,322.38956,0.49987,7496.1353,14960,12178.819,14.95367,86.7629,-6.41711,1.74276,28.01731,1.53169,1.48576,0.38949,1.04969,14.97051,15.70971,0.64434,0.78507,1.51872,0.72959,15.35011,0.7247,1.12171,None
TLV:AFRE,AFRICA ISRAEL RESI,Real Estate,Israel,2295882904.32998,1262028800.0,103345466.66667,291068466.66667,25612466.66667,64478966.66667,776548633.33333,1262028800.0,103345466.66667,291068466.66667,25612466.66667,64478966.66667,776548633.33333,0.95238,0.95238,5.69476,5.69476,5.69476,0.49334,5.69476,30.491,0.08663,0.0,0.0,0.0,0.0,0.0595,0.32603,0,8.855,16700,0.00053,0.59759,12643500,111959000,8.85506,54,1230717778,637574861,2073314.81481,13.571,0.04763,-0.01169,0.04763,-0.01169,0.04763,10.17533,51.92664,0.04763,1.28817,1,1,-58948600.0,-60698133.33333,9231676.05693,8459785.52059,8845730.78876,2.47984,2.46319,2.47152,1.57211,USD,ILS,1.0,0.30034,474.5507,395.4589,395.4589,395.4589,0.96305,8000,18830,14885.139,12.19244,108.75,-11.31174,1.60665,17.19985,1.40381,1.40608,0.34251,0.34813,26.8335,24.98678,1.1847,1.07,1.41494,0.35532,25.92014,1.13735,1.27615,None
