"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,ma,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
AKO.A,Embotelladora Andina S.A.,Consumer Defensive,Chile,1e-07, ,1494643598641070.8,1.0,108973429455132.53,1053846926185854.1,2.0,1868111293969007.2,1.0,128463153927315.48,1.0,2279351766980054.5,1.0,128463153927315.48,2279351766980054.5,1868111293969007.2,1494643598641070.8,1.0,108973429455132.53,1868111293969007.2,1.0,128463153927315.48,1.0,128463153927315.48,1868111293969007.2,0,8e-07,9.418239,9.418239,9.418239,9e-07,9.418239,0,100000,0.0,435987855000.0,356537920533.3333,435987855000.0,0.06796,0.3388751,4.75,0.1523778,2.75,0.1874043,0.00177,1.23e-05,0,0.954,9.0674,0.1052121,1.1913285,157762000,0,0.0,10000000,1437840768,1626311936,0.0,16.189,0.34,0.1821315,0.1705392,0.1821315,0.1705392,12.1872829,35.1602891,0.2976348,5.7055917,0.7727924,0.7727924,432059298526285.0,2.0,278329441771880.34,1.0,3.3e-06,5.2e-06,5.2e-06,0.8761108,0.5,1.7811393,1.0,1.7811393,1.3355933,CLP,USD,753.400442,1.0,0.208158,0.212875,0.200488,0.215603,9.0674,8.6,12.24,10.1801,-10.930148,5.4348837,-25.9199346,0.2568132,0.2578132,1.5890903,1.0,1.577129,1.0,0.1656072,2.0,0.2661735,1.0,2.1145709,2.0,1.1028814,1.0,3.6193471,2.0,1.8618543,1.0,1.587129,0.2761735,1.1128814,1.8718543,1.7294917,4054049015083712.0,2.0,2224393399693002.2,1.0,2224393399693002.2,733057996908268.5,1.0,792981988888747.5,1.0,792981988888747.5,0.157752,0.2620001,378244848466.6667,433232910000.0,433232910000.0,2553368407198982.0,2.0,1411106932574397.2,1.0,1411106932574397.2,1.137327,None
EC,Ecopetrol S.A.,Energy,Colombia,1e-07, ,2.930384861643835e+17,1.0,4.35167083452041e+16,7.53619715997731e+16,1.0,1.2312870852510482e+18,3.0,1.4659934880086458e+17,2.0,3.3732146065065946e+17,1.0,1.4659934880086458e+17,3.3732146065065946e+17,1.2312870852510482e+18,2.930384861643835e+17,1.0,4.35167083452041e+16,1.2312870852510482e+18,3.0,1.4659934880086458e+17,2.0,1.4659934880086458e+17,1.2312870852510482e+18,0,0.0,5.2336445,7.5167785,5.5190363,0.0,5.5190363,0,100000,0.0,48808191000000.0,32680894533333.332,48808191000000.0,0.17859,0.6896348,4.75,16.4766807,89.285625,5.7826352,0.01704,1.23e-05,1.49,2.14,11.21,0.190901,1.2698413,2055830016,0,0.0,18000,22079664128,23025295360,0.0,1.13,0.887,4.8414058,0.3949893,4.8414058,0.3949893,2.0578515,14.5952133,0.7639973,8.990694,2.681941,2.681941,7.531447073957338e+16,1.0,8.959150212303789e+16,1.0,3e-07,2e-07,2e-07,1.8957385,1.0,1.1532825,0.5,1.1532825,1.0749099,COP,USD,3830.487998,1.0,0.093278,0.894,0.535,0.3196,11.21,9.31,19.81,14.36385,-21.956857,20.4081633,-43.412418,0.3619048,0.3629048,0.5497668,0.3333333,0.7913448,0.5,0.2731474,1.0,0.1224042,0.5,0.7096159,1.0,0.9929692,1.0,1.4889188,1.0,1.5190446,1.0,0.8013448,0.1324042,1.0029692,1.5290446,1.1651947,1.4730579885853048e+18,2.0,1.382111881369094e+18,1.5,1.382111881369094e+18,2.3329127978454387e+17,1.0,2.5229549521097325e+17,1.0,2.5229549521097325e+17,0.2060691,0.6810621,13482277733333.334,17666818733333.332,17666818733333.332,9.038805051895361e+17,2.0,8.753170512151823e+17,1.5,8.753170512151823e+17,0.3081441,None
AKO.B,Embotelladora Andina S.A.,Consumer Defensive,Chile,2e-07, ,1494643598641070.8,1.0,108973429455132.53,1053846926185854.1,2.0,1868111293969007.2,1.0,128463153927315.48,1.0,2279351766980054.5,1.0,128463153927315.48,2279351766980054.5,1868111293969007.2,1494643598641070.8,1.0,108973429455132.53,1868111293969007.2,1.0,128463153927315.48,1.0,128463153927315.48,1868111293969007.2,0,1e-06,11.448847,8.532969,11.0843622,9e-07,11.0843622,0,100000,0.0,435987855000.0,356537920533.3333,435987855000.0,0.06796,0.3388751,4.75,0.1523778,2.75,0.1874043,0.03845,1.23e-05,1.28,0.954,10.93,0.0872827,1.4481835,157762000,0,0.0,10000000,1804794624,1723108096,0.0,16.189,0.34,0.1821315,0.1705392,0.1821315,0.1705392,12.1872829,35.1602891,0.2976348,5.7055917,0.9095023,0.9095023,432059298526285.0,2.0,278329441771880.34,1.0,4.2e-06,6.5e-06,6.5e-06,0.8761108,0.5,1.7811393,1.0,1.7811393,1.3355933,CLP,USD,753.400442,1.0,0.228974,0.234162,0.220537,0.237163,10.93,9.63,14.7,12.0006,-8.9212206,13.4994808,-25.6462585,0.5128205,0.5138205,1.5890903,1.0,1.577129,1.0,0.1656072,2.0,0.2661735,1.0,2.1145709,2.0,1.1028814,1.0,3.6193471,2.0,1.8618543,1.0,1.587129,0.2761735,1.1128814,1.8718543,1.7294917,4054049015083712.0,2.0,2224393399693002.2,1.0,2224393399693002.2,733057996908268.5,1.0,792981988888747.5,1.0,792981988888747.5,0.157752,0.2620001,378244848466.6667,433232910000.0,433232910000.0,2553368407198982.0,2.0,1411106932574397.2,1.0,1411106932574397.2,1.137327,None
ZIM,ZIM Integrated Shipping Service,Industrials,Israel,1.5e-06, ,29771667733.333332,4.0,2602155533.3333335,417541650.0,0.25,38102289000.0,3.0,11523012000.0,2.0,10152565000.0,1.0,11523012000.0,10152565000.0,38102289000.0,29771667733.333332,4.0,2602155533.3333335,38102289000.0,3.0,11523012000.0,2.0,11523012000.0,38102289000.0,0.43,0.43,1.4652865,2.1537251,1.5513413,0.3832859,1.5513413,0.721,0.704793,7932731108.183079,8289362000.0,3830934000.0,8289362000.0,0.45363,4.3263826,12.3834375,41.3689631,89.285625,15.3839919,0.39108,0.33981,19.06,28.015,43.51,0.643875,1.5363024,118588000,5761504768,48.584214,4427,5462368256,4868037120,1301446.7512988,1.908,1.131,5.6797973,1.0266258,5.6797973,1.0266258,2.8509493,17.1347544,1.1049065,10.7614531,0.544149,0.544149,6967587866.666667,2.0,6853531000.0,1.0,0.7839683,0.7970152,0.7970152,0.7161144,0.5,0.8311709,0.5,0.8311709,0.9126857,USD,USD,1.0,1.0,0,0,0,0,43.51,40.67,91.23,58.8609,-26.0799614,6.9830342,-52.307355,0.1123418,0.1133418,1.4739176,1.0,1.6359805,1.0,0.1468879,0.3333333,0.036722,1.0,0.4384738,1.0,0.5309792,1.0,1.4062184,1.0,1.4725222,1.0,1.6459805,0.046722,0.5409792,1.4825222,1.5642514,12761332400.0,2.0,15923872600.0,1.5,15923872600.0,2470631466.6666665,1.0,4031070000.0,1.0,4031070000.0,0.8236313,2.9585492,1203283666.6666667,1626622133.3333333,1626622133.3333333,7805931600.0,2.0,9868995200.0,1.5,9868995200.0,2.3125443,None
DDI,"DoubleDown Interactive Co., Ltd",Communication Services,South Korea,5e-06, ,268244244.3711686,1.0,53069251.0390843,230000084.6238686,2.0,64438153.181985,1.0,14560260.793155,1.0,157336875.283215,1.0,14560260.793155,157336875.283215,64438153.181985,268244244.3711686,1.0,53069251.0390843,64438153.181985,1.0,14560260.793155,1.0,14560260.793155,64438153.181985,0.755,0.755,5.4673724,5.5688624,5.4800587,1.3091341,5.4800587,2.405,1.2111888,15287426568.555094,30464392550.0,118880709982.85715,30464392550.0,0.21958,15.4080423,75.703125,0.6154698,2.75,5.415364,0.11534,0.03616,1.67,1.701,9.2,0.1848913,0.5441461,49553400,77299000,1.5599131,10000000,265657712,460846624,7.7299,-0.047,-0.116,594.6777862,514.8181762,594.6777862,514.8181762,148.6341966,122.1656251,128.617544,113.6596751,0.0368694,0.0368694,153294524.7108086,2.0,21499337.033745,1.0,1.7329889,12.3565537,12.3565537,0.1367332,0.5,0.1235548,1.0,0.1235548,0.3525037,KRW,USD,0.0007485,1.0,0,0,0,0,9.2,8.31,18.5,12.30307,-25.2219162,10.709988,-50.2702703,0.1746811,0.1756811,23.6317137,3.0,9.118589,1.0,3.7665663,12.0,0.4700497,1.0,0.2012582,3.0,0.0843128,1.0,40.5034627,6.0,12.1823726,1.0,9.128589,0.4800497,0.0943128,12.1923726,10.6604808,1373051546.8864715,2.0,232162173.38352,1.0,232162173.38352,1218647705.235703,2.0,207728157.080056,1.0,207728157.080056,0.1627159,0.1700929,183820242771.42856,77242644189.33333,77242644189.33333,154403841.6507686,2.0,24434016.303464,1.0,24434016.303464,25.0817315,None
AVAL,Grupo Aval Acciones y Valores S,Financial Services,Colombia,5.4e-06, ,7.139546399442759e+16,1.0,1.1430555148977934e+16,9.267336031280637e+16,2.0,7.668893614691866e+16,1.0,1.6224694589952654e+16,1.0,1.7742165776337142e+17,1.0,1.6224694589952654e+16,1.7742165776337142e+17,7.668893614691866e+16,7.139546399442759e+16,1.0,1.1430555148977934e+16,7.668893614691866e+16,1.0,1.6224694589952654e+16,1.0,1.6224694589952654e+16,7.668893614691866e+16,0,1e-07,4.131579,5.4137936,4.2918558,0.0,4.2918558,0,100000,0.0,1353282000000.0,1382112000000.0,1353282000000.0,0.19694,0.7639059,4.75,0.7361644,2.75,0.5666701,0.01096,1.23e-05,0.58,0.76,3.2,0.2375,0.6085272,1114050048,0,0.0,70247,3977161472,3498117376,0.0,1.185,0.52,0.1720979,0.0913966,0.1720979,0.0913966,0.9317745,9.9028466,0.4128491,6.6753338,4.6061101,4.6061101,-3.640015807616464e+16,0.5,-6.513676657912636e+16,0.5,915229575978.4691,0.0061059,0.0061059,13.8101803,1.0,14.2268597,1.0,14.2268597,3.772851,COP,USD,3830.487998,1.0,0.023542,0.022912,0.021973,0.023542,3.2,3.1,6.15,4.62355,-30.7891123,3.2258065,-47.9674797,0.0655738,0.0665738,1.1238442,1.0,1.1246919,1.0,7.0511343,1.0,2.1371442,1.0,21.7466798,1.0,27.6355813,1.0,0.2068623,1.0,0.2503061,1.0,1.1346919,2.1471442,27.6455813,0.2603061,0.697499,2.576210132771288e+18,2.0,1.1757735865080742e+18,1.0,1.1757735865080742e+18,1.6559417135999114e+17,2.0,7.355315796516341e+16,1.0,7.355315796516341e+16,0.1137992,0.3205846,-199302863266666.66,-167558426600000.0,-167558426600000.0,2.2933759440579602e+18,2.0,1.045934789988569e+18,1.0,1.045934789988569e+18,0.0690775,None
CCU,"Compania Cervecerias Unidas, S.",Consumer Defensive,Chile,5.5e-06, ,6576972231060590.0,4.0,127831216553894.64,653895119708287.5,1.0,1970547300684687.8,1.0,150170280402509.22,1.0,2673354261582438.0,1.0,150170280402509.22,2673354261582438.0,1970547300684687.8,6576972231060590.0,4.0,127831216553894.64,1970547300684687.8,1.0,150170280402509.22,1.0,150170280402509.22,1970547300684687.8,0,1.1e-06,4.450593,12.107527,5.4077097,1.1e-06,5.4077097,0,100000,0.0,451644856000.0,384363295933.3333,451644856000.0,0.07621,2.7857971,36.9075,0.5243521,6.1875,1.1297864,0.19349,1.23e-05,0.93,2.53,10.84,0.2333948,1.1015457,184751008,0,0.0,9317,2132031616,2080296448,0.0,0.002,0.23,0.4552894,0.2015528,0.4552894,0.2015528,0.1153223,3.6459143,0.2228882,4.9711038,46.8921256,46.8921256,220167509877341.94,1.0,175826608436994.44,1.0,9.7e-06,1.21e-05,1.21e-05,0.9536971,1.0,1.2688,1.0,1.2688,1.1274102,CLP,USD,753.400442,1.0,1.10245,0.491098,0.37882,0.148,10.84,10.51,21.04,14.45445,-25.0057941,3.1398668,-48.4790875,0.0626781,0.0636781,2.1737415,1.0,0.9514861,0.5,0.272779,1.0,0.1272612,0.5,0.3887391,1.0,0.3282076,1.0,1.5509528,1.0,1.7256395,1.0,0.9614861,0.1372612,0.3382076,1.7356395,1.3485628,2008495138846088.2,1.0,3470387437688563.0,1.5,3470387437688563.0,983613435103946.4,1.0,984005578979246.8,1.0,984005578979246.8,0.1432719,0.2526112,342884505733.3333,568103974133.3334,568103974133.3334,937944878496445.6,1.0,1862106702165132.8,1.5,1862106702165132.8,0.4116203,None
CIB,BanColombia S.A.,Financial Services,Colombia,1.29e-05, ,4.863796201267096e+16,1.0,1.0902054548186146e+16,7.686578901168872e+16,1.0,1.996635778481583e+17,3.0,2.021017945430373e+16,1.0,3.174564924357115e+17,1.0,2.021017945430373e+16,3.174564924357115e+17,1.996635778481583e+17,4.863796201267096e+16,1.0,1.0902054548186146e+16,1.996635778481583e+17,3.0,2.021017945430373e+16,1.0,2.021017945430373e+16,1.996635778481583e+17,0,0.0,4e-07,8.906158,1.1132701,0.0,1.1132701,0,100000,0.0,878192000000.0,773273933333.3334,878192000000.0,0.30358,1.0644238,4.75,8.7135448,27.4725,3.3615162,0.26286,1.23e-05,3.41,0,29.91,0.0,1000.0,240456992,0,0.0,31430,6966031872,7302679040,0.0,2.192,0.819,7.6542439,0.3939876,7.6542439,0.3939876,3.557561,19.1114978,0.7127469,8.6924338,0.3129307,0.3129307,-7.855810192896138e+16,0.5,-1.3114420308019811e+17,0.5,1127731014908.5889,0.0053117,0.0053117,4.033192,0.5,4.1441588,0.5,4.1441588,2.0367207,COP,USD,3830.487998,1.0,0.056681,0.061233,0.072,0.063515,29.91,26.27,45.98,35.1619,-14.9363373,13.8561096,-34.9499783,0.3693557,0.3703557,1.1313761,1.0,1.1275483,1.0,66.966625,6.0,10.7606239,1.0,30.7594387,1.0,46.3640463,2.0,0.2211022,1.0,0.1973398,1.0,1.1375483,10.7706239,46.3740463,0.2073398,0.672444,2.0599685752058563e+18,2.0,1.6456255909251686e+18,1.5,1.6456255909251686e+18,1.1304343378468368e+17,1.0,1.1748531669741085e+17,1.0,1.1748531669741085e+17,0.1122812,0.272023,-157712059400000.0,-170835785333333.34,-170835785333333.34,1.820879228998991e+18,2.0,1.4596138853255414e+18,1.5,1.4596138853255414e+18,0.0978196,None
BCH,Banco De Chile Banco De Chile,Financial Services,Chile,5.7e-05, ,1290152600858214.8,1.0,501096478406642.1,2294038046651104.0,2.0,5273603442882870.0,3.0,1795054906710968.0,2.0,4413434857244840.0,1.0,1795054906710968.0,4413434857244840.0,5273603442882870.0,1290152600858214.8,1.0,501096478406642.1,5273603442882870.0,3.0,1795054906710968.0,2.0,1795054906710968.0,5273603442882870.0,0,1.8e-06,10.558333,10.617318,10.5657061,1.8e-06,10.5657061,0,100000,0.0,44638000000.0,56281400000.0,44638000000.0,0.50926,1.9080361,4.75,48.1182407,89.285625,16.8461789,0.00945,1.23e-05,1.79,1.8,18.75,0.096,1.9004999,505084992,0,0.0,10000000,9566317568,9599139840,0.0,1.658,0.756,0.3439231,0.1214725,0.3439231,0.1214725,1.3294808,11.7803112,0.5973681,7.9789593,7.9472425,7.9472425,-1879431537172492.8,0.5,34690825618851.332,0.3333333,19646342741.73923,0.0002758,0.0002758,11.11298,1.0,11.1609859,1.0,11.1609859,3.3418062,CLP,USD,753.400442,1.0,0.590132,0.834958,1.058,1.03933,18.75,15.6,22.74,19.4408,-3.5533517,20.1923077,-17.5461741,0.8823529,0.8833529,1.0901054,1.0,1.0896161,1.0,2.2564625,1.0,0.2778044,0.5,72.3212456,2.0,5.6764043,0.5,0.1922204,0.5,10.1433078,2.0,1.0996161,0.2878044,5.6864043,10.1533078,5.6264619,7.1972159490471624e+16,2.0,3.952849529254346e+16,1.0,3.952849529254346e+16,5931749508159661.0,2.0,3249629017310909.5,1.0,3249629017310909.5,0.1454117,0.6523876,-19948763000000.0,1980546200000.0,1980546200000.0,6.604040847551107e+16,2.0,3.627886547160541e+16,1.0,3.627886547160541e+16,0.0724464,None
ENIC,Enel Chile S.A.,Utilities,Chile,0.0003641, ,2033704522214149.5,1.0,71914967607252.0,1293148899278263.5,1.0,7686128340828458.0,3.0,13356054567091.963,0.25,4904778756284437.0,1.0,13356054567091.963,4904778756284437.0,7686128340828458.0,2033704522214149.5,1.0,71914967607252.0,7686128340828458.0,3.0,13356054567091.963,0.25,13356054567091.963,7686128340828458.0,0,2e-07,4.1499996,0.0047048,3.6318378,3e-07,3.6318378,0,100000,0.0,379319084000.0,678573211666.6666,379319084000.0,0.02085,0.0025977,0.1,0.017151,0.999,0.0145329,0.02984,1.23e-05,352.83,0.4,1.57,0.2547771,0.4311688,1383330048,0,0.0,2226,1867497088,2296327936,0.0,0.2598228,0.439,0.2598228,0.0674777,0.2598228,0.0674777,0.2598228,5.3472821,0.3461194,6.1331916,13.9781308,13.9781308,429415964948578.1,1.0,23536239978985.97,0.5,4.3e-06,7.93e-05,7.93e-05,1.6339596,1.0,2.1860526,1.0,2.1860526,1.4795305,CLP,USD,753.400442,1.0,0.006229,0.210636,0.235393,0.028,1.57,0.981,2.68,1.62445,-3.3519037,60.0407747,-41.4179104,0.693349,0.694349,0.566058,0.3333333,3.0057493,2.0,0.2472341,1.0,0.8227966,2.0,1.0731016,1.0,2.7434674,2.0,1.5279635,2.0,0.5735797,1.0,3.0157493,0.8327966,2.7534674,0.5835797,1.7996645,1.314176196331238e+16,2.0,1.15346909271926e+16,1.5,1.15346909271926e+16,2440074901758042.5,1.0,2356228185894324.5,1.0,2356228185894324.5,0.1011579,0.1056684,-483706428800.0,-1174759219200.0,-1174759219200.0,7886264263458201.0,2.0,5140366834966723.0,1.0,5140366834966723.0,0.3153837,None
