pi,ev,pe,evr / pm,0.01247,11.92178,20.69789,35.38352,57.78343,96.90124,171.70314,360.90761
0.000010,3.000000,29046.813085,41547.050000,3168.000000,2444.000000,2101.000000,1759.000000,1397.000000,1053.000000,700.000000,347.000000
0.000010,3.000000,29046.813085,10.350000,2466.000000,1820.000000,1495.000000,1179.000000,881.000000,607.000000,370.000000,166.000000
0.000010,3.000000,29046.813085,5.636000,2101.000000,1510.000000,1210.000000,926.000000,678.000000,466.000000,286.000000,130.000000
0.000010,3.000000,29046.813085,3.663000,1712.000000,1172.000000,907.000000,670.000000,490.000000,342.000000,210.000000,91.000000
0.000010,3.000000,29046.813085,2.494000,1312.000000,848.000000,634.000000,440.000000,317.000000,221.000000,141.000000,56.000000
0.000010,3.000000,29046.813085,1.585000,891.000000,520.000000,371.000000,244.000000,181.000000,128.000000,85.000000,34.000000
0.000010,3.000000,29046.813085,0.883000,436.000000,231.000000,164.000000,110.000000,84.000000,53.000000,36.000000,17.000000
0.000010,3.000000,59.714971,41547.050000,2495.000000,2076.000000,1786.000000,1493.000000,1184.000000,896.000000,584.000000,280.000000
0.000010,3.000000,59.714971,10.350000,2076.000000,1673.000000,1389.000000,1107.000000,834.000000,581.000000,352.000000,155.000000
0.000010,3.000000,59.714971,5.636000,1804.000000,1422.000000,1154.000000,888.000000,652.000000,452.000000,276.000000,123.000000
0.000010,3.000000,59.714971,3.663000,1468.000000,1111.000000,866.000000,641.000000,470.000000,332.000000,201.000000,84.000000
0.000010,3.000000,59.714971,2.494000,1124.000000,804.000000,601.000000,417.000000,301.000000,213.000000,134.000000,50.000000
0.000010,3.000000,59.714971,1.585000,766.000000,495.000000,353.000000,231.000000,172.000000,123.000000,81.000000,30.000000
0.000010,3.000000,59.714971,0.883000,372.000000,218.000000,154.000000,102.000000,77.000000,50.000000,33.000000,14.000000
0.000010,3.000000,38.906693,41547.050000,2137.000000,1804.000000,1554.000000,1294.000000,1020.000000,779.000000,511.000000,257.000000
0.000010,3.000000,38.906693,10.350000,1829.000000,1509.000000,1262.000000,1007.000000,759.000000,540.000000,329.000000,148.000000
0.000010,3.000000,38.906693,5.636000,1620.000000,1312.000000,1074.000000,827.000000,609.000000,429.000000,264.000000,119.000000
0.000010,3.000000,38.906693,3.663000,1334.000000,1039.000000,818.000000,604.000000,441.000000,317.000000,196.000000,82.000000
