"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,quarterized_revenue,quarterized_earnings,effective_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,calculated_roa,skip_reason
TLV:PTNR,PARTNER COMMUNICAT,Communication Services,Israel,0.0,988764844.0,9019706.66667,251526820.0,1168462.0,5094084.33333,620145832.0,988764844.0,9019706.66667,251526820.0,1168462.0,5094084.33333,620145832.0,0.43172,0.43172,272.53532,272.53532,272.53532,2.2387,272.53532,3.01801,0.00373,0.02267,2.5,0.01155,2.5,0.02679,0.41978,0.34,0.066,0,0.0,0.52084,183906000,12000000,0.06525,2708,1388317920,1388317920,4431.31462,-0.5,-0.0053,-0.22222,-0.0053,-0.22222,-0.0053,-0.43056,0.61944,-0.0053,1.0447,1,1,243101594.0,61477500.66667,5.71085,22.58254,14.1467,2.12655,1.993,2.05977,1.43519,ILS,ILS,0.30749,0.30749,103.0,90.0,135.0,192.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47719,1.5018,0.15979,0.13083,2.51205,2.9089,1.11546,1.13955,1.4995,0.15531,2.72047,1.1375,1.3185,1511415846.66667,1587632368.0,1549524107.33333,0.02329,None
TLV:IDIN,I.D.I. INSURANCE,Financial Services,Israel,0.00796,685951459.41,62553592.67067,164649804.86067,16420765.474,39487179.07233,425300632.13533,685951459.41,62553592.67067,164649804.86067,16420765.474,39487179.07233,425300632.13533,0.07226,0.07226,2.08222,2.08222,2.08222,0.23346,2.08222,0.38252,0.11221,0.22891,2.5,0.24865,2.5,0.23352,0.09093,0,16.569,11100,0.00149,0.58855,14674900,243336000,16.58178,1500,156393723,50628961634,162224.0,5.464,-0.02837,0.01085,-0.02837,0.01085,-0.02837,4.10071,21.55356,-0.02837,1.02163,1,1,40295539.53333,16726267.03867,3.88117,9.35019,6.61568,7.27621,6.31866,6.79743,2.60719,ILS,ILS,0.30749,0.30749,749.5785,272.574,477.0045,170.3587,0.41006,7260,13400,11319.542,-1.9395,52.89256,-17.16418,1.25081,3.82963,1.13965,1.15895,1.15278,437.29805,0.82159,0.31125,0.86151,1219.51402,1.1593,219.23541,0.57642,610.19777,305.67853,1778630027.492,1854734089.48267,1816682058.48733,0.04174,None
TLV:DUNI,DUNIEC BROS,Real Estate,Israel,0.15982,71627171.58533,14124163.66267,54948032.514,14813064.25867,14468613.96067,63287602.04967,71627171.58533,14124163.66267,54948032.514,14813064.25867,14468613.96067,63287602.04967,0.44832,0.44832,1.98823,1.98823,1.98823,0.00374,1.98823,1.35296,0.24622,0.4946,2.5,4.15738,17.1875,2.56213,0.03857,0,21.76,14570,0.00149,0.50551,3866740,110027000,28.45472,42,200293239,167288296,2619690.47619,13.407,-0.08464,-0.1153,-0.08464,-0.1153,-0.08464,10.02643,51.18213,-0.08464,0.96536,1,1,8223430.56267,47216708.94733,24.35641,4.242,14.2992,1.65862,1.2628,1.46071,1.2086,ILS,ILS,0.30749,0.30749,200.0,100.0,200.0,200.0,14570,56.14,14400,95.6,15140.58577,25852.97471,1.18056,2.0237,68.68807,1.62742,1.82846,0.65721,0.49788,8.19934,7.18621,1.29435,1.41594,1.73794,0.58754,7.70278,1.36515,1.55154,220038388.54733,216398731.914,218218560.23067,0.0863,None
TLV:BRMG,BRIMAG DIGITAL AGE,Consumer Cyclical,Israel,0.2758,150596138.40533,8757130.706,42077546.58,4702588.06533,6729859.38567,96336842.49267,150596138.40533,8757130.706,42077546.58,4702588.06533,6729859.38567,96336842.49267,0.26198,0.26198,1.99345,1.99345,1.99345,0.20686,1.99345,2.01406,0.10378,0.32318,5.625,1.34256,12.03125,0.88434,0.12635,0,5.462,3570,0.00153,0.45886,10111500,55235000,5.46259,344,139506707,11009623934,160566.86047,360.511,0.02221,0.2173,0.02221,0.2173,0.02221,270.43758,1353.23788,0.02221,1.16106,1,1,15769706.64733,5117535.57067,8.8465,27.26053,18.05351,1.16606,1.07366,1.11986,1.05823,ILS,ILS,0.30749,0.30749,395.589,148.346,79.1177,98.8971,3570,1152,3970,2553.7778,39.7929,209.89583,-10.07557,1.71611,25.543,1.88656,1.93458,0.20548,0.17693,1.15759,0.80183,1.80115,1.87726,1.92057,0.2012,0.98971,1.84921,1.88489,138174505.874,145482784.69867,141828645.28633,0.06745,None
TLV:BRAM,BRAM INDUSTRIES,Consumer Cyclical,Israel,0.4461,133199866.66667,2315066.66667,32423333.33333,645400.0,1480233.33333,82811600.0,133199866.66667,2315066.66667,32423333.33333,645400.0,1480233.33333,82811600.0,0.25306,0.25306,4.15513,4.15513,4.15513,0.00143,4.15513,1.73609,0.03451,0.0,0.0,0.0,0.0,0.02972,0.27775,0,0.23,312.2,0.00074,0.31782,20226000,4658000,0.2303,10000000,34160601,19329560,0.4658,0.62511,0.01244,0.62511,0.01244,0.62511,0.01244,0.62511,4.17555,0.01244,1.1122,1,1,19668400.0,6166533.33333,1.73683,5.53968,3.63825,1.67095,1.61056,1.64076,1.28092,USD,ILS,1.0,0.30749,12.2663,9.8131,12.5748,18.5371,312.2,269.6,400,319.79376,-2.37458,15.80119,-21.95,0.65337,0.65437,1.6062,1.62143,0.19206,0.10498,0.64561,1.09781,1.20072,1.19126,1.62382,0.15852,0.88171,1.20599,1.4149,163581000.0,162202800.0,162891900.0,0.02909,None
TLV:WLFD,WILLY FOOD INVSTM.,Consumer Defensive,Israel,0.4737,127177945.99733,8460238.86133,34793887.45467,3310949.82333,5885594.34233,80985916.726,127177945.99733,8460238.86133,34793887.45467,3310949.82333,5885594.34233,80985916.726,0.24937,0.24937,3.50416,3.50416,3.50416,0.33057,3.50416,1.94949,0.09441,1.01591,15.46875,0.23713,2.5,0.67176,0.15652,0,3.159,3607,0.00088,0.40856,13190300,41699000,3.16134,181,110130155,14601187111,230381.21547,12.405,0.06737,0.11621,0.06737,0.11621,0.06737,9.3328,47.71401,0.06737,1.38686,1,1,11467675.55533,2612886.02533,9.60353,42.14886,25.87619,0.12816,0.13743,0.1328,0.36441,ILS,ILS,0.30749,0.30749,30.0551,60.1101,37.5688,105.2191,0.38945,2396,4150,3597.8193,0.25517,50.54257,-13.08434,1.38084,6.93214,14.26122,13.29093,0.85864,1.33692,1.36211,1.30594,14.11392,13.51744,13.78607,1.10778,1.34403,13.82568,13.80587,175386023.204,195537995.334,185462009.269,0.05173,None
TLV:PLRM,PALRAM INDUSTRIES,Industrials,Israel,1.80929,489948518.69667,39454554.38333,139937981.52333,20930639.30667,30192596.845,314943250.11,489948518.69667,39454554.38333,139937981.52333,20930639.30667,30192596.845,314943250.11,0.1519,0.1519,1.07785,1.07785,1.07785,0.16082,1.07785,0.68601,0.14907,0.18698,2.5,0.37291,2.5,0.29781,0.12139,0,10.601,3671,0.00289,0.37356,25725500,272480992,10.59186,1594,277841902,29394799949,170941.65119,1.636,0.05864,0.38365,0.05864,0.38365,0.05864,1.32291,7.66457,0.05864,1.3432,1,1,69878885.942,23954290.97333,3.97605,11.59884,7.78744,0.81448,0.77695,0.79572,0.89203,ILS,ILS,0.30749,0.30749,233.232,77.7439,38.8719,38.872,0.66334,2169,3900,3178.5557,15.49271,69.2485,-5.87179,1.73541,27.316,2.43212,2.46952,0.25145,0.11472,0.49925,0.47228,2.54346,2.6717,2.46082,0.19308,0.49577,2.61758,2.5392,404199991.85733,447513689.236,425856840.54667,0.0909,None
TLV:NTO,NETO M.E HOLDINGS,Consumer Defensive,Israel,2.46598,920875315.86133,32784542.80133,250638973.374,7857414.966,20320978.88367,585757144.61767,920875315.86133,32784542.80133,250638973.374,7857414.966,20320978.88367,585757144.61767,0.11685,0.11685,1.2615,1.2615,1.2615,0.05427,1.2615,1.46396,0.03991,0.54531,15.46875,0.07887,2.5,0.34984,0.08928,0,37.05,13290,0.00279,0.719,3709300,127494000,34.37144,1355,372903405,17336703796,94091.51292,0.008,0.05392,0.12247,0.05392,0.12247,0.05392,0.03662,1.23309,0.05392,1.3196,1,1,38654608.89867,12788816.59,9.64706,29.15855,19.40281,1.71637,3.07864,2.3975,1.54839,ILS,ILS,0.30749,0.30749,4852.673,2695.9292,4865.8433,6758.115,0,11600,16730,13681.042,-2.85828,14.56897,-20.56186,0.65887,0.65987,2.2029,1.96364,0.1642,0.08585,0.60932,0.86628,1.87575,1.7479,2.09327,0.13502,0.7478,1.82183,1.95755,490962374.72467,506404297.032,498683335.87833,0.06075,None
TLV:DIPL,DIPLOMAT HOLDINGS,Consumer Defensive,Israel,2.57811,2750821000.0,60691571.42857,703109428.57143,18890428.57143,39791000.0,1726965214.28571,2750821000.0,60691571.42857,703109428.57143,18890428.57143,39791000.0,1726965214.28571,0.19956,0.19956,5.45663,5.45663,5.45663,0.00184,5.45663,3.68096,0.02429,0.0,0.0,0.0,0.0,0.02388,0.01,0,3.5,6206,0.00056,0.70593,26000000,65456000,2.51754,2350,537646884,496553311,27853.61702,0.435,4e-05,-0.09765,4e-05,-0.09765,4e-05,0.30184,2.55919,4e-05,1.05019,1,1,97301571.42857,128500857.14286,5.52557,4.18399,4.85478,2.478,2.08319,2.28059,1.51016,USD,ILS,1.0,0.30749,384.615,0,0,0,6206,5937,7500,6385.026,-2.80384,4.53091,-17.25333,0.34421,0.34521,1.4577,1.55376,0.68334,0.12409,0.23155,0.24356,1.31686,1.42222,1.51573,0.41372,0.24755,1.37954,1.44763,1157096333.33333,1110035000.0,1133565666.66667,0.0551,None
TLV:SPNTC,SPUNTECH INDUSTRIE,Consumer Cyclical,Israel,3.33137,206937838.59533,18318983.24133,53381760.45133,8426168.96933,13372576.10533,130159799.52333,206937838.59533,18318983.24133,53381760.45133,8426168.96933,13372576.10533,130159799.52333,0.3324,0.3324,1.87121,1.87121,1.87121,0.26177,1.87121,1.50885,0.14112,0.21418,2.5,0.69345,4.375,0.48761,0.05231,0,1.51,912.4,0.00165,0.73143,66357000,101077000,1.52323,402,237986613,18749340525,251435.32338,1.232,0.0465,0.27286,0.0465,0.27286,0.0465,0.99221,6.01107,0.0465,1.28252,1,1,30004689.706,10970935.71,7.93165,21.69246,14.81205,1.51478,1.44349,1.47914,1.2162,ILS,ILS,0.30749,0.30749,60.0,45.2714,25.0,38.0,-0.0276,807,1240,935.293,-2.44768,13.06072,-26.41935,0.48684,0.48784,1.675,1.69468,0.0,0.0,0.00794,0.00199,0.9696,1.15077,1.69484,0.01,0.01496,1.07018,1.38251,185517265.222,190080273.32667,187798769.27433,0.09121,None
