"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,quarterized_revenue,quarterized_earnings,effective_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,calculated_roa,skip_reason
TLV:ABIL,ABILITY INC,Technology,Israel,1e+50,1693200.0,-7635000.0,421000.0,-1342300.0,-4488650.0,1057100.0,1693200.0,-7635000.0,421000.0,-1342300.0,-4488650.0,1057100.0,2.41872,2.41872,944276.63864,944276.63864,944276.63864,2.45569,314758.87955,9301.34885,0,0.0,0.0,0.0,0.0,0.01,0.03946,0,-0.938,172.5,-0.00544,10000.0,7972390,-6709000,-0.84153,10,4174601,423852284,-670900.0,0.07351,0.0345,0.07351,0.0345,0.07351,0.0345,0.07351,1.41756,0.0345,1.22248,1,1,-3962733.33333,10400.0,1534.66407,401.40395,968.03401,-0.16933,-2.58778,138.85548,11.7837,USD,ILS,1.0,0.30749,0,0,0,0,1.08838,69.1,380,171.11945,0.80678,149.63821,-54.60526,0.66517,0.66617,0.77139,0.61171,0.84432,0.83243,7.52261,4.71154,0.71359,0.57295,0.70155,0.84838,6.12708,0.65327,0.67741,16669933.33333,13883000.0,15276466.66667,-0.27383,None
TLV:ABRA,ABRA TECH,Technology,Israel,1e+50,18581400.0,-12050466.66667,22532300.0,4175733.33333,-3937366.66667,20556850.0,18581400.0,-12050466.66667,22532300.0,4175733.33333,-3937366.66667,20556850.0,0.84468,0.84468,7.83616,7.83616,7.83616,1.28978,2.61205,18.63605,0.15254,0.0,0.0,0.0,0.0,0.09717,0.42577,0,0.159,393.9,0.0004,0.58304,63986200,9429000,0.14736,352,52218266,7972357483,26786.93182,-0.57555,0.39177,-0.57555,0.39177,-0.57555,0.39177,-0.57555,0.47445,0.39177,3.00885,1,1,5831066.66667,925566.66667,8.95518,56.41762,32.6864,0.28574,0.41948,0.35261,0.59381,USD,ILS,1.0,0.30749,28.7654,241.88435,159.01178,105.64151,0.61246,221.8173,449.35,338.5712,16.34185,77.57857,-12.34005,1.5126,11.97679,19.10708,3.71693,0.30872,0.0095,0.11423,0.14727,10.60497,3.72292,11.42201,0.16911,0.14075,7.17394,9.29798,153838800.0,183925800.0,168882300.0,-0.00331,None
TLV:ACCL,ACCEL SOLUTIONS GR,Technology,Israel,339140231637539.6,54300466.66667,-2694666.66667,19788800.0,251133.33333,-1221766.66667,37044633.33333,54300466.66667,-2694666.66667,19788800.0,251133.33333,-1221766.66667,37044633.33333,0.69462,0.69462,53.17014,53.17014,53.17014,1.02084,17.72338,12.3777,0.01434,0.0,0.0,0.0,0.0,0.01819,0.35613,0,0.012,209.4,6e-05,0.81487,116882000,1048000,0.00897,25,50736155,7457559279,41920.0,-0.49853,0.23014,-0.49853,0.23014,-0.49853,0.23014,-0.49853,0.55147,0.23014,2.20069,1,1,-630000.0,-2810400.0,524261320.54888,5981985.01486,265121652.78187,1.35901,0.81277,1.08589,1.04206,USD,ILS,1.0,0.30749,64.3205,173.616,4.602,47.5795,1.03104,95.5,299,234.8118,-10.8222,119.26702,-29.96656,1.11941,1.9676,3.96836,2.39613,0.61772,0.24213,0.00373,0.02883,2.45469,2.08806,3.19224,0.43992,0.02628,2.28137,2.73681,48098400.0,98767200.0,73432800.0,0.00336,None
TLV:ACE,ACE CAPITAL RETAIL,Consumer Cyclical,Israel,30483.39994,624690800.0,24388000.0,183259066.66667,8914666.66667,16651333.33333,403974933.33333,624690800.0,24388000.0,183259066.66667,8914666.66667,16651333.33333,403974933.33333,0.3324,0.3324,3.04889,3.04889,3.04889,0.20392,3.04889,2.92361,0.063,0.0,0.0,0.0,0.0,0.046,0.81862,0,2.128,2081,0.00102,1.05462,23015000,46134000,2.00452,990,243405797,14932222284,46600.0,0.20774,0.05097,0.20774,0.05097,0.20774,0.05097,0.20774,2.08871,0.05097,1.30483,1,1,101393266.66667,25393133.33333,2.40061,9.5855,5.99305,6.48685,5.51469,6.00077,2.44965,USD,ILS,1.0,0.30749,36.3477,86.8998,0,0,-0.00716,1600,2198,1876.5565,10.89461,30.0625,-5.32302,1.6087,17.33179,1.16238,1.18619,0.14502,0.16442,0.0,0.0,0.75117,0.81041,1.18428,0.16472,0.01,0.79079,0.98754,657340000.0,793186857.14286,725263428.57143,0.04296,None
TLV:ACKR,ACKERSTEIN GROUP L,Basic Materials,Israel,397.30838,677903000.0,66501428.57143,155726000.0,10501666.66667,38501547.61905,416814500.0,677903000.0,66501428.57143,155726000.0,10501666.66667,38501547.61905,416814500.0,0.59622,0.59622,5.03067,5.03067,5.03067,0.62043,5.03067,4.14189,0.10716,0.0,0.0,0.0,0.0,0.07123,0.08695,0,0.283,455.2,0.00062,0.4477,287510016,70697000,0.24589,561,393254973,40932189683,126019.60784,4.116,-0.02142,-0.08363,-0.02142,-0.08363,-0.02142,3.06609,16.38046,-0.02142,1.02858,1,1,91234428.57143,17614000.0,4.31038,22.32627,13.31833,0.86353,0.76973,0.81663,0.90368,USD,ILS,1.0,0.30749,0,0,0,0,0.07131,411,499,459.70834,-0.9807,10.75426,-8.77756,1.00455,1.02758,2.16738,2.29916,0.49483,0.00496,2.23335,2.04408,1.49454,1.40349,2.24327,0.2599,2.14871,1.45901,1.85114,1309235333.33333,1407170000.0,1358202666.66667,0.04835,None
TLV:ADGR,ADGAR INVEST & DEV,Real Estate,Israel,33060213044.56733,73831198.40733,13838115.96533,19198589.13533,1064960.866,7451538.41567,46514893.77133,73831198.40733,13838115.96533,19198589.13533,1064960.866,7451538.41567,46514893.77133,4.88694,4.88694,4328.63821,4328.63821,4328.63821,1.32194,4328.63821,6.1335,-0.11855,0.18819,1.0,0.1226,2.5,0.13563,0.25364,0,-0.188,638.3,-0.00029,0.25153,163544992,-28926000,-0.17687,116,1192431460,32255013875,-249362.06897,0.486,0.00371,-0.47897,0.00371,-0.47897,0.00371,0.24476,2.27379,0.00371,1.06853,1,1,25007095.73467,5088836.504,47.68372,234.323,141.00336,2.87386,2.81893,2.8464,1.68713,ILS,ILS,0.30749,0.30749,7.3374,7.2151,6.9655,6.3741,0.56025,345,676.9,598.3257,6.68103,85.01449,-5.70247,1.7674,30.47957,1.3551,1.35632,0.70549,0.31826,19.26964,18.5273,0.9694,0.85429,1.36571,0.52187,18.90847,0.92185,1.14378,1442985833.10533,1476741388.328,1459863610.71667,0.0251,None
TLV:ADKA,ADIKA STYLE LTD,Consumer Cyclical,Israel,2.330720293349275e+18,176013666.66667,4285066.66667,59013466.66667,-5995866.66667,-855400.0,117513566.66667,176013666.66667,4285066.66667,59013466.66667,-5995866.66667,-855400.0,117513566.66667,0.29765,0.29765,52039480.34137,52039480.34137,52039480.34137,0.19621,52039480.34137,6.13965,-0.03125,0.0,0.0,0.0,0.0,0.00554,0.10486,0,-0.351,695.8,-0.0005,1.10856,21223800,-7089000,-0.33401,451,67542107,4451457062,-15718.40355,0.18849,0.18185,0.18849,0.18185,0.18849,0.18185,0.18849,1.99247,0.18185,1.95925,1,1,16190466.66667,-1414133.33333,4.17172,109642199.78099,54821101.97635,2.96953,2.94906,2.9593,1.72026,USD,ILS,1.0,0.30749,0,0,0,0,1.02033,306.1,1780,1337.5924,-47.98116,127.31134,-60.91011,0.5288,0.5298,1.46838,1.34579,1.05658,0.63401,1.83717,2.47798,1.36975,1.2924,1.41709,0.85529,2.16758,1.34108,1.37908,158961533.33333,175114066.66667,167037800.0,0.01488,None
TLV:AFHL,AFCON HOLDINGS LTD,Technology,Israel,54.066,517509503.37533,3020023.28467,146624741.06067,16490811.696,9755417.49033,332067122.218,517509503.37533,3020023.28467,146624741.06067,16490811.696,9755417.49033,332067122.218,0.20725,0.20725,3.13537,3.13537,3.13537,0.18044,1.04512,2.30464,0.05863,0.01379,2.25,0.26916,2.5,0.18252,0.22939,0,20.595,20870,0.00099,0.6043,5057400,106122000,20.98351,1209,375267368,32657097521,87776.67494,34.738,0.02158,0.28124,0.02158,0.28124,0.02158,26.12381,131.66905,0.02158,1.15789,1,1,19410941.72933,15060655.20667,19.33277,24.91707,22.12492,2.69749,2.64146,2.66948,1.63385,ILS,ILS,0.30749,0.30749,949.1046,215.99013,323.9852,323.9852,1.48246,8320,21720,16215.348,28.70522,150.84135,-3.91344,1.87313,43.19302,1.37493,1.38267,0.28935,0.16303,3.3487,3.31462,1.57707,1.65345,1.3888,0.23619,3.34166,1.62526,1.50703,538296893.34067,577717972.31267,558007432.82667,0.03748,None
TLV:AFID,None,None,Unknown,1e+50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,10000000000000.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0,0,0,0.0,10000.0,100000000,0,0.0,10000000,0,0,0.0,-0.9,-0.9,-0.9,-0.9,0,0,-0.9,0.15,-0.9,0.15,1,1,0,0,10000000000000.0,10000000000000.0,10000000000000.0,10000000000000.0,10000000000000.0,0.0,0.0,USD,USD,1.0,1.0,1992.123,2458.831,1844.0001,1299.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0,0,0,0.0,None
TLV:AFPR,AFI PROPERTIES,Real Estate,Israel,20327265.38802,281972716.85733,54023594.578,82251074.08133,20893638.01,37458616.294,182111895.46933,281972716.85733,54023594.578,82251074.08133,20893638.01,37458616.294,182111895.46933,3.77905,3.77905,4.8413,4.8413,4.8413,1.52489,4.8413,8.87201,0.30567,0.49643,2.5,0.66137,2.5,0.57343,0.09357,0,8.911,14050,0.00063,0.36268,36032600,311606016,8.64789,296,3852505822,155447684046,1052723.02703,-0.47835,0.02935,-0.47835,0.02935,-0.47835,0.02935,-0.47835,0.57165,0.02935,1.19675,1,1,96507601.93933,37276520.716,39.9192,103.34939,71.63429,1.91951,2.07567,1.99759,1.41336,ILS,ILS,0.30749,0.30749,699.04755,262.25336,355.3014,322.38956,0.73834,7496.1353,14960,12387.777,13.41825,87.42991,-6.08289,1.75616,29.33474,1.53169,1.48576,0.38949,1.04969,14.97051,15.70971,0.64434,0.78507,1.51872,0.72959,15.35011,0.7247,1.12171,3613905329.80133,4025529954.69933,3819717642.25033,0.02981,None
