"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,calculated_roa,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,skip_reason
TLV:ACKR,ACKERSTEIN GROUP L,Basic Materials,Israel,108.815077,677903000.0,66501428.571429,599592666.666667,312464000.0,17155000.0,634117000.0,41828214.285714,616854833.333333,495183500.0,677903000.0,66501428.571429,312464000.0,17155000.0,41828214.285714,495183500.0,0.58368,0.58368,4.863244,4.863244,4.863244,0.599786,4.863244,4.056087,4.347368,83023832.092487,42010000.0,100188857.142857,71099428.571429,0.10716,0.0,0.0,0.0,0.0,0.071234,0.08695,0,0.283,439.8,0.000643,0.432798,287510016,70697000,0.245894,561,385118323,39569947950,126019.607843,4.116,-0.041651,-0.147635,-0.041651,-0.147635,-0.041651,3.050091,17.71451,-0.041651,0.245835,1.594459,1.594459,91234428.571429,42229000.0,4.221195,9.119759,6.670477,0.863532,0.769729,0.816631,0.903676,USD,ILS,1.0,0.305912,0,0,0,0,0.035067,411,499,454.92728,-3.325208,7.007299,-11.863727,0.654545,0.655545,2.16738,2.299158,0.494827,0.004965,2.233346,2.044083,1.494544,1.403486,2.243269,0.259896,2.148715,1.459015,1.851142,1309235333.333333,1407170000.0,1358202666.666667,0.050797,151716333.333333,139471000.0,145593666.666667,602316333.333333,612037000.0,607176666.666667,6.358697,None
TLV:ADKA,ADIKA STYLE LTD,Consumer Cyclical,Israel,111.253334,176013666.666667,4285066.666667,5358666.666667,226876000.0,-7089000.0,17606000.0,-1401966.666667,11482333.333333,201444833.333333,176013666.666667,4285066.666667,226876000.0,-7089000.0,-1401966.666667,201444833.333333,0.290616,0.290616,3.30172,3.30172,3.30172,0.187158,3.30172,5.99404,5.497152,13187494.248239,11001000.0,19746800.0,15373900.0,-0.03125,0.0,0.0,0.0,0.0,0.005536,0.10486,0,-0.351,729.7,-0.000481,1.057434,21223800,-7089000,-0.334012,451,65940961,4246170235,-15718.403548,2.63416,0.447095,2.63416,0.447095,2.63416,0.447095,2.63416,16.480097,0.447095,6.936519,1.253424,1.253424,16190466.666667,14216000.0,4.072826,4.638503,4.355665,2.969535,2.94906,2.959297,1.720261,USD,ILS,1.0,0.305912,0,0,0,0,1.084857,335.9,1780,1295.7399,-43.684685,117.237273,-59.005618,0.545392,0.546392,1.468379,1.345794,1.056581,0.634009,1.837166,2.477985,1.369751,1.292403,1.417086,0.855295,2.167575,1.341077,1.379082,158961533.333333,175114066.666667,167037800.0,0.011607,18893533.333333,16090533.333333,17492033.333333,113433266.666667,130276000.0,121854633.333333,4.753539,None
TLV:AFRE,AFRICA ISRAEL RESI,Real Estate,Israel,5044513.380637,1262028800.0,103345466.666667,837673666.666667,1293730000.0,111890000.0,3310726000.0,107617733.333333,2074199833.333333,1277879400.0,1262028800.0,103345466.666667,1293730000.0,111890000.0,107617733.333333,1277879400.0,0.958116,0.958116,5.841866,5.841866,5.841866,0.506088,5.841866,9.21254,9.151909,136183174.589075,135348000.0,140603400.0,137975700.0,0.08663,0.0,0.0,0.0,0.0,0.059503,0.32603,0,8.855,17290,0.000512,0.613028,12643500,111959000,8.855064,54,1238079215,65404469733,2073314.814815,13.571,0.104771,-0.003728,0.104771,-0.003728,0.104771,10.177318,32.151909,0.104771,3.486832,0.574008,0.574008,-58948600.0,-267565000.0,476.12947,46272.091456,23374.110463,2.479843,2.463191,2.471517,1.572106,USD,ILS,1.0,0.305912,474.5507,395.4589,395.4589,395.4589,0.839753,8201,18830,15596.434,10.858674,110.827948,-8.178439,1.710227,25.022008,1.403814,1.406076,0.342506,0.348127,26.833505,24.986781,1.184697,1.069998,1.414945,0.355316,25.920143,1.137347,1.276146,3752019266.666667,3728918400.0,3740468833.333333,0.048771,275594800.0,105339800.0,190467300.0,2672743600.0,2652067333.333333,2662405466.666667,4.004845,None
TLV:ALRPR,ALROV PROPERTIES,Real Estate,Israel,4649728136667.282,270457472.2064,22954677.955733,1006475320.0544,186422160.976,27993395.296,3993341903.592,25474036.625867,2499908611.8232,228439816.5912,270457472.2064,22954677.955733,186422160.976,27993395.296,25474036.625867,228439816.5912,5.72759,5.72759,12.230279,12.230279,12.230279,1.826194,12.230279,12.033966,11.849552,299221029.48379,290050000.0,326733666.666667,308391833.333333,0.15016,0.004667,1.0,0.320656,1.0,0.236801,0.005,0,3.947,15810,0.00025,0.249874,23053900,91508000,3.969307,1042,3490454627,111287889411,87819.577735,-0.633318,-0.240462,-0.633318,-0.240462,-0.633318,-0.240462,-0.633318,0.186668,-0.240462,0.225954,-19.311448,5178.275532,53801824.329067,30377979.336,64.876139,114.900816,89.888478,2.024178,2.11808,2.071129,1.439142,ILS,ILS,0.305912,0.305912,42.0,62.5,103.4,101.0,0.891148,7650,17340,14232.168,11.086378,106.666667,-8.823529,1.684211,22.823291,1.545379,1.521348,0.084715,0.097468,7.122374,7.748512,0.454263,0.340899,1.543364,0.101092,7.445443,0.407581,0.975472,4298582569.510934,4364017289.069867,4331299929.290401,0.025881,-1017652600.0,-1348845466.666667,-1183249033.333333,2782091089.362667,2868608835.6848,2825349962.523733,4.939066,None
TLV:ARAN,ARAN RESEARCH&DEVE,Industrials,Israel,6889102862.097885,109497333.333333,3867666.666667,34586466.666667,96002000.0,3010000.0,105806000.0,3438833.333333,70196233.333333,102749666.666667,109497333.333333,3867666.666667,96002000.0,3010000.0,3438833.333333,102749666.666667,0.309583,0.309583,11.476666,11.476666,11.476666,0.359781,11.476666,6.412221,6.10969,5120066.676208,4310000.0,6896400.0,5603200.0,0.03135,0.0,0.0,0.0,0.0,0.027914,0.20563,0,0.616,2323,0.000265,0.588253,4885640,3010000,0.616091,141,29733043,3453964935,21347.51773,-0.29,-0.144295,0.010994,-0.144295,0.010994,-0.144295,-0.214751,0.228525,-0.144295,0.23557,-53.441613,1871.201009,15156000.0,2132000.0,1.9618,13.94608,7.95394,1.300899,1.344231,1.322565,1.150028,USD,ILS,1.0,0.305912,25.5851,40.9362,20.4681,20.4681,1.401282,967.4,2364,1897.2238,22.442065,140.128179,-1.734349,1.941286,53.522588,1.853729,1.800948,0.205684,0.256745,6.922052,6.641522,1.457683,1.535002,1.837339,0.241215,6.791787,1.506342,1.671841,133913600.0,138313142.857143,136113371.428571,0.045264,23791666.666667,27321142.857143,25556404.761905,74832066.666667,78472571.428571,76652319.047619,5.372376,None
TLV:ARYT,ARYT INDUSTRIES,Technology,Israel,4017.451202,16349813.540267,5215758.811733,-20918099.406933,15778023.224,3593854.176,-84835515.84,4404806.493867,-52876807.623467,16063918.382133,16349813.540267,5215758.811733,15778023.224,3593854.176,4404806.493867,16063918.382133,0.538711,0.538711,3.149389,3.149389,3.149389,0.719587,1.049796,1.74431,1.687268,17040793.288904,16641000.0,19669666.666667,18155333.333333,0.22777,0.784459,2.5,0.569209,2.5,0.653432,0.01,0,0.122,126.2,0.000967,0.570067,96594704,11748000,0.121622,65,27780326,3711414522,180738.461538,-0.649,0.024356,-0.235448,0.024356,-0.235448,0.024356,-0.545612,0.195439,0.024356,1.810634,-5.772215,17324.371844,3526553.536,1359472.928,7.877472,20.43463,14.156051,0.270976,0.266895,0.268936,0.51859,ILS,ILS,0.305912,0.305912,13.0,13.0,18.0,18.0,-0.032209,117.9,161.8,128.56154,-1.836895,7.039864,-22.002472,0.378132,0.379132,4.732334,4.789294,0.190585,0.12932,0.574294,0.719833,5.099256,5.306086,4.770814,0.169953,0.657064,5.212671,4.991742,24803141.018667,24915369.9344,24859255.476533,0.19719,58627000.0,59078400.0,58852700.0,5265438.920533,5255996.4368,5260717.678667,20.641436,None
TLV:ASGR,ASPEN GROUP LTD,Real Estate,Israel,2103575.707469,60447742.134933,20745401.885867,127177815.466667,39564210.784,12553710.744,545436813.232,16649556.314933,336307314.349333,50005976.459467,60447742.134933,20745401.885867,39564210.784,12553710.744,16649556.314933,50005976.459467,5.20601,5.20601,3.744324,3.744324,3.744324,0.858947,3.744324,7.556026,7.6926,119259539.77058,96768000.0,133128733.333333,114948366.666667,0.21705,0.827042,2.5,0.587874,2.5,0.681566,0.25667,0,0.642,804.2,0.000798,0.220659,64087600,21820000,0.340471,30,933703568,15405738500,727333.333333,1.447,-0.077037,-0.061574,-0.077037,-0.061574,-0.077037,1.069857,10.593387,-0.077037,0.242296,3.499838,3.499838,15596964.108267,10423951.4,59.864443,89.572901,74.718672,3.319257,3.589495,3.454376,1.858595,ILS,ILS,0.305912,0.305912,7.1493,6.3383,6.6719,6.6719,0.929926,414.8,829.8,735.54895,9.333308,93.876567,-3.085081,1.876627,43.678436,1.40445,1.444725,1.55955,0.647263,1.294243,0.837968,1.051665,0.800165,1.434588,1.113406,1.076105,0.935915,1.185251,907786742.447467,1074794850.955733,991290796.7016,0.036796,23508733.333333,-163244800.0,-69868033.333333,647908992.031467,742629177.203733,695269084.6176,3.759338,None
TLV:ASHO,ASHOT ASHKELON,Industrials,Israel,81620003.918369,95748844.863467,1148352.859733,-81266195.8064,92621893.976,1450328.792,-323192662.968,1299340.825867,-202229429.3872,94185369.419733,95748844.863467,1148352.859733,92621893.976,1450328.792,1299340.825867,94185369.419733,0.350269,0.350269,40.801509,40.801509,40.801509,0.244598,40.801509,3.946877,3.988165,26326136.361288,28385000.0,23165666.666667,25775333.333333,0.01566,0.013073,1.0,0.02084,1.0,0.02825,0.01,0,0.077,1030,7.5e-05,0.309712,23572400,1957000,0.083021,462,106079963,7405779262,4235.930736,1.337,-0.024734,-0.321462,-0.024734,-0.321462,-0.024734,0.922385,9.854085,-0.024734,0.247527,44.234815,44.234815,-3919609.667733,-12292461.896,369.495758,86296.760322,43333.12804,1.301663,1.276658,1.28916,1.135412,ILS,ILS,0.305912,0.305912,12.727159,25.454407,46.943768,0,-0.161238,1011,1244,1112.6993,-7.432313,1.879327,-17.202572,0.16309,0.16409,1.785295,1.809794,0.444325,0.253127,1.472538,1.613697,1.222141,1.164463,1.807545,0.358726,1.553118,1.203302,1.505423,178491596.317333,175951364.251733,177221480.284533,0.027332,47389866.666667,37329466.666667,42359666.666667,100587352.9968,98267989.3952,99427671.196,6.663437,None
TLV:ATRY,ATREYU CAPITAL,Financial Services,Israel,132332.121908,92283000.0,76056333.333333,110893866.666667,92255000.0,77059000.0,492144000.0,76557666.666667,301518933.333333,92269000.0,92283000.0,76056333.333333,92255000.0,77059000.0,76557666.666667,92269000.0,2.502666,2.502666,2.894173,2.894173,2.894173,2.415724,2.894173,0,100000,0.0,295000.0,315866.666667,305433.333333,0.83528,0.0,0.0,0.0,0.0,0.487303,0.22792,0,5.23,5121,0.001021,0.984106,14723500,77059000,5.233742,16,230872324,22286264921,4816187.5,0.152,-0.012826,-0.011206,-0.012826,-0.011206,-0.012826,0.111198,3.584643,-0.012826,0.248717,26.027099,26.027099,52928066.666667,55064000.0,4.362002,4.1928,4.277401,0.019705,0.064206,0.041956,0.204831,USD,ILS,1.0,0.305912,142.6289,135.837,105.2737,115.4615,-0.071778,4680,6340,5090.909,0.591073,9.423077,-19.227129,0.531325,0.532325,62.730045,35.394344,0.044111,0.011028,0.0,0.0,6.570725,3.079529,49.072195,0.037569,0.01,4.835127,26.953661,217490066.666667,241577133.333333,229533600.0,0.353536,14054400.0,8553933.333333,11304166.666667,3881466.666667,14520000.0,9200733.333333,38.152803,None
TLV:AVER,AVERBUCH FORMICA,Consumer Cyclical,Israel,9892.084691,6113671.714133,722604.932267,13696434.822933,5528135.752,1707906.696,52410679.312,1215255.814133,33053557.067467,5820903.733067,6113671.714133,722604.932267,5528135.752,1707906.696,1215255.814133,5820903.733067,2.208073,2.208073,6.202895,6.202895,6.202895,2.297906,6.202895,7.337911,7.415402,5325614.150721,5898000.0,4528266.666667,5213133.333333,0.30895,0.138466,1.0,0.973076,2.5,0.674096,0.01,0,0.795,1602,0.000496,0.448096,8420790,5583000,0.663002,139,39904257,4152545539,40165.467626,0.260925,-0.102124,0.260925,-0.102124,0.260925,-0.102124,0.260925,5.358079,-0.102124,0.239788,23.772743,23.772743,947796.952533,1135545.344,42.102116,35.141052,38.621584,0.430924,0.451917,0.441421,0.664395,ILS,ILS,0.305912,0.305912,95.003,47.5015,35.6261,29.6884,-0.305592,1450,2689,1802.7343,-11.134991,10.482759,-40.423949,0.245359,0.246359,3.345721,3.219145,0.133239,0.125345,15.913319,16.069138,0.95273,0.972391,3.292433,0.139292,16.001229,0.97256,2.132497,34238303.258133,34133538.5952,34185920.926667,0.055548,-967400.0,-499000.0,-733200.0,10307541.686933,10646349.424,10476945.555467,15.486211,None
