pb,pi,ev,pe,evr / pm,0.03888,17.96591,38.0894,71.79639,120.93283,218.62982,441.09154,1467.88463
4065.040800,0.000010,1.000000,14575288.470542,5169736.500000,2919.000000,2283.000000,1957.000000,1633.000000,1306.000000,977.000000,646.000000,320.000000
4065.040800,0.000010,1.000000,14575288.470542,8.366857,2170.000000,1585.000000,1290.000000,1020.000000,776.000000,581.000000,383.000000,182.000000
4065.040800,0.000010,1.000000,14575288.470542,4.495429,1782.000000,1237.000000,984.000000,775.000000,585.000000,439.000000,293.000000,134.000000
4065.040800,0.000010,1.000000,14575288.470542,2.903603,1388.000000,902.000000,718.000000,552.000000,412.000000,317.000000,213.000000,97.000000
4065.040800,0.000010,1.000000,14575288.470542,1.788427,942.000000,569.000000,444.000000,335.000000,260.000000,206.000000,143.000000,67.000000
4065.040800,0.000010,1.000000,14575288.470542,0.911286,465.000000,253.000000,195.000000,147.000000,115.000000,87.000000,56.000000,25.000000
4065.040800,0.000010,1.000000,24.472564,5169736.500000,2097.000000,1714.000000,1484.000000,1254.000000,987.000000,746.000000,478.000000,242.000000
4065.040800,0.000010,1.000000,24.472564,8.366857,1621.000000,1244.000000,1020.000000,813.000000,602.000000,467.000000,304.000000,150.000000
4065.040800,0.000010,1.000000,24.472564,4.495429,1402.000000,1035.000000,826.000000,659.000000,494.000000,382.000000,251.000000,118.000000
4065.040800,0.000010,1.000000,24.472564,2.903603,1124.000000,779.000000,616.000000,481.000000,358.000000,282.000000,186.000000,86.000000
4065.040800,0.000010,1.000000,24.472564,1.788427,793.000000,510.000000,395.000000,302.000000,233.000000,189.000000,130.000000,59.000000
4065.040800,0.000010,1.000000,24.472564,0.911286,396.000000,225.000000,174.000000,131.000000,104.000000,80.000000,53.000000,22.000000
4065.040800,0.000010,1.000000,16.538118,5169736.500000,1678.000000,1397.000000,1227.000000,1052.000000,845.000000,646.000000,417.000000,216.000000
4065.040800,0.000010,1.000000,16.538118,8.366857,1275.000000,996.000000,830.000000,669.000000,501.000000,396.000000,264.000000,133.000000
4065.040800,0.000010,1.000000,16.538118,4.495429,1118.000000,844.000000,686.000000,556.000000,418.000000,328.000000,216.000000,104.000000
4065.040800,0.000010,1.000000,16.538118,2.903603,922.000000,660.000000,525.000000,415.000000,316.000000,252.000000,164.000000,76.000000
4065.040800,0.000010,1.000000,16.538118,1.788427,680.000000,452.000000,347.000000,273.000000,214.000000,175.000000,121.000000,55.000000
4065.040800,0.000010,1.000000,16.538118,0.911286,359.000000,208.000000,162.000000,123.000000,99.000000,77.000000,51.000000,22.000000
4065.040800,0.000010,1.000000,12.142446,5169736.500000,1251.000000,1042.000000,918.000000,799.000000,660.000000,515.000000,331.000000,171.000000
4065.040800,0.000010,1.000000,12.142446,8.366857,922.000000,714.000000,592.000000,482.000000,369.000000,291.000000,198.000000,98.000000
4065.040800,0.000010,1.000000,12.142446,4.495429,814.000000,610.000000,494.000000,402.000000,309.000000,246.000000,169.000000,84.000000
4065.040800,0.000010,1.000000,12.142446,2.903603,687.000000,491.000000,388.000000,309.000000,237.000000,192.000000,130.000000,63.000000
4065.040800,0.000010,1.000000,12.142446,1.788427,516.000000,346.000000,265.000000,216.000000,169.000000,137.000000,102.000000,48.000000
4065.040800,0.000010,1.000000,12.142446,0.911286,293.000000,172.000000,136.000000,109.000000,87.000000,67.000000,46.000000,20.000000
4065.040800,0.000010,1.000000,8.309211,5169736.500000,832.000000,674.000000,590.000000,508.000000,425.000000,332.000000,212.000000,102.000000
4065.040800,0.000010,1.000000,8.309211,8.366857,583.000000,426.000000,343.000000,269.000000,203.000000,151.000000,101.000000,41.000000
4065.040800,0.000010,1.000000,8.309211,4.495429,515.000000,360.000000,280.000000,217.000000,162.000000,120.000000,80.000000,32.000000
4065.040800,0.000010,1.000000,8.309211,2.903603,443.000000,295.000000,226.000000,169.000000,125.000000,96.000000,65.000000,26.000000
