"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,calculated_roa,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,skip_reason
NTES,"NetEase, Inc.",Communication Services,China,57.27801,10028080180.828,2107078423.89467,9150391182.03333,3078057658.41333,514754594.65333,10108161957.46,1310916509.274,9629276569.74667,6553068919.62067,10028080180.828,2107078423.89467,3078057658.41333,514754594.65333,1310916509.274,6553068919.62067,0.089,0.089,38.2804,22.89091,36.35672,0.99491,36.35672,0.382,0.43127,14228197664.65969,4619298000.0,16496591800.0,10557944900.0,0.16793,1.2095,5.625,1.04138,6.25,1.02267,0.38588,4.95,2.96,113.71,0.02603,0.88569,670980992,12950899712,19.30144,28239,6837208064,76729458688,458617.50459,0.25,0.20583,0.39291,0.20583,0.39291,0.20583,0.28573,5.59534,0.20583,4.78688,92.84,92.84,3160565269.29067,956052216.81867,2.16329,7.1515,4.65739,0.6216,0.59337,0.60749,0.77942,CNY,USD,0.15458,1.0,0.3,0.06,0.195,1.485,113.71,82.93,134.33,109.76696,3.59219,37.11564,-15.35026,1.19767,2.9513,2.86236,2.92746,0.32697,0.50025,3.54736,14.03662,2.25861,2.31883,2.90491,0.42361,8.80199,2.29872,2.60182,18842904327.492,22724938512.08266,20783921419.78733,0.08307,52103965200.0,64199088866.66666,58151527033.33333,6554925750.03867,7770145115.088,7162535432.56333,3.60667,None
LPX,Louisiana-Pacific Corporation,Industrials,United States,3200.93992,2662266666.66667,343466666.66667,1201206666.66667,914266666.66667,264733333.33333,1280466666.66667,304100000.0,1240836666.66667,1788266666.66667,2662266666.66667,343466666.66667,914266666.66667,264733333.33333,304100000.0,1788266666.66667,1.983,1.983,13.5426,12.98925,13.47343,1.99856,13.47343,5.51,6.63224,823584054.44646,374600000.0,601600000.0,488100000.0,0.2441,0.12301,1.0,8.44876,30.07812,4.92518,0.99108,4.65,4.46,60.5,0.07372,5.20017,106546000,786000000,7.3771,4500,6386465280,6435378688,174666.66667,8.697,0.07082,0.28755,0.07082,0.28755,0.07082,6.59464,25.93002,0.07082,2.91123,1.11,1.11,493600000.0,290733333.33333,12.93854,21.96675,17.45264,0.68724,0.68404,0.68564,0.82803,USD,USD,1.0,1.0,0.16,0.16,0.145,0.145,60.5,25.44,76.35,53.23486,13.64734,137.81447,-20.75966,1.37733,6.82705,2.51323,2.47646,0.0,0.0,0.26125,0.17997,3.51879,3.4459,2.50484,0.01,0.23061,3.49235,2.99859,2100300000.0,2189400000.0,2144850000.0,0.16178,686366666.66667,769733333.33333,728050000.0,836266666.66667,882933333.33333,859600000.0,0.34933,None
THO,"Thor Industries, Inc.",Consumer Cyclical,United States,5918.68757,8047151066.66667,236763200.0,2106275866.66667,3065617600.0,156217733.33333,2459834933.33333,196490466.66667,2283055400.0,5556384333.33333,8047151066.66667,236763200.0,3065617600.0,156217733.33333,196490466.66667,5556384333.33333,0.678,0.678,11.37697,10.1558,11.22432,0.56185,11.22432,7.637,9.10498,708531025.00546,268334333.33333,603954600.0,436144466.66667,0.04967,0.07352,2.5,0.31633,6.25,0.21886,0.94871,11.04,9.855,116.2,0.08481,2.27161,55366200,548760000,9.91146,22250,7491267584,6207658496,24663.37079,6.616,0.02743,0.20874,0.02743,0.20874,0.02743,5.01418,22.64238,0.02743,1.90632,0.57,0.57,514130200.0,148073333.33333,14.57076,50.5916,32.58118,1.34311,1.4537,1.3984,1.18254,USD,USD,1.0,1.0,0.41,0.41,0.41,0.41,116.2,78.64,152.2,121.61899,-4.45571,47.76195,-23.65309,1.02121,1.13418,1.9362,1.6948,0.07439,0.11446,0.98878,0.64332,1.44312,1.45506,1.8255,0.10443,0.82605,1.45909,1.64229,5128581666.66667,6445548266.66667,5787064966.66667,0.05395,569060333.33333,821183466.66667,695121900.0,2955415933.33333,3803092866.66667,3379254400.0,0.44461,None
LEN,Lennar Corporation,Consumer Cyclical,United States,9691.93232,21515913533.33333,2087909200.0,9034415600.0,6151057733.33333,872554533.33333,11651695533.33333,1480231866.66667,10343055566.66667,13833485633.33333,21515913533.33333,2087909200.0,6151057733.33333,872554533.33333,1480231866.66667,13833485633.33333,1.366,1.366,9.39753,7.40614,9.14861,1.27054,9.14861,7.45,8.9761,3179828238.42442,979140857.14286,2775019933.33333,1877080395.2381,0.13831,3.33689,34.80469,0.35977,2.5,2.03935,0.95729,13.69,10.789,101.78,0.106,1.59984,275760000,3353520896,12.16101,9495,33395191808,31067011072,353188.08805,0.607,0.11886,0.37223,0.11886,0.37223,0.11886,0.54831,7.65478,0.11886,3.69754,0.73,0.73,2921452800.0,816574714.28571,11.43102,40.89668,26.16385,0.79165,0.61108,0.70136,0.83747,USD,USD,1.0,1.0,0.25,0.25,0.25,0.25,101.78,60.93,110.61,92.02776,10.59707,67.04415,-7.983,1.64452,19.78075,2.32694,2.65133,0.14981,0.04742,0.39214,0.72068,10.90194,15.05159,2.49913,0.10862,0.56641,12.98677,7.74295,28853123733.33333,30745291666.66667,29799207700.0,0.06967,19585744800.0,20329614400.0,19957679600.0,12434285466.66667,11600909333.33333,12017597400.0,0.23904,None
PHM,"PulteGroup, Inc.",Consumer Cyclical,United States,33550.88176,10539655466.66667,1187518600.0,2635911400.0,2874098600.0,357781066.66667,3270053533.33333,772649833.33333,2952982466.66667,6706877033.33333,10539655466.66667,1187518600.0,2874098600.0,357781066.66667,772649833.33333,6706877033.33333,1.295,1.295,9.91208,6.29875,9.46041,1.26636,9.46041,7.399,8.53361,1537040949.77474,497222733.33333,1634062400.0,1065642566.66667,0.1314,0.62654,5.625,0.3094,2.5,0.47519,0.9007,8.77,5.573,55.82,0.09984,2.17841,262966000,1494139008,5.68187,5249,14860442624,14526241792,284652.12574,0.493,0.07357,0.4014,0.07357,0.4014,0.07357,0.4701,7.10638,0.07357,2.96238,0.39,0.39,1475892266.66667,333441000.0,10.06879,44.56693,27.31786,0.95133,0.7762,0.86377,0.92939,USD,USD,1.0,1.0,0.14,0.14,0.14,0.12,55.82,33.43,63.91,50.7084,10.08037,66.97577,-12.65843,1.46916,10.05576,2.06863,2.29859,3.45225,726.47933,0.32591,0.74209,5.7367,5.60756,2.19361,364.97579,0.544,5.68213,3.93787,11369264866.66667,11605096600.0,11487180733.33333,0.08726,8905926733.33333,8919640466.66667,8912783600.0,5490450066.66667,5065506866.66667,5277978466.66667,0.24899,None
DHI,"D.R. Horton, Inc.",Consumer Cyclical,United States,38333.41536,18605826666.66667,1961506666.66667,8400306666.66667,6233293333.33333,859460000.0,10738860000.0,1410483333.33333,9569583333.33333,12419560000.0,18605826666.66667,1961506666.66667,6233293333.33333,859460000.0,1410483333.33333,12419560000.0,1.63,1.63,10.70716,7.90753,10.35721,1.37747,10.35721,9.503,11.3198,2999713175.52352,1119726666.66667,2585733333.33333,1852730000.0,0.13161,3.61594,34.80469,0.60179,4.375,2.26699,0.83819,11.68,8.626,92.81,0.09294,2.56834,360484000,3180999936,8.82425,9716,39406055424,33294303232,327398.09963,0.926,0.13545,0.35563,0.13545,0.35563,0.13545,0.78341,9.10103,0.13545,3.93031,0.53,0.53,1098120000.0,161240000.0,35.88502,244.39379,140.13941,0.55896,0.58754,0.57325,0.75713,USD,USD,1.0,1.0,0.2,0.2,0.2,0.175,92.81,54.89,106.89,84.82659,9.41145,69.08362,-13.17242,1.45846,9.62432,2.83169,2.74425,1.82414,1.39056,0.44202,0.26616,5.11599,5.55321,2.79797,1.61735,0.36409,5.3446,4.07129,16942573333.33333,20239366666.66667,18590970000.0,0.09587,12790533333.33333,15515013333.33333,14152773333.33333,5994720000.0,7382080000.0,6688400000.0,0.3016,None
EQC,Equity,Real Estate,United States,43357.06039,118415933.33333,410423600.0,-703854133.33333,15125000.0,-3882533.33333,-710244533.33333,203270533.33333,-707049333.33333,66770466.66667,118415933.33333,410423600.0,15125000.0,-3882533.33333,203270533.33333,66770466.66667,7.206,7.206,375.85715,26.60585,332.20074,51.48161,332.20074,-163.266,2.20879,6394933.71308,-3284400.0,34364133.33333,15539866.66667,0.26508,27.27886,5.625,-0.27291,0.0,15.63467,0.9691,-0.07,0.07,26.13,0.00268,1.03274,121922000,8529000,0.06995,28,448981376,3207767808,304607.14286,1.35359,-0.43572,1.35359,-0.43572,1.35359,-0.43572,1.35359,11.88437,-0.43572,0.20643,117.83,117.83,62764800.0,3149933.33333,7.15339,142.53679,74.84509,0.0469,0.02898,0.03794,0.19478,USD,USD,1.0,1.0,3.5,3.5,2.5,0.25,26.13,25.8,33.02,27.88899,-6.3071,1.27907,-20.86614,0.09141,0.09241,64.3605,90.42706,8.88633,0.70851,7.95721,6.39368,74.99246,94.61446,77.40378,4.80742,7.18544,84.81346,81.10862,3386491000.0,3356453000.0,3371472000.0,0.08029,2808360733.33333,2994665133.33333,2901512933.33333,146671600.0,90749466.66667,118710533.33333,4.12047,None
FOXA,Fox Corporation,Communication Services,United States,54101.25101,11613800000.0,1341200000.0,568333333.33333,3328000000.0,517733333.33333,1709866666.66667,929466666.66667,1139100000.0,7470900000.0,11613800000.0,1341200000.0,3328000000.0,517733333.33333,929466666.66667,7470900000.0,1.989,1.989,11.12038,13.62044,11.43289,1.70264,11.43289,7.947,9.07481,2424063331.82333,765733333.33333,2706333333.33333,1736033333.33333,0.16234,0.66708,5.625,0.41578,2.5,0.53318,1.0042,2.74,3.356,37.55,0.08937,1.96318,326937984,2019000064,6.17548,9000,24731805696,21175705600,224333.34044,6.269,0.08398,-0.206,0.08398,-0.206,0.08398,4.65025,21.81444,0.08398,3.14796,1.68,1.68,2220333333.33333,964400000.0,11.13878,25.64476,18.39177,0.9399,1.0578,0.99885,0.99943,USD,USD,1.0,1.0,0.23,0.23,0.23,0.23,37.55,23.93,44.8,35.55696,5.60521,56.91601,-16.18304,1.30522,4.94434,2.28535,1.96656,1.50541,1.17221,4.04418,4.33109,3.61836,3.39306,2.13595,1.34881,4.19764,3.51571,2.82583,19241733333.33333,22734400000.0,20988066666.66666,0.06429,4807400000.0,5937466666.66667,5372433333.33333,9248333333.33333,11560266666.66667,10404300000.0,0.29268,None
FOX,Fox Corporation,Communication Services,United States,60553.88007,11613800000.0,1341200000.0,568333333.33333,3328000000.0,517733333.33333,1709866666.66667,929466666.66667,1139100000.0,7470900000.0,11613800000.0,1341200000.0,3328000000.0,517733333.33333,929466666.66667,7470900000.0,1.9,1.9,10.53933,15.05106,11.1033,1.69956,11.1033,7.593,8.67052,2424016426.44541,765733333.33333,2706333333.33333,1736033333.33333,0.16234,0.66708,5.625,0.41578,2.5,0.53318,0.57074,2.35,3.356,35.56,0.09438,1.8606,253268992,2019000064,7.97176,9000,23629412352,21137393664,224333.34044,6.269,0.08398,-0.206,0.08398,-0.206,0.08398,4.65025,21.81444,0.08398,3.14796,2.72,2.72,2220333333.33333,964400000.0,10.64228,24.50167,17.57198,0.9399,1.0578,0.99885,0.99943,USD,USD,1.0,1.0,0.23,0.23,0.23,0.23,35.56,24.03,42.14,34.24224,3.84833,47.98169,-15.61462,1.27333,4.26231,2.28535,1.96656,1.50541,1.17221,4.04418,4.33109,3.61836,3.39306,2.13595,1.34881,4.19764,3.51571,2.82583,19241733333.33333,22734400000.0,20988066666.66666,0.06429,4807400000.0,5937466666.66667,5372433333.33333,9248333333.33333,11560266666.66667,10404300000.0,0.2924,None
CI,Cigna Corporation,Healthcare,United States,70576.56854,135903533333.33333,6372733333.33333,23681600000.0,41104600000.0,2023866666.66667,28089600000.0,4198300000.0,25885600000.0,88504066666.66666,135903533333.33333,6372733333.33333,41104600000.0,2023866666.66667,4198300000.0,88504066666.66666,0.65,0.65,10.23037,10.29542,10.2385,0.49987,10.2385,10.054,11.37968,8350533654.26696,2433266666.66667,9863533333.33333,6148400000.0,0.05172,0.73842,15.46875,0.12233,2.5,0.47429,0.9248,23.12,23.267,238.3,0.09764,1.70209,342600000,8438000128,24.62931,72226,106096517120,81549074432,116827.73694,-0.017,0.66618,0.66834,0.66618,0.66834,0.66618,0.15434,4.17856,0.66618,8.41196,0.97,0.97,8824400000.0,2065600000.0,12.02309,51.36353,31.69331,2.36072,2.17598,2.26835,1.50611,USD,USD,1.0,1.0,1.0,1.0,0.04,0.04,238.3,158.84,272.81,233.25804,2.16154,50.02518,-12.64983,1.3944,7.35069,1.43333,1.4609,0.85931,0.7624,0.47284,0.47678,0.75124,0.77206,1.45711,0.82085,0.48481,0.77165,1.11438,148994333333.33334,154544533333.33334,151769433333.33334,0.04766,-8784466666.66667,-8180600000.0,-8482533333.33333,103627133333.33333,105820733333.33333,104723933333.33333,0.35091,None
