"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,quarterized_revenue,quarterized_earnings,effective_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,skip_reason
FHN,First Horizon Corporation,Financial Services,United States,12.97652,2040626266.66667,651967666.66667,794944200.0,263730400.0,457849033.33333,1417785233.33333,2040626266.66667,651967666.66667,794944200.0,263730400.0,457849033.33333,1417785233.33333,0.195,0.195,8.04035,10.20732,8.31122,3.30726,16.62243,1.19,0.38082,0.77347,2.5,2.0685,6.25,1.4674,0.84796,1.64,2.082,17.07,0.12197,1.22521,552000000,1035000000,1.875,8284,544840000,9240479744,124939.64268,16.107,0.07935,0.22568,0.07935,0.22568,0.07935,12.13667,61.73335,0.07935,1.44677,1.07,1.07,342346800.0,448107714.28571,1.59149,1.21587,1.40368,9.22375,10.25774,9.74074,3.12102,USD,USD,1.0,1.0,0.15,0.15,0.15,0.15,17.07,8.31,19.45,16.27168,4.9062,105.41516,-12.2365,1.57271,15.1319,1.11976,1.10761,2.88358,2.42085,50.44141,40.71342,0.15371,0.18644,1.12369,2.66222,45.58741,0.18007,0.65188,64666926933.33334,83442921133.33333,74054924033.33333,None
WFC,Wells Fargo & Company,Financial Services,United States,44.11966,70117666666.66667,11438200000.0,18008000000.0,3439666666.66667,7438933333.33333,44062833333.33334,70117666666.66667,11438200000.0,18008000000.0,3439666666.66667,7438933333.33333,44062833333.33334,0.063,0.063,28.67445,11.69468,26.55198,2.71339,53.10396,0.53823,0.11598,0.36465,2.5,2.07167,12.03125,1.31456,0.71055,3.57,1.456,42.79,0.03403,1.03575,4141120000,6031000064,1.45637,264513,4003845120,172891766784,22800.39191,6.262,-0.10289,-0.42503,-0.10289,-0.42503,-0.10289,4.59024,24.00122,-0.10289,0.94711,0.1,0.1,8939533333.33333,-13156142857.14286,0.44788,66.10233,33.2751,10.44657,10.71578,10.58118,3.25287,USD,USD,1.0,1.0,0.1,0.1,0.1,0.1,42.79,20.76,48.13,37.98277,12.65634,106.11753,-11.09495,1.60979,17.40276,1.10828,1.1054,0.0,0.0,160.41026,190.22425,0.31463,0.32382,1.11684,0.01,175.32726,0.32922,0.72303,1939669800000.0,1954013466666.6667,1946841633333.3335,None
RE,"Everest Re Group, Ltd.",Financial Services,Bermuda,44.16199,8745129266.66667,587459000.0,2676741733.33333,244419866.66667,415939433.33333,5710935500.0,8745129266.66667,587459000.0,2676741733.33333,244419866.66667,415939433.33333,5710935500.0,0.911,0.911,11.27656,7.90264,10.85482,0.91604,21.70963,22.64579,0.08121,0.38059,5.625,0.2301,2.5,0.30483,0.97217,29.89,20.947,245.53,0.08531,0.9778,40083500,828864000,20.67843,1746,9419277312,9468124160,474721.64948,19.579,0.06715,-0.04473,0.06715,-0.04473,0.06715,14.67307,74.41533,0.06715,1.38573,0.15,0.15,2185298066.66667,849163533.33333,4.31029,11.09242,7.70136,2.20351,2.37379,2.28865,1.51283,USD,USD,1.0,1.0,1.55,1.55,1.55,1.55,0.10704,193.03,281.27,246.57304,-0.42301,27.19784,-12.70665,1.18994,2.83885,1.45751,1.4227,0.637,0.59789,0.08693,0.08868,1.33408,1.48063,1.45011,0.62744,0.09781,1.41735,1.43373,29646455733.33333,32587139400.0,31116797566.66666,None
THO,"Thor Industries, Inc.",Consumer Cyclical,United States,87.07795,8047151066.66667,236763200.0,3065617600.0,156217733.33333,196490466.66667,5556384333.33333,8047151066.66667,236763200.0,3065617600.0,156217733.33333,196490466.66667,5556384333.33333,0.669,0.669,10.58853,9.53839,10.45727,0.52291,10.45727,7.535,0.04967,0.07352,2.5,0.31633,6.25,0.21886,0.94811,10.94,9.855,104.84,0.094,2.11419,55366200,548760000,9.91146,22250,7391054848,5777462784,24663.37079,6.616,0.01254,0.00326,0.01254,0.00326,0.01254,4.96281,25.86407,0.01254,1.1127,0.57,0.57,514130200.0,148073333.33333,14.37584,49.91483,32.14533,1.34311,1.4537,1.3984,1.18254,USD,USD,1.0,1.0,0.41,0.41,0.41,0.4,-0.08833,78.64,152.2,120.63413,-13.09259,33.31638,-31.11695,0.71234,0.71334,1.9362,1.6948,0.07439,0.11446,0.98878,0.64332,1.44312,1.45506,1.8255,0.10443,0.82605,1.45909,1.64229,5128581666.66667,6445548266.66667,5787064966.66667,None
NTES,"NetEase, Inc.",Communication Services,China,93.75096,9958665988.866,2092493264.666,3056751398.26,511191472.54,1301842368.603,6507708693.563,9958665988.866,2092493264.666,3056751398.26,511191472.54,1301842368.603,6507708693.563,0.096,0.096,36.1042,21.56827,34.28721,0.97314,34.28721,0.415,0.16793,1.2095,5.625,1.04138,6.25,1.02267,0.38599,4.98,2.975,110.85,0.02684,0.83957,670980992,12950899712,19.30144,28239,7426744320,75050590208,458617.50459,0.25,0.09296,-0.03868,0.09296,-0.03868,0.09296,0.17783,1.93915,0.09296,1.51479,92.12,92.12,3138687892.928,949434440.444,2.36619,7.82228,5.09424,0.6216,0.59337,0.60749,0.77942,CNY,USD,0.15351,1.0,0.3,0.06,0.195,0.297,0.28419,82.012,134.33,108.3842,2.27505,35.16315,-17.47934,1.10241,1.795,2.86236,2.92746,0.32697,0.50025,3.54736,14.03662,2.25861,2.31883,2.90491,0.42361,8.80199,2.29872,2.60182,18712474080.174,22567636893.452,20640055486.813,None
LEN.B,Lennar Corporation,Consumer Cyclical,United States,229.27711,21515913533.33333,2087909200.0,6151057733.33333,872554533.33333,1480231866.66667,13833485633.33333,21515913533.33333,2087909200.0,6151057733.33333,872554533.33333,1480231866.66667,13833485633.33333,1.083,1.083,7.38662,7.38662,7.38662,1.18211,7.38662,5.907,0.13831,3.33689,34.80469,0.35977,2.5,2.03935,0.38374,0,10.672,76.24,0.13998,1.26195,37621200,3353520896,89.13913,9495,26487965696,28904675328,353188.08805,0.607,0.04827,0.1444,0.04827,0.1444,0.04827,0.49135,3.50676,0.04827,1.29136,1,1,2921452800.0,816574714.28571,9.06671,32.4379,20.7523,0.79165,0.61108,0.70136,0.83747,USD,USD,1.0,1.0,0.25,0.25,0.25,0.125,0.71258,42.75,86.22,72.37521,5.33994,78.33918,-11.57504,1.54083,13.38237,2.32694,2.65133,0.14981,0.04742,0.39214,0.72068,10.90194,15.05159,2.49913,0.10862,0.56641,12.98677,7.74295,28853123733.33333,30745291666.66667,29799207700.0,None
NUE,Nucor Corporation,Basic Materials,United States,247.47342,21457309800.0,1126436933.33333,6130853714.28571,668042142.85714,897239538.09524,13794081757.14286,21457309800.0,1126436933.33333,6090704400.0,642035933.33333,884236433.33333,13774007100.0,1.527,1.527,17.2707,13.57956,16.80931,1.29272,16.80931,10.035,0.07633,0.12752,2.5,3.06809,30.07812,1.81053,0.80951,6.85,5.386,95.25,0.05655,2.43164,299241984,1634468992,5.46203,26400,32870285312,27835488256,61911.70424,45.354,-0.03244,-0.20289,-0.03244,-0.20289,-0.03244,33.96478,170.87389,-0.03244,1.01756,0.63,0.63,2577060666.66667,604562666.66667,12.75495,54.37035,33.56265,0.79076,0.82078,0.80577,0.89765,USD,USD,1.0,1.0,0.405,0.405,0.403,0.403,1.19905,38.51,110.97,72.66428,31.08229,147.33835,-14.16599,1.56611,14.75455,2.3204,2.26556,0.53377,1.02016,0.19185,0.5469,3.38753,3.62846,2.30298,0.78697,0.37938,3.518,2.91049,19070950000.0,20512357266.66667,19791653633.33334,None
LEN,Lennar Corporation,Consumer Cyclical,United States,298.26191,21515913533.33333,2087909200.0,6151057733.33333,872554533.33333,1480231866.66667,13833485633.33333,21515913533.33333,2087909200.0,6151057733.33333,872554533.33333,1480231866.66667,13833485633.33333,1.311,1.311,9.19884,8.02698,9.05236,1.18578,9.05236,7.151,0.13831,3.33689,34.80469,0.35977,2.5,2.03935,0.9576,12.23,10.672,94.65,0.11275,1.57155,275760000,3353520896,12.16101,9495,32063025152,28994607104,353188.08805,0.607,0.04827,0.1444,0.04827,0.1444,0.04827,0.49135,3.50676,0.04827,1.29136,0.84,0.84,2921452800.0,816574714.28571,10.97503,39.26527,25.12015,0.79165,0.61108,0.70136,0.83747,USD,USD,1.0,1.0,0.25,0.25,0.25,0.125,0.60461,57.13,110.61,90.38863,4.7145,65.67478,-14.42908,1.40314,7.63148,2.32694,2.65133,0.14981,0.04742,0.39214,0.72068,10.90194,15.05159,2.49913,0.10862,0.56641,12.98677,7.74295,28853123733.33333,30745291666.66667,29799207700.0,None
ZION,Zions Bancorporation N.A.,Financial Services,United States,434.01062,2577000000.0,662400000.0,777400000.0,275200000.0,468800000.0,1677200000.0,2577000000.0,662400000.0,777400000.0,275200000.0,468800000.0,1677200000.0,0.724,0.724,10.22566,11.61663,10.39953,2.94255,20.79906,4.32424,0.3025,0.63594,2.5,10.40647,30.07812,6.18146,0.86746,4.33,4.919,51.62,0.09529,1.11837,163800000,809000000,4.93895,9682,2027206016,8239139840,83557.1163,22,-0.03804,-0.09998,-0.03804,-0.09998,-0.03804,16.475,83.42502,-0.03804,1.01196,-0.31,3.1,788000000.0,175571428.57143,2.5726,11.54633,7.05946,9.50331,10.2512,9.87726,3.14281,USD,USD,1.0,1.0,0.34,0.34,0.34,0.34,51.62,27.55,60.65,51.90248,-0.54425,87.36842,-14.88871,1.45438,9.46387,1.11412,1.10518,0.0,0.0,72.28423,63.55373,0.08364,0.12045,1.11965,0.01,67.92898,0.11204,0.61585,75486666666.66667,82669666666.66667,79078166666.66667,None
RS,Reliance Steel & Aluminum Co.,Basic Materials,United States,1039.85393,9812026666.66667,509306666.66667,2495606666.66667,195266666.66667,352286666.66667,6153816666.66667,9812026666.66667,509306666.66667,2495606666.66667,195266666.66667,352286666.66667,6153816666.66667,1.173,1.173,16.89104,12.22983,16.30839,1.05316,16.30839,9.988,0.06327,0.1273,2.5,2.26283,30.07812,1.34846,0.86426,12.27,8.884,154.74,0.05741,1.7893,63707800,574300032,9.0146,12800,10649313280,9559992320,44867.19,3.326,-0.05737,-0.16058,-0.05737,-0.16058,-0.05737,2.45435,13.32177,-0.05737,0.99263,1.02,1.02,1087880000.0,218900000.0,9.78905,48.64922,29.21913,0.60016,0.59025,0.59521,0.7715,USD,USD,1.0,1.0,0.688,0.688,0.625,0.625,0.55907,89.38,181.21,143.92413,7.51498,73.12598,-14.60736,1.4235,8.32041,2.68031,2.69703,0.0,0.0,0.18146,0.19445,4.81253,4.62996,2.69867,0.01,0.19795,4.73125,3.71496,8081306666.66667,8302713333.33333,8192010000.0,None
