Symbol,Name
AFL,Aflac Inc
APA,Apa Corp
AXS,Axis Capital Holdings
BDX,Becton Dickinson and 
BKR,Baker Hughes A Ge Co.
BOH,Bank of Hawaii Corp
BPOP,Popular Inc
CERN,Cerner Corp
CF,Cf Industries Holding
CLR,Continental Resources
COP,Conocophillips
CVS,CVS Corp
CVX,Chevron Corp
DVN,Devon Energy Corp
EOG,Eog Resources
FANG,Diamondback Energy
FE,Firstenergy Corp
FLO,Flowers Foods
FNB,F.N.B. Corp
GIS,General Mills
GL,Globe Life Inc
HAL,Halliburton Company
HES,Hess Corp
K,Kellogg Company
KDP,Keurig Dr Pepper Inc
MDLZ,Mondelez Intl Inc
MPC,Marathon Petroleum Co
MRO,Marathon Oil Corp
NEM,Newmont Mining Corp
NOC,Northrop Grumman Corp
OXY,Occidental Petroleum 
PGR,Progressive Corp
PXD,Pioneer Natural Resou
RE,Everest Re Group
SLB,Schlumberger N.V.
TRGP,Targa Resources
TRV,The Travelers Compani
TSN,Tyson Foods
VRTX,Vertex Pharmaceutic
WMB,Williams Companies
WTFC,Wintrust Financial Co
XOM,Exxon Mobil Corp
