Symbol,Name
AA,Alcoa Corp
ABBV,Abbvie Inc
ABC,Amerisourcebergen Cor
ADM,Archer Daniels Midlan
AEP,American Electric Pow
AM,Antero Midstream Corp
ANTM,Anthem Inc
APA,Apa Corp
ATO,Atmos Energy Corp
BG,Bunge Ltd
BKR,Baker Hughes A Ge Co.
BXP,Boston Properties
CERN,Cerner Corp
CF,Cf Industries Holding
CHKP,Check Point Software
CLR,Continental Resources
CMS,Cms Energy Corp
CNP,Centerpoint Energy In
CONE,Cyrusone Inc
COP,Conocophillips
CTRA,Coterra Energy Inc
CVX,Chevron Corp
CW,Curtiss-Wright Corp
D,Dominion Resources
DLTR,Dollar Tree Inc
DTE,Dte Energy Company
DTM,Dt Midstream Inc
DVN,Devon Energy Corp
ED,Consolidated Edison C
EOG,Eog Resources
EQT,Eqt Corp
EXC,Exelon Corp
FANG,Diamondback Energy
FCX,Freeport-Mcmoran Inc
FE,Firstenergy Corp
FHN,First Horizon Corp
FMC,FMC Corp
GD,General Dynamics Corp
HAL,Halliburton Company
HCA,Hca Holdings Inc
HES,Hess Corp
HRL,Hormel Foods Corp
HSIC,Henry Schein Inc
JKHY,Jack Henry & Assoc
KEX,Kirby Corp
KMI,Kinder Morgan
KR,Kroger Company
KRC,Kilroy Realty Corp
LMT,Lockheed Martin Corp
LNG,Cheniere Energy
MCFE,Mcafee Corp Cl A
MCK,Mckesson Corp
MOS,Mosaic Company
MRCY,Mercury Sys Inc
MRO,Marathon Oil Corp
NEM,Newmont Mining Corp
NI,NiSource Inc
NOC,Northrop Grumman Corp
NOV,Nov Inc
NUAN,Nuance Communicatns
NUE,Nucor Corp
NXST,Nexstar Media Group I
OGE,Oge Energy Corp
OGN,Organon & CO
OKE,Oneok Inc
OXY,Occidental Petroleum 
PXD,Pioneer Natural Resou
RGLD,Royal Gold Inc
RS,Reliance Steel & Alum
RYN,Rayonier Inc REIT
SCCO,Southern Copper Corp
SRE,Sempra
TAP,Molson Coors Brewing 
TRGP,Targa Resources
UNP,Union Pacific Corp
VNO,Vornado Realty Trust
VRTX,Vertex Pharmaceutic
WLK,Westlake Chemical Cor
WMB,Williams Companies
XOM,Exxon Mobil Corp
