pi,ev,pe,evr / pm,0.01247,11.8604,20.9385,35.3421,59.17216,97.10906,172.20096,368.93309
0.000010,1341.000000,29046.813085,5.732500,1311.000000,984.000000,782.000000,575.000000,393.000000,251.000000,132.000000,47.000000
0.000010,1341.000000,29046.813085,3.698000,1023.000000,733.000000,560.000000,398.000000,261.000000,169.000000,86.000000,26.000000
0.000010,1341.000000,29046.813085,2.498238,758.000000,509.000000,369.000000,244.000000,151.000000,96.000000,51.000000,15.000000
0.000010,1341.000000,29046.813085,1.591500,481.000000,302.000000,203.000000,126.000000,80.000000,51.000000,27.000000,7.000000
0.000010,1341.000000,29046.813085,0.887750,206.000000,119.000000,79.000000,51.000000,31.000000,17.000000,10.000000,0.000000
0.000010,1341.000000,58.497369,41547.050000,1563.000000,1326.000000,1132.000000,912.000000,683.000000,480.000000,279.000000,110.000000
0.000010,1341.000000,58.497369,10.532500,1352.000000,1128.000000,937.000000,724.000000,518.000000,337.000000,181.000000,64.000000
0.000010,1341.000000,58.497369,5.732500,1136.000000,926.000000,744.000000,549.000000,376.000000,243.000000,128.000000,44.000000
0.000010,1341.000000,58.497369,3.698000,894.000000,701.000000,538.000000,382.000000,251.000000,165.000000,83.000000,23.000000
0.000010,1341.000000,58.497369,2.498238,660.000000,486.000000,352.000000,232.000000,143.000000,92.000000,48.000000,12.000000
0.000010,1341.000000,58.497369,1.591500,428.000000,291.000000,195.000000,119.000000,76.000000,48.000000,25.000000,0.000000
0.000010,1341.000000,58.497369,0.887750,182.000000,115.000000,75.000000,48.000000,29.000000,16.000000,9.000000,0.000000
0.000010,1341.000000,38.241610,41547.050000,1328.000000,1136.000000,973.000000,782.000000,577.000000,411.000000,233.000000,95.000000
0.000010,1341.000000,38.241610,10.532500,1171.000000,989.000000,827.000000,639.000000,452.000000,300.000000,161.000000,59.000000
0.000010,1341.000000,38.241610,5.732500,1014.000000,841.000000,682.000000,502.000000,342.000000,224.000000,120.000000,42.000000
0.000010,1341.000000,38.241610,3.698000,817.000000,653.000000,506.000000,356.000000,232.000000,154.000000,82.000000,22.000000
0.000010,1341.000000,38.241610,2.498238,615.000000,463.000000,338.000000,222.000000,136.000000,89.000000,47.000000,11.000000
0.000010,1341.000000,38.241610,1.591500,404.000000,280.000000,187.000000,114.000000,74.000000,48.000000,25.000000,0.000000
0.000010,1341.000000,38.241610,0.887750,176.000000,113.000000,73.000000,47.000000,29.000000,16.000000,9.000000,0.000000
0.000010,1341.000000,28.752529,41547.050000,1094.000000,944.000000,810.000000,648.000000,486.000000,346.000000,196.000000,80.000000
0.000010,1341.000000,28.752529,10.532500,965.000000,823.000000,690.000000,531.000000,378.000000,247.000000,130.000000,46.000000
0.000010,1341.000000,28.752529,5.732500,847.000000,712.000000,580.000000,426.000000,291.000000,190.000000,100.000000,32.000000
0.000010,1341.000000,28.752529,3.698000,704.000000,574.000000,449.000000,316.000000,209.000000,138.000000,72.000000,21.000000
0.000010,1341.000000,28.752529,2.498238,541.000000,416.000000,306.000000,201.000000,121.000000,79.000000,41.000000,10.000000
0.000010,1341.000000,28.752529,1.591500,369.000000,260.000000,176.000000,109.000000,69.000000,45.000000,23.000000,0.000000
0.000010,1341.000000,28.752529,0.887750,164.000000,105.000000,68.000000,45.000000,27.000000,15.000000,8.000000,0.000000
0.000010,1341.000000,22.824182,41547.050000,862.000000,744.000000,628.000000,501.000000,375.000000,271.000000,149.000000,60.000000
0.000010,1341.000000,22.824182,10.532500,752.000000,642.000000,526.000000,402.000000,284.000000,187.000000,95.000000,30.000000
0.000010,1341.000000,22.824182,5.732500,663.000000,557.000000,441.000000,320.000000,213.000000,140.000000,71.000000,17.000000
0.000010,1341.000000,22.824182,3.698000,572.000000,468.000000,357.000000,249.000000,163.000000,108.000000,55.000000,13.000000
0.000010,1341.000000,22.824182,2.498238,462.000000,362.000000,264.000000,177.000000,108.000000,71.000000,37.000000,8.000000
0.000010,1341.000000,22.824182,1.591500,321.000000,235.000000,158.000000,100.000000,63.000000,42.000000,22.000000,0.000000
0.000010,1341.000000,22.824182,0.887750,149.000000,99.000000,63.000000,43.000000,26.000000,14.000000,8.000000,0.000000
0.000010,1341.000000,18.246015,41547.050000,643.000000,548.000000,458.000000,377.000000,286.000000,207.000000,119.000000,52.000000
0.000010,1341.000000,18.246015,10.532500,554.000000,467.000000,377.000000,298.000000,214.000000,141.000000,76.000000,26.000000
0.000010,1341.000000,18.246015,5.732500,487.000000,402.000000,312.000000,234.000000,158.000000,102.000000,56.000000,14.000000
0.000010,1341.000000,18.246015,3.698000,428.000000,345.000000,259.000000,186.000000,124.000000,82.000000,45.000000,11.000000
0.000010,1341.000000,18.246015,2.498238,357.000000,277.000000,201.000000,141.000000,87.000000,57.000000,31.000000,7.000000
0.000010,1341.000000,18.246015,1.591500,258.000000,188.000000,123.000000,82.000000,51.000000,32.000000,17.000000,0.000000
0.000010,1341.000000,18.246015,0.887750,130.000000,86.000000,53.000000,36.000000,20.000000,10.000000,0.000000,0.000000
0.000010,1341.000000,13.324341,41547.050000,419.000000,359.000000,300.000000,253.000000,194.000000,146.000000,86.000000,37.000000
0.000010,1341.000000,13.324341,10.532500,355.000000,301.000000,242.000000,197.000000,143.000000,97.000000,53.000000,18.000000
0.000010,1341.000000,13.324341,5.732500,312.000000,260.000000,201.000000,157.000000,106.000000,71.000000,40.000000,11.000000
0.000010,1341.000000,13.324341,3.698000,278.000000,227.000000,169.000000,127.000000,86.000000,58.000000,33.000000,9.000000
0.000010,1341.000000,13.324341,2.498238,238.000000,189.000000,138.000000,101.000000,63.000000,43.000000,24.000000,0.000000
0.000010,1341.000000,13.324341,1.591500,172.000000,130.000000,85.000000,61.000000,40.000000,26.000000,16.000000,0.000000
0.000010,1341.000000,13.324341,0.887750,95.000000,65.000000,37.000000,27.000000,16.000000,8.000000,0.000000,0.000000
0.000010,1341.000000,8.277987,41547.050000,193.000000,160.000000,130.000000,115.000000,84.000000,58.000000,36.000000,15.000000
0.000010,1341.000000,8.277987,10.532500,163.000000,133.000000,103.000000,90.000000,64.000000,39.000000,26.000000,8.000000
0.000010,1341.000000,8.277987,5.732500,149.000000,121.000000,91.000000,78.000000,52.000000,32.000000,22.000000,0.000000
0.000010,1341.000000,8.277987,3.698000,134.000000,106.000000,76.000000,63.000000,42.000000,26.000000,18.000000,0.000000
0.000010,1341.000000,8.277987,2.498238,117.000000,91.000000,64.000000,52.000000,32.000000,20.000000,14.000000,0.000000
0.000010,1341.000000,8.277987,1.591500,89.000000,67.000000,43.000000,35.000000,24.000000,15.000000,11.000000,0.000000
0.000010,1341.000000,8.277987,0.887750,45.000000,29.000000,14.000000,12.000000,10.000000,0.000000,0.000000,0.000000
0.000010,4368.000000,29046.813085,41547.050000,1309.000000,1064.000000,911.000000,737.000000,539.000000,360.000000,209.000000,79.000000
0.000010,4368.000000,29046.813085,10.532500,1075.000000,857.000000,711.000000,548.000000,381.000000,233.000000,125.000000,45.000000
0.000010,4368.000000,29046.813085,5.732500,852.000000,662.000000,529.000000,389.000000,255.000000,153.000000,80.000000,27.000000
0.000010,4368.000000,29046.813085,3.698000,651.000000,482.000000,372.000000,265.000000,165.000000,101.000000,55.000000,15.000000
0.000010,4368.000000,29046.813085,2.498238,471.000000,331.000000,245.000000,167.000000,100.000000,61.000000,37.000000,10.000000
0.000010,4368.000000,29046.813085,1.591500,298.000000,197.000000,132.000000,85.000000,55.000000,34.000000,22.000000,0.000000
0.000010,4368.000000,29046.813085,0.887750,133.000000,81.000000,54.000000,37.000000,23.000000,12.000000,7.000000,0.000000
0.000010,4368.000000,58.497369,41547.050000,1049.000000,909.000000,783.000000,633.000000,459.000000,305.000000,175.000000,62.000000
0.000010,4368.000000,58.497369,10.532500,909.000000,778.000000,654.000000,508.000000,355.000000,219.000000,118.000000,41.000000
0.000010,4368.000000,58.497369,5.732500,740.000000,619.000000,502.000000,371.000000,243.000000,147.000000,77.000000,24.000000
0.000010,4368.000000,58.497369,3.698000,568.000000,459.000000,356.000000,254.000000,158.000000,98.000000,52.000000,12.000000
0.000010,4368.000000,58.497369,2.498238,410.000000,314.000000,232.000000,158.000000,94.000000,58.000000,34.000000,7.000000
0.000010,4368.000000,58.497369,1.591500,264.000000,189.000000,127.000000,81.000000,53.000000,32.000000,20.000000,0.000000
0.000010,4368.000000,58.497369,0.887750,115.000000,78.000000,51.000000,35.000000,22.000000,11.000000,0.000000,0.000000
0.000010,4368.000000,38.241610,41547.050000,882.000000,770.000000,666.000000,537.000000,382.000000,256.000000,140.000000,50.000000
0.000010,4368.000000,38.241610,10.532500,785.000000,680.000000,577.000000,449.000000,310.000000,197.000000,105.000000,38.000000
0.000010,4368.000000,38.241610,5.732500,666.000000,567.000000,465.000000,343.000000,224.000000,138.000000,72.000000,23.000000
0.000010,4368.000000,38.241610,3.698000,520.000000,428.000000,336.000000,238.000000,148.000000,94.000000,51.000000,11.000000
0.000010,4368.000000,38.241610,2.498238,384.000000,300.000000,224.000000,152.000000,90.000000,56.000000,33.000000,0.000000
0.000010,4368.000000,38.241610,1.591500,250.000000,182.000000,122.000000,78.000000,52.000000,32.000000,20.000000,0.000000
0.000010,4368.000000,38.241610,0.887750,111.000000,76.000000,49.000000,34.000000,22.000000,11.000000,0.000000,0.000000
0.000010,4368.000000,28.752529,41547.050000,723.000000,635.000000,550.000000,441.000000,320.000000,213.000000,114.000000,40.000000
0.000010,4368.000000,28.752529,10.532500,648.000000,566.000000,482.000000,374.000000,261.000000,162.000000,82.000000,29.000000
0.000010,4368.000000,28.752529,5.732500,557.000000,481.000000,397.000000,294.000000,194.000000,119.000000,59.000000,17.000000
0.000010,4368.000000,28.752529,3.698000,448.000000,376.000000,298.000000,214.000000,135.000000,85.000000,44.000000,10.000000
0.000010,4368.000000,28.752529,2.498238,338.000000,270.000000,203.000000,139.000000,81.000000,50.000000,28.000000,0.000000
0.000010,4368.000000,28.752529,1.591500,229.000000,169.000000,116.000000,75.000000,49.000000,30.000000,18.000000,0.000000
0.000010,4368.000000,28.752529,0.887750,103.000000,70.000000,46.000000,32.000000,20.000000,10.000000,0.000000,0.000000
0.000010,4368.000000,22.824182,41547.050000,567.000000,497.000000,422.000000,339.000000,250.000000,172.000000,91.000000,30.000000
0.000010,4368.000000,22.824182,10.532500,499.000000,435.000000,360.000000,278.000000,196.000000,125.000000,62.000000,20.000000
0.000010,4368.000000,22.824182,5.732500,431.000000,370.000000,295.000000,216.000000,142.000000,89.000000,45.000000,9.000000
0.000010,4368.000000,22.824182,3.698000,364.000000,305.000000,234.000000,166.000000,107.000000,67.000000,36.000000,7.000000
0.000010,4368.000000,22.824182,2.498238,291.000000,235.000000,173.000000,119.000000,71.000000,44.000000,26.000000,0.000000
0.000010,4368.000000,22.824182,1.591500,201.000000,153.000000,102.000000,67.000000,44.000000,27.000000,17.000000,0.000000
0.000010,4368.000000,22.824182,0.887750,95.000000,67.000000,43.000000,30.000000,19.000000,9.000000,0.000000,0.000000
0.000010,4368.000000,18.246015,41547.050000,413.000000,356.000000,303.000000,254.000000,191.000000,127.000000,69.000000,26.000000
0.000010,4368.000000,18.246015,10.532500,359.000000,308.000000,255.000000,206.000000,149.000000,91.000000,47.000000,16.000000
0.000010,4368.000000,18.246015,5.732500,306.000000,256.000000,203.000000,155.000000,104.000000,60.000000,32.000000,0.000000
0.000010,4368.000000,18.246015,3.698000,265.000000,217.000000,167.000000,122.000000,80.000000,48.000000,27.000000,0.000000
0.000010,4368.000000,18.246015,2.498238,219.000000,173.000000,129.000000,92.000000,55.000000,33.000000,20.000000,0.000000
0.000010,4368.000000,18.246015,1.591500,156.000000,115.000000,75.000000,52.000000,34.000000,19.000000,12.000000,0.000000
0.000010,4368.000000,18.246015,0.887750,82.000000,56.000000,35.000000,24.000000,14.000000,0.000000,0.000000,0.000000
0.000010,4368.000000,13.324341,41547.050000,259.000000,224.000000,189.000000,161.000000,121.000000,85.000000,48.000000,17.000000
0.000010,4368.000000,13.324341,10.532500,222.000000,191.000000,156.000000,128.000000,93.000000,59.000000,32.000000,11.000000
0.000010,4368.000000,13.324341,5.732500,188.000000,158.000000,123.000000,96.000000,64.000000,39.000000,22.000000,0.000000
0.000010,4368.000000,13.324341,3.698000,165.000000,136.000000,102.000000,77.000000,52.000000,32.000000,19.000000,0.000000
0.000010,4368.000000,13.324341,2.498238,139.000000,111.000000,81.000000,59.000000,35.000000,22.000000,15.000000,0.000000
0.000010,4368.000000,13.324341,1.591500,103.000000,78.000000,50.000000,36.000000,26.000000,15.000000,12.000000,0.000000
0.000010,4368.000000,13.324341,0.887750,57.000000,41.000000,23.000000,16.000000,10.000000,0.000000,0.000000,0.000000
0.000010,4368.000000,8.277987,41547.050000,114.000000,93.000000,77.000000,70.000000,50.000000,31.000000,20.000000,7.000000
0.000010,4368.000000,8.277987,10.532500,95.000000,76.000000,60.000000,53.000000,38.000000,20.000000,14.000000,0.000000
0.000010,4368.000000,8.277987,5.732500,86.000000,68.000000,52.000000,45.000000,30.000000,16.000000,11.000000,0.000000
0.000010,4368.000000,8.277987,3.698000,79.000000,61.000000,45.000000,38.000000,26.000000,14.000000,10.000000,0.000000
0.000010,4368.000000,8.277987,2.498238,68.000000,51.000000,36.000000,30.000000,18.000000,10.000000,8.000000,0.000000
0.000010,4368.000000,8.277987,1.591500,52.000000,37.000000,24.000000,20.000000,15.000000,8.000000,7.000000,0.000000
0.000010,4368.000000,8.277987,0.887750,28.000000,18.000000,9.000000,7.000000,0.000000,0.000000,0.000000,0.000000
0.000010,17191.000000,29046.813085,41547.050000,652.000000,551.000000,486.000000,405.000000,295.000000,197.000000,115.000000,38.000000
0.000010,17191.000000,29046.813085,10.532500,541.000000,450.000000,388.000000,313.000000,217.000000,134.000000,71.000000,22.000000
0.000010,17191.000000,29046.813085,5.732500,404.000000,325.000000,271.000000,207.000000,130.000000,76.000000,39.000000,8.000000
0.000010,17191.000000,29046.813085,3.698000,293.000000,224.000000,183.000000,138.000000,84.000000,50.000000,29.000000,0.000000
0.000010,17191.000000,29046.813085,2.498238,219.000000,156.000000,122.000000,90.000000,54.000000,29.000000,21.000000,0.000000
0.000010,17191.000000,29046.813085,1.591500,136.000000,90.000000,62.000000,43.000000,30.000000,16.000000,12.000000,0.000000
0.000010,17191.000000,29046.813085,0.887750,63.000000,41.000000,26.000000,17.000000,12.000000,0.000000,0.000000,0.000000
0.000010,17191.000000,58.497369,41547.050000,533.000000,469.000000,417.000000,346.000000,248.000000,164.000000,94.000000,27.000000
0.000010,17191.000000,58.497369,10.532500,469.000000,410.000000,359.000000,290.000000,201.000000,125.000000,67.000000,20.000000
0.000010,17191.000000,58.497369,5.732500,359.000000,305.000000,260.000000,198.000000,122.000000,73.000000,38.000000,7.000000
0.000010,17191.000000,58.497369,3.698000,265.000000,216.000000,178.000000,134.000000,80.000000,49.000000,28.000000,0.000000
0.000010,17191.000000,58.497369,2.498238,194.000000,150.000000,118.000000,87.000000,51.000000,28.000000,20.000000,0.000000
0.000010,17191.000000,58.497369,1.591500,123.000000,87.000000,61.000000,43.000000,30.000000,16.000000,12.000000,0.000000
0.000010,17191.000000,58.497369,0.887750,55.000000,40.000000,25.000000,17.000000,12.000000,0.000000,0.000000,0.000000
0.000010,17191.000000,38.241610,41547.050000,451.000000,402.000000,362.000000,297.000000,208.000000,137.000000,78.000000,22.000000
0.000010,17191.000000,38.241610,10.532500,406.000000,361.000000,321.000000,257.000000,175.000000,110.000000,60.000000,18.000000
0.000010,17191.000000,38.241610,5.732500,327.000000,284.000000,245.000000,185.000000,113.000000,66.000000,35.000000,0.000000
0.000010,17191.000000,38.241610,3.698000,244.000000,205.000000,170.000000,126.000000,74.000000,45.000000,27.000000,0.000000
0.000010,17191.000000,38.241610,2.498238,182.000000,145.000000,114.000000,83.000000,48.000000,26.000000,19.000000,0.000000
0.000010,17191.000000,38.241610,1.591500,116.000000,85.000000,59.000000,41.000000,29.000000,16.000000,12.000000,0.000000
0.000010,17191.000000,38.241610,0.887750,55.000000,40.000000,25.000000,17.000000,12.000000,0.000000,0.000000,0.000000
0.000010,17191.000000,28.752529,41547.050000,374.000000,334.000000,303.000000,248.000000,176.000000,114.000000,64.000000,19.000000
0.000010,17191.000000,28.752529,10.532500,337.000000,301.000000,270.000000,216.000000,149.000000,90.000000,47.000000,15.000000
0.000010,17191.000000,28.752529,5.732500,279.000000,245.000000,214.000000,163.000000,102.000000,59.000000,30.000000,0.000000
0.000010,17191.000000,28.752529,3.698000,213.000000,181.000000,153.000000,115.000000,68.000000,41.000000,23.000000,0.000000
0.000010,17191.000000,28.752529,2.498238,161.000000,129.000000,104.000000,77.000000,44.000000,23.000000,16.000000,0.000000
0.000010,17191.000000,28.752529,1.591500,107.000000,79.000000,58.000000,41.000000,29.000000,16.000000,12.000000,0.000000
0.000010,17191.000000,28.752529,0.887750,52.000000,38.000000,25.000000,17.000000,12.000000,0.000000,0.000000,0.000000
0.000010,17191.000000,22.824182,41547.050000,296.000000,265.000000,235.000000,192.000000,139.000000,95.000000,55.000000,16.000000
0.000010,17191.000000,22.824182,10.532500,262.000000,235.000000,205.000000,163.000000,115.000000,74.000000,40.000000,13.000000
0.000010,17191.000000,22.824182,5.732500,214.000000,189.000000,159.000000,119.000000,76.000000,46.000000,25.000000,0.000000
0.000010,17191.000000,22.824182,3.698000,174.000000,149.000000,121.000000,89.000000,56.000000,34.000000,20.000000,0.000000
0.000010,17191.000000,22.824182,2.498238,142.000000,117.000000,92.000000,68.000000,41.000000,22.000000,16.000000,0.000000
0.000010,17191.000000,22.824182,1.591500,96.000000,75.000000,54.000000,38.000000,28.000000,16.000000,12.000000,0.000000
0.000010,17191.000000,22.824182,0.887750,49.000000,37.000000,24.000000,16.000000,12.000000,0.000000,0.000000,0.000000
0.000010,17191.000000,18.246015,41547.050000,211.000000,185.000000,163.000000,141.000000,104.000000,69.000000,40.000000,12.000000
0.000010,17191.000000,18.246015,10.532500,185.000000,163.000000,141.000000,119.000000,87.000000,55.000000,30.000000,9.000000
0.000010,17191.000000,18.246015,5.732500,147.000000,126.000000,104.000000,82.000000,54.000000,30.000000,17.000000,0.000000
0.000010,17191.000000,18.246015,3.698000,122.000000,101.000000,80.000000,60.000000,40.000000,23.000000,14.000000,0.000000
0.000010,17191.000000,18.246015,2.498238,106.000000,85.000000,65.000000,50.000000,32.000000,17.000000,12.000000,0.000000
0.000010,17191.000000,18.246015,1.591500,72.000000,54.000000,37.000000,27.000000,21.000000,11.000000,8.000000,0.000000
0.000010,17191.000000,18.246015,0.887750,42.000000,31.000000,19.000000,13.000000,9.000000,0.000000,0.000000,0.000000
0.000010,17191.000000,13.324341,41547.050000,132.000000,116.000000,103.000000,92.000000,67.000000,46.000000,27.000000,7.000000
0.000010,17191.000000,13.324341,10.532500,114.000000,101.000000,88.000000,77.000000,56.000000,36.000000,19.000000,0.000000
0.000010,17191.000000,13.324341,5.732500,89.000000,77.000000,64.000000,53.000000,34.000000,20.000000,11.000000,0.000000
0.000010,17191.000000,13.324341,3.698000,76.000000,64.000000,51.000000,41.000000,28.000000,17.000000,10.000000,0.000000
0.000010,17191.000000,13.324341,2.498238,68.000000,56.000000,44.000000,35.000000,22.000000,13.000000,10.000000,0.000000
0.000010,17191.000000,13.324341,1.591500,50.000000,40.000000,29.000000,23.000000,18.000000,10.000000,8.000000,0.000000
0.000010,17191.000000,13.324341,0.887750,27.000000,22.000000,13.000000,10.000000,7.000000,0.000000,0.000000,0.000000
0.000010,17191.000000,8.277987,41547.050000,50.000000,41.000000,35.000000,33.000000,22.000000,13.000000,9.000000,0.000000
0.000010,17191.000000,8.277987,10.532500,40.000000,33.000000,27.000000,25.000000,18.000000,9.000000,0.000000,0.000000
0.000010,17191.000000,8.277987,5.732500,33.000000,27.000000,21.000000,19.000000,12.000000,0.000000,0.000000,0.000000
0.000010,17191.000000,8.277987,3.698000,29.000000,23.000000,17.000000,15.000000,11.000000,0.000000,0.000000,0.000000
0.000010,17191.000000,8.277987,2.498238,28.000000,22.000000,16.000000,14.000000,10.000000,0.000000,0.000000,0.000000
0.000010,17191.000000,8.277987,1.591500,22.000000,18.000000,13.000000,11.000000,8.000000,0.000000,0.000000,0.000000
0.000010,17191.000000,8.277987,0.887750,11.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.030714,3.000000,29046.813085,41547.050000,1489.000000,1077.000000,907.000000,758.000000,615.000000,467.000000,321.000000,174.000000
