Symbol,Name,Sector,sss_value,close,appearance_counter
SID,Companhia Siderurgica Nacional ,Basic Materials,10.714871,8.92,178.9926
TSM,Taiwan Semiconductor Manufactur,Technology,0.030785,118.91,156.2137
GGB,Gerdau S.A.,Basic Materials,5.839145,5.82,147.7919
PHI,PLDT Inc. Sponsored,Communication Services,898.696341,26.74,134.8227
LEN.B,Lennar Corporation,Consumer Cyclical,3183.36874,82.51,124.9003
LEN,Lennar Corporation,Consumer Cyclical,219.074042,101.39,114.5587
ELP,Companhia Paranaense de Energia,Utilities,1668.537922,5.75,106.9662
ORAN,Orange,Communication Services,3044.822676,11.41,105.0299
PKX,POSCO,Basic Materials,0.01166,76.38,101.6201
SBSW,D/B/A Sibanye-Stillwater Limite,Basic Materials,0.035204,16.83,101.6057
CEPU,Central Puerto S.A.,Utilities,0.011468,2.5,93.3848
VALE,VALE S.A.,Basic Materials,1.355541,22.48,92.8108
TX,Ternium S.A. Ternium S.A.,Basic Materials,278.672776,39.26,91.903
DHI,D.R. Horton  Inc.,Consumer Cyclical,391.572408,92.36,88.2439
VEDL,Vedanta Limited,Basic Materials,231.732619,14.15,85.1502
BBY,Best Buy Co.  Inc.,Consumer Cyclical,2454.207524,115.65,82.0122
MT,Arcelor Mittal NY Registry Shar,Basic Materials,954.289532,31.5,81.6212
LPX,Louisiana-Pacific Corporation,Industrials,82.239801,60.4,78.6861
CI,Cigna Corporation,Healthcare,4792.064128,238.03,74.8392
BABA,Alibaba Group Holding Limited,Consumer Cyclical,36.711532,217.75,73.2233
MHO,M/I Homes  Inc.,Consumer Cyclical,5.405616,59.14,72.7772
CIG,Comp En De Mn Cemig,Utilities,49.528908,2.35,71.2996
NUE,Nucor Corporation,Basic Materials,4694.540939,96.52,65.0194
ASX,ASE Technology Holding Co.  Ltd,Technology,1.164625,8.17,62.0409
INTC,Intel Corporation,Technology,34240.512976,56.76,60.5979
MTH,Meritage Homes Corporation,Consumer Cyclical,1.373356,95.16,59.1672
CCS,Century Communities  Inc.,Consumer Cyclical,25.272926,65.92,56.3899
MFC,Manulife Financial Corporation,Financial Services,55104.886962,19.8,56.3001
LMT,Lockheed Martin Corporation,Industrials,807666.060945,381.49,54.4812
UMC,United Microelectronics Corpora,Technology,1.421514,9.4,54.2233
MKSI,MKS Instruments  Inc.,Technology,7329.300364,168.52,53.4414
RS,Reliance Steel & Aluminum Co.,Basic Materials,4604.612787,152.44,52.967
LOGI,Logitech International S.A. - R,Technology,12108.128117,123.49,52.2325
SONY,Sony Group Corporation,Technology,5031.444141,101.65,52.0201
ABEV,Ambev S.A.,Consumer Defensive,1079601.606979,3.43,50.335
UWMC,UWM Holdings Corporation,Financial Services,19109.288166,8.01,49.9634
FOXA,Fox Corporation,Communication Services,3020.222606,37.32,49.2667
WIT,Wipro Limited,Technology,87.752782,7.76,49.0413
VSH,Vishay Intertechnology  Inc.,Technology,3048.904653,22.36,48.9187
FOX,Fox Corporation,Communication Services,3368.178297,35.37,48.4664
SKM,SK Telecom Co.  Ltd.,Communication Services,1.418618,31.32,47.6656
STLD,Steel Dynamics  Inc.,Basic Materials,90456.442754,60.72,46.8312
UHS,Universal Health Services  Inc.,Healthcare,41544.323206,151.14,46.51
CDW,CDW Corporation,Technology,6056434.13476,176.89,45.2351
LOMA,Loma Negra Compania Industrial ,Basic Materials,0.049639,6.65,44.8687
HIMX,Himax Technologies  Inc.,Technology,659.549785,14.74,44.4947
NTAP,NetApp  Inc.,Technology,25120554.506251,82.99,44.1133
MBT,Mobile TeleSystems PJSC,Communication Services,5164328.659162,9.63,43.6525
IMOS,ChipMOS TECHNOLOGIES INC.,Technology,5.191676,34.17,43.2564
PBR.A,Petroleo Brasileiro S.A.- Petro,Energy,198124.515704,11.5,42.4551
ESGR,Enstar Group Limited,Financial Services,0.073512,238.55,42.3368
WSM,Williams-Sonoma  Inc.,Consumer Cyclical,6166.565327,161.58,41.8032
CE,Celanese Corporation Celanese C,Basic Materials,740256.389731,154.73,41.7297
PHM,PulteGroup  Inc.,Consumer Cyclical,561.612112,55.24,41.6979
NVO,Novo Nordisk A/S,Healthcare,2672829.365458,84.81,41.4905
AKAM,Akamai Technologies  Inc.,Technology,408785.671057,118.04,40.9527
CDK,CDK Global  Inc.,Technology,2260422.137271,49.92,40.9368
HPQ,HP Inc.,Technology,281471611.404546,30.7,40.4741
WGO,Winnebago Industries  Inc.,Consumer Cyclical,1517.779412,67.52,39.8643
ATKR,Atkore Inc.,Industrials,19132.790968,69.96,39.1897
BLDR,Builders FirstSource  Inc.,Industrials,4110.470306,43.26,38.9358
LRCX,Lam Research Corporation,Technology,1358894.242437,631.44,38.7513
IRCP,IRSA Propiedades Comerciales S.,Real Estate,840291.598584,10.05,38.4469
SRE,"Doing Business As" Sempra,Utilities,1362621.005973,133.69,38.1868
DD,DuPont de Nemours  Inc.,Basic Materials,7269273.709248,78.79,38.0008
PCAR,PACCAR Inc.,Industrials,84362.452969,88.3,37.7292
