Symbol,Name,Sector,sss_value,close,appearance_counter
TLV:NTO,NETO M.E HOLDINGS,Consumer Defensive,2.6127,13320.0,115.0789
TLV:MTRX,MATRIX IT LTD,Technology,69036.85931,8105.0,100.544
TLV:DLEA,DELEK AUTOMOTIVE S,Consumer Cyclical,15689.5122,4330.0,93.7306
TLV:CLIS,CLAL INSURANCE ENT,Financial Services,24.07465,6330.0,84.6365
TLV:BRMG,BRIMAG DIGITAL AGE,Consumer Cyclical,4.85337,3861.0,81.4388
TLV:AFHL,AFCON HOLDINGS LTD,Technology,544.29813,20800.0,78.5431
TLV:IDIN,I.D.I. INSURANCE,Financial Services,0.14441,11260.0,76.8008
TLV:PLRM,PALRAM INDUSTRIES,Industrials,59.88219,3699.0,70.4149
TLV:ALBA,ALBAAD MASSUOT YIT,Consumer Defensive,222.1228,6007.0,69.7732
TLV:SPNTC,SPUNTECH INDUSTRIE,Consumer Cyclical,71.81836,892.1,68.7659
TLV:NISA,NISSAN,Healthcare,255.52383,3012.0,64.4788
TLV:EMCO,E & M COMPUTING,Technology,835.30771,2130.0,63.764
TLV:WLFD,WILLY FOOD INVSTM.,Consumer Defensive,19.9138,3748.0,57.8004
TLV:NFTA,NAPHTHA ISRAEL PET,Energy,197650.12217,1514.0,57.0116
TLV:ELCO,ELCO LTD,Industrials,6744.05715,18160.0,56.2262
TLV:SALG,SHALAG INDUSTRIES,Consumer Cyclical,116.49604,1415.0,54.5715
TLV:RMLI,RAMI LEVI CHAIN,Consumer Defensive,12097.05204,21470.0,53.9593
TLV:SCOP,SCOPE METALS GROUP,Industrials,98937.30516,10620.0,53.516
TLV:HLAN,HILAN LTD,Technology,119780.94205,15550.0,53.4401
TLV:MLTM,MALAM TEAM LTD,Technology,100578.415,10410.0,51.3859
TLV:ARAD,ARAD INVESTMENT &,Industrials,17657.57537,36500.0,49.4246
TLV:SANO1,SANO-BRUNO'S ENTER,Consumer Defensive,49895.99867,33210.0,46.0832
TLV:STRS,STRAUSS GROUP LTD,Consumer Defensive,78571.76884,9030.0,44.2173
TLV:SAE,SHUFERSAL LTD,Consumer Defensive,150165.78491,2647.0,40.1692
TLV:HAMAT,HAMAT GROUP LTD,Industrials,41056.52404,1939.0,37.4236
TLV:RLCO,RALCO AGENCIES,Consumer Cyclical,356.14189,4415.0,37.084
TLV:GLPL,GOLAN PLASTIC PROD,Industrials,31188.85417,931.0,34.7891
TLV:AZRM,AZORIM INV DEV,Real Estate,40796.49205,1294.0,34.7288
TLV:GNRS,GENERATION CAPITAL,Energy,413988827.91747,111.3,34.6469
TLV:SMT,SUMMIT R/EST HLDGS,Real Estate,10622831.08863,5000.0,34.0745
TLV:ISRA-L,ISRAMCO NEGEV 2,Energy,3758843.67213,76.2,33.66
TLV:KLIL,KLIL INDUSTRIES,Basic Materials,11194.16468,32850.0,32.8477
TLV:KEN,KENON HLDGS LTD,Utilities,18590210.81316,11300.0,31.6645
TLV:PLSN,PLASSON INDUSTRIES,Consumer Cyclical,143186.44771,17310.0,31.2403
TLV:KRUR,KERUR HOLDINGS LTD,Consumer Defensive,1143.57331,9617.0,31.2367
TLV:EMDV,EMILIA DEV (O.F.G),Financial Services,308.63693,2238.0,30.7558
TLV:HRON,HIRON TRADE INVS,Real Estate,14457.86195,164900.0,29.9864
TLV:ISRS,ISRAS INVESTMNT CO,Real Estate,2928530.76771,73470.0,29.9051
TLV:GOLF,GOLF & CO,Consumer Cyclical,81695.02419,939.4,29.4194
TLV:BKRY,BIKUREY HASADE HOL,Consumer Defensive,1042.71057,605.4,29.4108
TLV:CPTP,CAPITAL POINT LTD,Financial Services,69733.49815,93.2,28.6802
