Symbol,Name
A,Agilent Technologies
AAL,American Airlines Gp
ACHC,Acadia Healthcr Compa
ADBE,Adobe Systems Inc
ADPT,Adaptive Biotechnolog
ADS,Alliance Data Systems
ADSK,Autodesk Inc
ADT,ADT Inc
AES,The Aes Corp
AGNC,Agnc Investment Corp
AGR,Avangrid Inc
AI,C3.Ai Inc Cl A
AIZ,Assurant Inc
ALGN,Align Technology
ALLE,Allegion Plc
ALNY,Alnylam Pharmaceutica
AMED,Amedisys Inc
AMZN,Amazon.com Inc
ATUS,Altice USA Inc Cl A
AVLR,Avalara Inc
AVY,Avery Dennison Corp
AXON,Axon Enterprise Inc
AYX,Alteryx Inc
BEPC,Brookfield Renewable 
BIIB,Biogen Inc
BIO,Bio-Rad Laboratories
BRKR,Bruker Corp
BSY,Bentley Systems Incor
BURL,Burlington Stores Inc
BYND,Beyond Meat Inc
CABO,Cable One Inc
CASY,Casey's General Stor
CDAY,Ceridian Hcm Holding 
CERT,Certara Inc
CFX,Colfax Corp
CGNX,Cognex Cp
CHPT,Chargepoint Hldgs Inc
CHTR,Charter Communicatio
CLVT,Clarivate Analytics P
CMG,Chipotle Mexican Gril
COLD,Americold Realty Trus
COLM,Columbia Sprtswr
COUP,Coupa Software Inc
CRL,Charles River Laborat
CRWD,Crowdstrike Holdings 
CSGP,Costar Group Inc
CTLT,Catalent Inc
CVAC,Curevac N.V.
CVNA,Carvana Co. Cl A
CZR,Caesars Entertainment
DASH,Doordash Inc Cl A
DBX,Dropbox Inc
DCT,Duck Creek Technologi
DECK,Deckers Outdoor Corp
DKNG,Draftkings Inc
DOCU,Docusign Inc
DSEY,Diversey Holdings Ltd
DT,Dynatrace Inc
DV,Doubleverify Holdings
EBAY,Ebay Inc
ELAN,Elanco Animal Health 
EPR,Entertainment Propert
EQIX,Equinix Inc
ESTC,Elastic N.V.
EVBG,Everbridge Inc
EVR,Evercore Partners Inc
EXAS,Exact Sciences Cor
FIGS,Figs Inc Cl A
FIVN,Five9 Inc
FOUR,Shift4 Payments Inc
FRPT,Freshpet Inc CS
FSLR,First Solar Inc
FSLY,Fastly Inc
GH,Guardant Health Inc
GLPI,Gaming & Leisure
GLW,Corning Inc
GME,Gamestop Corp
GNRC,Generac Holdings Inc
GOCO,Gohealth Inc Cl A
GPS,Gap Inc
GRMN,Garmin Ltd
GS,Goldman Sachs Group
GWRE,Guidewire Software In
HOG,Harley-Davidson Inc
HRB,H&R Block
HZNP,Horizon Therapeutics
IAA,Iaa Inc
IDXX,Idexx Laboratories
IOVA,Iovance Biotherapeuti
IPGP,Ipg Photonics Corp
LAZ,Lazard Ltd
LBRDA,Liberty Broadbd A
LBRDK,Liberty Broadbd C
LII,Lennox International
LMND,Lemonade Inc
LYFT,Lyft Inc Cl A
MANH,Manhattan Assoc
MELI,Mercadolibre Inc
MNDT,Mandiant Inc
MRNA,Moderna Inc
MRTX,Mirati Therapeutics
MRVI,Maravai Lifesciences 
MSA,Msa Safety Inc
MSCI,MSCI Inc
MSGS,Madison Square Garden
MTCH,Match Group Inc
MTZ,Mastec Inc
NBIX,Neurocrine Bioscienc
NCNO,Ncino Inc
NFE,New Fortress Energy L
NLY,Annaly Capital Manage
NTNX,Nutanix Inc
NTRA,Natera Inc
NVAX,Novavax Inc
NVCR,Novocure Ltd Ord Sh
NYT,New York Times Compan
OKTA,Okta Inc Cl A
OPEN,Opendoor Technologies
OSH,Oak Street Health Inc
PAYC,Paycom Software Inc
PCOR,Procore Technologies 
PEGA,Pegasystems Inc
PENN,Penn Natl Gaming Inc
PINS,Pinterest Inc
PLTR,Palantir Technologies
PODD,Insulet Corp
PSFE,Paysafe Ltd
PTON,Peloton Interactive I
PVH,Phillips-Van Heusen C
PYPL,Paypal Holdings
QRVO,Qorvo Inc
RARE,Ultragenyx Pharmaceu
RGEN,Repligen Cp
RH,Restoration Hardware 
RKT,Rocket Companies Inc 
RMD,Resmed Inc
RNG,Ringcentral Inc
ROKU,Roku Inc
ROL,Rollins Inc
ROP,Roper Industries
ROST,Ross Stores Inc
RUN,Sunrun Inc
SBUX,Starbucks Corp
SGEN,Seagen Inc
SGFY,Signify Health Inc Cl
SHLS,Shoals Technologies G
SKLZ,Skillz Inc
SPCE,Virgin Galactic Holdi
SPOT,Spotify Technology S.
SQ,Square
STLD,Steel Dynamics Inc
STNE,Stoneco Ltd Cl A
STWD,Starwood Property Tru
SWI,Solarwinds Corp
SWKS,Skyworks Solutions
SYF,Synchrony Financial
TDC,Teradata Corp
TDOC,Teladoc Health Inc
TDY,Teledyne Technologies
TECH,Bio-Techne Cp
TGT,Target Corp
THO,Thor Industries
TMUS,T-Mobile US
TPL,Texas Pacific Land Tr
TRMB,Trimble Navigation
TROW,T Rowe Price Group
TRU,Transunion
TSP,Tusimple Holdings Inc
TTC,Toro Company
TWLO,Twilio
TWTR,Twitter Inc
TXG,10X Genomics Inc
TXN,Texas Instruments
UPST,Upstart Holdings Inc
UWMC,Uwm Hldg Corp
VEEV,Veeva Systems Inc
VFC,V.F. Corp
VMEO,Vimeo Inc
VNT,Vontier Corp
VRM,Vroom Inc
VRT,Vertiv Holdings Llc.
W,Wayfair Inc
WIX,Wix.com Ltd
WOOF,Petco Health and Well
XYL,Xylem Inc
ZM,Zoom Video Communicat
