Symbol,Name,Sector,sss_value,close,appearance_counter
SID,Companhia Siderurgica Nacional ,Basic Materials,369.78732,7.97,180.2915
TSM,Taiwan Semiconductor Manufactur,Technology,0.03785,119.12,151.5285
LEN.B,Lennar Corporation,Consumer Cyclical,289.52767,76.24,131.0147
PHI,PLDT Inc. Sponsored,Communication Services,7.19444,26.77,117.412
GGB,Gerdau S.A.,Basic Materials,7.30364,5.71,116.6895
ELP,Companhia Paranaense de Energia,Utilities,50.17454,6.04,113.0287
ORAN,Orange,Communication Services,165.92406,11.99,108.3088
PKX,POSCO,Basic Materials,0.00078,73.73,97.8874
TX,Ternium S.A. Ternium S.A.,Basic Materials,20.04874,32.74,94.5843
CEPU,Central Puerto S.A.,Utilities,0.079,2.66,88.7621
BABA,Alibaba Group Holding Limited,Consumer Cyclical,189.33172,211.6,87.9713
NUE,Nucor Corporation,Basic Materials,190.41342,95.25,86.5914
LEN,Lennar Corporation,Consumer Cyclical,397.01751,94.65,81.5216
DHI,D.R. Horton  Inc.,Consumer Cyclical,2880.26268,88.87,78.8
SBSW,D/B/A Sibanye-Stillwater Limite,Basic Materials,4.18348,16.33,75.33
LPX,Louisiana-Pacific Corporation,Industrials,132.23864,56.75,73.8764
KGC,Kinross Gold Corporation,Basic Materials,84.23877,6.68,73.8613
IMOS,ChipMOS TECHNOLOGIES INC.,Technology,1.12834,35.45,73.7203
PGR,Progressive Corporation (The),Financial Services,30262.96078,91.84,73.2923
BBY,Best Buy Co.  Inc.,Consumer Cyclical,2934.6998,109.5,72.827
VEDL,Vedanta Limited,Basic Materials,1.61148,13.86,71.9197
MHO,M/I Homes  Inc.,Consumer Cyclical,23.08011,60.48,69.1806
VALE,VALE S.A.,Basic Materials,0.40309,21.08,65.6837
INTC,Intel Corporation,Technology,28008.51133,57.18,57.5868
STLD,Steel Dynamics  Inc.,Basic Materials,32463.92694,59.13,57.1769
ASX,ASE Technology Holding Co.  Ltd,Technology,8.3162,8.61,56.9361
LOGI,Logitech International S.A. - R,Technology,214244.75226,126.13,56.5598
MTH,Meritage Homes Corporation,Consumer Cyclical,20.28583,94.68,55.1094
CCS,Century Communities  Inc.,Consumer Cyclical,34.52109,62.71,53.7341
COF,Capital One Financial Corporati,Financial Services,929107.42568,153.55,51.7571
LMT,Lockheed Martin Corporation,Industrials,5982128.93069,382.9,51.7553
SKM,SK Telecom Co.  Ltd.,Communication Services,3.61033,32.06,51.6643
CI,Cigna Corporation,Healthcare,12667.17076,236.69,50.9825
CE,Celanese Corporation Celanese C,Basic Materials,424108.06632,147.84,50.0982
CIG,Comp En De Mn Cemig,Utilities,71.90258,2.59,50.0348
MFC,Manulife Financial Corporation,Financial Services,19.18192,19.64,50.0036
LDOS,Leidos Holdings  Inc.,Technology,242125.59316,105.9,49.3567
SONY,Sony Group Corporation,Technology,2644.86594,96.1,48.957
BRK.B,Berkshire Hathaway Inc. New,Financial Services,268.10043,278.69,48.4048
ATH,Athene Holding Ltd.,Financial Services,453.3887,63.44,47.1157
CDW,CDW Corporation,Technology,6101839.69742,169.24,47.0379
QDEL,Quidel Corporation,Healthcare,0.20857,112.76,45.7858
FLGT,Fulgent Genetics  Inc.,Healthcare,8.43142,75.69,45.7642
VIV,Telefonica Brasil S.A.,Communication Services,641.2518,9.04,45.705
RIO,Rio Tinto Plc,Basic Materials,47868.81192,83.02,43.9086
LOMA,Loma Negra Compania Industrial ,Basic Materials,1.47225,6.94,43.0784
DGX,Quest Diagnostics Incorporated,Healthcare,34479.94056,128.09,42.75
ZION,Zions Bancorporation N.A.,Financial Services,434.01062,51.62,41.919
BTG,B2Gold Corp,Basic Materials,250.7684,4.52,41.0939
RS,Reliance Steel & Aluminum Co.,Basic Materials,1454.61186,154.74,40.8795
ABEV,Ambev S.A.,Consumer Defensive,117491.9028,3.76,40.8289
MATX,Matson  Inc.,Industrials,148.07782,62.22,40.7661
BPOP,Popular  Inc.,Financial Services,59213.90258,74.33,40.2977
LGIH,LGI Homes  Inc.,Consumer Cyclical,2075.57663,152.26,39.6098
SCI,Service Corporation Internation,Consumer Cyclical,965409.44474,52.54,39.5416
RJF,Raymond James Financial  Inc.,Financial Services,5501.37055,127.38,39.4006
PNC,PNC Financial Services Group  I,Financial Services,12343474.67887,182.45,37.7222
WSM,Williams-Sonoma  Inc.,Consumer Cyclical,40813.49802,156.04,37.0771
AKAM,Akamai Technologies  Inc.,Technology,879433.57665,116.78,36.5656
ALLY,Ally Financial Inc.,Financial Services,2855774.18023,50.29,36.0873
UMC,United Microelectronics Corpora,Technology,94.9878,9.64,35.2217
MKSI,MKS Instruments  Inc.,Technology,57885.39497,175.38,35.061
TNET,TriNet Group  Inc.,Industrials,62962.90694,71.92,34.7494
PHM,PulteGroup  Inc.,Consumer Cyclical,3085.31456,53.72,34.7458
HOLX,Hologic  Inc.,Healthcare,7333.23195,62.86,34.6988
TME,Tencent Music Entertainment Gro,Communication Services,133.43685,15.25,34.5459
SYF,Synchrony Financial,Financial Services,443682.49029,47.51,34.453
NUS,Nu Skin Enterprises  Inc.,Consumer Defensive,15791.76977,57.09,34.411
TM,Toyota Motor Corporation,Consumer Cyclical,67.89647,185.2,34.1176
NVR,NVR  Inc.,Consumer Cyclical,235218.13611,4697.55,34.0354
PCAR,PACCAR Inc.,Industrials,54784.24447,89.58,33.9235
QRTEA,Liberty Interactive Corporation,Consumer Cyclical,6186.81511,13.05,33.8837
DLTR,Dollar Tree  Inc.,Consumer Defensive,6372.75756,100.69,33.6739
LYB,LyondellBasell Industries NV,Basic Materials,7824.69473,102.42,33.2528
GFI,Gold Fields Limited,Basic Materials,97.7582,9.36,32.5117
EBR.B,Centrais Electricas Brasileiras,Utilities,22014.51121,8.55,32.3767
ENVA,Enova International  Inc.,Financial Services,69.73556,34.58,32.0941
EBR,Centrais Electricas Brasileiras,Utilities,24871.11889,8.64,32.0562
ABG,Asbury Automotive Group Inc,Consumer Cyclical,2219.85534,169.89,31.8104
TKC,Turkcell Iletisim Hizmetleri AS,Communication Services,124.85863,4.84,31.6452
TSCO,Tractor Supply Company,Consumer Cyclical,923668.09933,174.81,31.4318
YY,JOYY Inc.,Communication Services,147.8984,69.48,31.404
ESGR,Enstar Group Limited,Financial Services,0.13451,239.11,31.3334
UHS,Universal Health Services  Inc.,Healthcare,132224.44671,151.88,31.2339
BAH,Booz Allen Hamilton Holding Cor,Industrials,904594.10161,87.67,31.2301
CHT,Chunghwa Telecom Co.  Ltd.,Communication Services,25.29196,41.25,30.9908
VET,Vermilion Energy Inc.,Energy,466366.37108,8.61,30.1204
UNH,UnitedHealth Group Incorporated,Healthcare,1344975.05915,395.9,30.0227
AU,AngloGold Ashanti Limited,Basic Materials,142.70187,19.45,29.8834
SRE,Sempra Energy,Utilities,8609060.08244,140.58,29.7943
AFL,AFLAC Incorporated,Financial Services,138478.79471,53.46,29.7033
KLAC,KLA Corporation,Technology,793794.9077,318.42,29.5812
FRO,Frontline Ltd.,Energy,2302.97655,8.49,29.4226
CFG,Citizens Financial Group  Inc.,Financial Services,354343.66209,45.27,29.2835
NVO,Novo Nordisk A/S,Healthcare,18868758.49869,82.77,29.1535
MBT,Mobile TeleSystems PJSC,Communication Services,13419988.55492,9.49,29.0475
OMF,OneMain Holdings  Inc.,Financial Services,1726.54675,58.45,28.9955
FOXA,Fox Corporation,Communication Services,192982.702,37.15,28.9939
BAC,Bank of America Corporation,Financial Services,245726497.55568,39.8,28.9704
HPQ,HP Inc.,Technology,6708603.563,28.64,28.9624
IVZ,Invesco Ltd,Financial Services,37387.0709,27.21,28.9269
CINF,Cincinnati Financial Corporatio,Financial Services,986889.80525,116.74,28.8875
NXST,Nexstar Media Group  Inc.,Communication Services,6344.92748,143.8,28.8827
ATKR,Atkore Inc.,Industrials,5319.58615,70.44,28.8361
LRCX,Lam Research Corporation,Technology,8810306.95452,639.78,28.6873
WIT,Wipro Limited,Technology,3218.06722,8.05,28.3978
ENIA,Enel Americas S.A.,Utilities,23664.35456,6.83,28.2702
FNF,FNF Group of Fidelity National ,Financial Services,22860.01422,45.13,28.2216
FOX,Fox Corporation,Communication Services,253975.15198,35.44,28.1939
BRK.A,Berkshire Hathaway Inc.,Financial Services,2562193.94707,420359.0,28.1216
MDC,M.D.C. Holdings  Inc.,Consumer Cyclical,4747323576.33427,52.81,28.044
GTN,Gray Television  Inc.,Communication Services,20605.49045,23.11,27.877
KOF,Coca Cola Femsa S.A.B. de C.V.,Consumer Defensive,35912.04804,51.59,27.5762
AZO,AutoZone  Inc.,Consumer Cyclical,153416848.03144,1390.9,27.3523
PAM,Pampa Energia S.A. Pampa Energi,Utilities,26.69634,16.89,27.1985
GIB,CGI Inc.,Technology,7807603.93271,90.78,26.9338
GTN.A,Gray Television  Inc.,Communication Services,35897.90593,20.96,26.8725
WY,Weyerhaeuser Company,Real Estate,49565.95517,34.04,26.7876
BIO,Bio-Rad Laboratories  Inc.,Healthcare,70977.15782,617.6,26.6051
ETR,Entergy Corporation,Utilities,3055823.04344,107.65,26.5239
ACN,Accenture plc,Technology,29337216.31098,284.77,26.4063
LAD,Lithia Motors  Inc.,Consumer Cyclical,10761.57548,324.2,26.3083
COO,The Cooper Companies  Inc.,Healthcare,109066.98455,381.88,26.2463
BLDR,Builders FirstSource  Inc.,Industrials,84651.71859,43.03,26.1926
TGNA,TEGNA Inc,Communication Services,67791.12373,18.61,26.1211
BMA,Banco Macro S.A.,Financial Services,0.03064,17.4,26.1203
TSN,Tyson Foods  Inc.,Consumer Defensive,129300.10945,73.88,26.0185
ALL,Allstate Corporation (The),Financial Services,1029237.25945,126.55,25.8829
SWK,Stanley Black & Decker  Inc.,Industrials,163286.5639,195.41,25.6778
MKL,Markel Corporation,Financial Services,20340.29152,1186.0,25.5729
ANTM,Anthem  Inc.,Healthcare,164188.86626,377.81,25.536
KEY,KeyCorp,Financial Services,340226.66796,20.51,25.425
DOX,Amdocs Limited,Technology,147357.75532,79.24,25.3444
MU,Micron Technology  Inc.,Technology,16303.91011,80.64,25.3228
TMHC,Taylor Morrison Home Corporatio,Consumer Cyclical,1427.23377,27.01,25.2797
TROX,Tronox Holdings plc,Basic Materials,33995.17861,21.54,25.1709
CBNK,Capital Bancorp  Inc.,Financial Services,25.24963,20.75,25.0085
