Symbol,Name,Sector,sss_value,close,appearance_counter
SID,Companhia Siderurgica Nacional ,Basic Materials,324.19152,8.61,178.7843
TSM,Taiwan Semiconductor Manufactur,Technology,0.12704,118.42,157.8079
GGB,Gerdau S.A.,Basic Materials,144.09299,5.69,149.1743
PHI,PLDT Inc. Sponsored,Communication Services,4244.06172,26.58,141.0483
LEN.B,Lennar Corporation,Consumer Cyclical,152291.48437,83.36,124.2874
LEN,Lennar Corporation,Consumer Cyclical,9691.93232,101.78,112.3012
VEDL,Vedanta Limited,Basic Materials,313.458,14.18,111.3637
ORAN,Orange,Communication Services,14099.67798,11.49,110.1682
ELP,Companhia Paranaense de Energia,Utilities,54057.21845,5.69,107.6559
PKX,POSCO,Basic Materials,0.05837,76.46,101.8411
CEPU,Central Puerto S.A.,Utilities,0.04429,2.5,93.3089
VALE,VALE S.A.,Basic Materials,35.18876,22.11,92.5678
TX,Ternium S.A. Ternium S.A.,Basic Materials,11488.44604,38.82,91.3764
DHI,D.R. Horton  Inc.,Consumer Cyclical,38333.41536,92.81,85.0944
MT,Arcelor Mittal NY Registry Shar,Basic Materials,8861.36497,31.23,83.8917
CI,Cigna Corporation,Healthcare,70576.56854,238.3,78.0612
BBY,Best Buy Co.  Inc.,Consumer Cyclical,223419.50787,116.37,77.6939
MHO,M/I Homes  Inc.,Consumer Cyclical,284.86133,60.45,72.4937
BABA,Alibaba Group Holding Limited,Consumer Cyclical,2093.38569,221.87,72.1356
CIG,Comp En De Mn Cemig,Utilities,1354.0905,2.31,70.7787
SBSW,D/B/A Sibanye-Stillwater Limite,Basic Materials,0.66189,16.89,65.6675
NUE,Nucor Corporation,Basic Materials,218338.08242,96.65,64.871
LPX,Louisiana-Pacific Corporation,Industrials,3200.93992,60.5,63.6594
ASX,ASE Technology Holding Co.  Ltd,Technology,4.20754,8.05,62.6708
INTC,Intel Corporation,Technology,1064194.95023,56.01,60.1519
MTH,Meritage Homes Corporation,Consumer Cyclical,106.27702,96.51,59.5296
MFC,Manulife Financial Corporation,Financial Services,237048.55117,19.83,59.0895
CCS,Century Communities  Inc.,Consumer Cyclical,523.84976,67.11,57.0231
LOGI,Logitech International S.A. - R,Technology,31346.51161,120.3,55.9657
SONY,Sony Group Corporation,Technology,21897.78981,98.25,55.2778
LMT,Lockheed Martin Corporation,Industrials,30297568.63754,380.22,52.5666
MKSI,MKS Instruments  Inc.,Technology,312555.5041,170.77,52.3352
RS,Reliance Steel & Aluminum Co.,Basic Materials,228831.7665,152.92,52.2152
MBT,Mobile TeleSystems PJSC,Communication Services,8679743.84031,9.28,51.2103
VSH,Vishay Intertechnology  Inc.,Technology,59233.03583,22.44,50.4467
FOXA,Fox Corporation,Communication Services,54101.25101,37.55,49.3745
FOX,Fox Corporation,Communication Services,60553.88007,35.56,48.9349
ABEV,Ambev S.A.,Consumer Defensive,32571907.62337,3.38,48.6516
SKM,SK Telecom Co.  Ltd.,Communication Services,7.39013,31.41,48.048
UHS,Universal Health Services  Inc.,Healthcare,1477474.89726,149.51,46.2508
NVO,Novo Nordisk A/S,Healthcare,14875966.6758,84.42,46.126
STLD,Steel Dynamics  Inc.,Basic Materials,4285603.87957,60.91,46.0746
LRCX,Lam Research Corporation,Technology,52257190.5646,633.07,46.0547
LOMA,Loma Negra Compania Industrial ,Basic Materials,0.20285,6.62,45.6057
NTAP,NetApp  Inc.,Technology,305779073.37668,81.96,44.9317
IMOS,ChipMOS TECHNOLOGIES INC.,Technology,21.78777,34.5,44.4124
CDW,CDW Corporation,Technology,174027837.1112,175.8,44.3098
DD,DuPont de Nemours  Inc.,Basic Materials,18298413.57495,78.6,43.7723
HIMX,Himax Technologies  Inc.,Technology,24883.71656,15.91,43.663
ESGR,Enstar Group Limited,Financial Services,1.06343,239.8,43.1226
WSM,Williams-Sonoma  Inc.,Consumer Cyclical,214742.10381,160.26,42.4647
HPQ,HP Inc.,Technology,2643209867.50761,30.35,41.8283
PBR.A,Petroleo Brasileiro S.A.- Petro,Energy,5318566.43107,11.46,41.5885
COOP,Mr. Cooper Group Inc.,Financial Services,3436239.46831,33.22,41.0203
PHM,PulteGroup  Inc.,Consumer Cyclical,33550.88176,55.82,40.9488
SRE,Sempra Energy,Utilities,6914764.28359,134.09,40.7927
TROX,Tronox Holdings plc,Basic Materials,56425.55197,22.1,40.7385
CDK,CDK Global  Inc.,Technology,70442706.26578,50.09,39.5407
AKAM,Akamai Technologies  Inc.,Technology,11932074.07562,117.08,39.4694
CE,Celanese Corporation Celanese C,Basic Materials,41572965.82112,153.14,38.8521
WGO,Winnebago Industries  Inc.,Consumer Cyclical,138399.28687,70.44,38.5219
ATKR,Atkore Inc.,Industrials,961268.59146,71.91,38.3188
MDC,M.D.C. Holdings  Inc.,Consumer Cyclical,18482578.7262,51.7,37.6095
PCAR,PACCAR Inc.,Industrials,2093583.28024,88.79,37.5521
TME,Tencent Music Entertainment Gro,Communication Services,142.33441,15.47,37.5306
UMC,United Microelectronics Corpora,Technology,1118.64671,9.27,37.1327
TM,Toyota Motor Corporation,Consumer Cyclical,1768.24961,175.48,36.617
CHKP,Check Point Software Technologi,Technology,901300.23593,116.73,36.5001
SAIC,SCIENCE APPLICATIONS INTERNATIO,Technology,264851.93208,88.26,36.4113
LAKE,Lakeland Industries  Inc.,Consumer Cyclical,0.04843,22.17,36.198
LDOS,Leidos Holdings  Inc.,Technology,1715506.30299,103.03,36.1431
SCI,Service Corporation Internation,Consumer Cyclical,68752784.674,54.21,35.1436
MPLX,MPLX LP,Energy,68327942.88696,29.84,35.0114
RIO,Rio Tinto Plc,Basic Materials,10155456.63902,82.72,34.8987
YY,JOYY Inc.,Communication Services,0.13258,65.22,34.8122
PGR,Progressive Corporation (The),Financial Services,6097069913.55266,98.84,34.7147
IRCP,IRSA Propiedades Comerciales S.,Real Estate,56613244.06148,10.24,34.6946
AZO,AutoZone  Inc.,Consumer Cyclical,42323337224.99871,1525.73,34.5088
CACI,CACI International  Inc.,Technology,1085604.95599,256.86,34.2523
ACN,Accenture plc,Technology,257193258.87591,300.0,33.4971
FN,Fabrinet,Technology,5382207.57709,95.9,33.4655
TRV,The Travelers Companies  Inc.,Financial Services,15647039.78757,151.83,33.4262
GIB,CGI Inc.,Technology,187073722.00652,91.3,33.3365
MATX,Matson  Inc.,Industrials,15222.08776,64.68,33.3023
TGS,Transportadora de Gas del Sur S,Energy,234.549,4.56,33.2818
DISH,DISH Network Corporation,Communication Services,2300292.41915,42.44,33.2538
KLAC,KLA Corporation,Technology,7987475.96298,311.74,33.0754
UNH,UnitedHealth Group Incorporated,Healthcare,31467306.95424,404.89,32.8153
UWMC,UWM Holdings Corporation,Financial Services,529849.68531,8.22,32.7341
FRO,Frontline Ltd.,Energy,15790.66051,8.7,32.6415
TGT,Target Corporation,Consumer Defensive,16003950.87928,243.47,32.5382
NVR,NVR  Inc.,Consumer Cyclical,603890.07591,5111.89,32.4717
