Symbol,Name,Sector,sss_value,close,appearance_counter
LEN.B,Lennar Corporation,Consumer Cyclical,155.08249,74.72,89.5393
LEN,Lennar Corporation,Consumer Cyclical,301.55471,94.97,77.1257
PGR,Progressive Corporation (The),Financial Services,415165.19981,99.96,73.0836
INTC,Intel Corporation,Technology,20119.43331,56.24,63.8552
LMT,Lockheed Martin Corporation,Industrials,3546034.73974,387.35,62.0815
DHI,D.R. Horton  Inc.,Consumer Cyclical,3693.9502,91.33,60.7957
UNH,UnitedHealth Group Incorporated,Healthcare,2920210.1913,407.96,53.4745
CI,Cigna Corporation,Healthcare,75575.15922,256.97,50.0609
COF,Capital One Financial Corporati,Financial Services,4408316.62545,166.29,49.8467
DD,DuPont de Nemours  Inc.,Basic Materials,1440024.27682,85.37,46.7101
BRK.B,Berkshire Hathaway Inc. New,Financial Services,1627.65951,291.97,44.2378
BBY,Best Buy Co.  Inc.,Consumer Cyclical,18587.08498,115.56,44.101
NUE,Nucor Corporation,Basic Materials,1580.1206,107.07,40.2183
ACN,Accenture plc,Technology,23283726.31056,279.63,39.5046
FOXA,Fox Corporation,Communication Services,1266.7004,36.62,36.4415
FOX,Fox Corporation,Communication Services,1929.69952,35.16,35.6798
DGX,Quest Diagnostics Incorporated,Healthcare,8754.40725,128.14,34.2413
LYB,LyondellBasell Industries NV,Basic Materials,94714.26332,116.73,34.0348
TMO,Thermo Fisher Scientific Inc,Healthcare,234707.61725,445.33,33.7896
DG,Dollar General Corporation,Consumer Defensive,2815384.45161,206.0,32.3828
LDOS,Leidos Holdings  Inc.,Technology,119601.27095,103.54,31.6424
CDW,CDW Corporation,Technology,4072297.38937,165.28,31.5358
VZ,Verizon Communications Inc.,Communication Services,394411.94387,56.98,30.5836
KLAC,KLA Corporation,Technology,668884.55268,308.78,30.4891
TGT,Target Corporation,Consumer Defensive,518811.57303,229.18,29.6964
CE,Celanese Corporation Celanese C,Basic Materials,3043184.49351,167.12,27.9794
SRE,Sempra Energy,Utilities,3509928.37358,137.01,27.9366
PCAR,PACCAR Inc.,Industrials,181079.36446,93.02,26.5949
VIACA,ViacomCBS Inc.,Communication Services,51334692.34142,46.06,26.486
NOC,Northrop Grumman Corporation,Industrials,4055993.6734,366.51,26.2247
GIS,General Mills  Inc.,Consumer Defensive,15218431.78111,63.8,25.8092
RS,Reliance Steel & Aluminum Co.,Basic Materials,6955.14417,169.48,25.6678
MU,Micron Technology  Inc.,Technology,26937.65889,82.03,25.1507
LRCX,Lam Research Corporation,Technology,12256174.63009,635.78,24.2745
TSCO,Tractor Supply Company,Consumer Cyclical,2115868.20238,177.96,23.8687
QRVO,Qorvo  Inc.,Technology,33971.61423,180.97,23.6476
NVR,NVR  Inc.,Consumer Cyclical,232950.7672,4747.07,23.5861
TEL,TE Connectivity Ltd. New Switze,Technology,110573351.26077,137.12,23.4444
TRV,The Travelers Companies  Inc.,Financial Services,1167568.16171,161.0,23.0748
ETR,Entergy Corporation,Utilities,1888526.66594,105.81,22.9677
AFL,AFLAC Incorporated,Financial Services,560487.25759,57.25,22.8898
ALL,Allstate Corporation (The),Financial Services,7089610.74251,136.26,22.7807
FHN,First Horizon Corporation,Financial Services,52.57146,19.11,22.5477
CB,Chubb Limited,Financial Services,140006.36058,173.4,22.3166
BIIB,Biogen Inc.,Healthcare,4837120.74087,272.55,21.99
BIDU,Baidu  Inc.,Communication Services,48.5651,189.97,21.7135
QDEL,Quidel Corporation,Healthcare,0.66027,107.84,21.5538
ZION,Zions Bancorporation N.A.,Financial Services,2271.7244,58.29,21.2853
PH,Parker-Hannifin Corporation,Industrials,15919781.02088,309.25,21.2257
AZO,AutoZone  Inc.,Consumer Cyclical,233399317.4132,1392.2,21.2146
DISH,DISH Network Corporation,Communication Services,256748.56646,44.89,20.9873
ALLY,Ally Financial Inc.,Financial Services,10348277.47623,55.14,20.3917
NEU,NewMarket Corp,Basic Materials,11844.11254,344.67,20.2582
VMW,Vmware  Inc.,Technology,36474354.07763,159.97,20.0777
WY,Weyerhaeuser Company,Real Estate,160370.25501,36.29,20.0546
ANTM,Anthem  Inc.,Healthcare,501277.19819,395.64,19.6319
WSM,Williams-Sonoma  Inc.,Consumer Cyclical,29477.28965,164.21,19.5669
SYF,Synchrony Financial,Financial Services,1418216.61982,49.85,19.2779
HD,Home Depot  Inc. (The),Consumer Cyclical,172518575.527,311.43,19.1229
SWK,Stanley Black & Decker  Inc.,Industrials,872987.86266,212.22,18.8473
STLD,Steel Dynamics  Inc.,Basic Materials,114258.78804,64.22,18.8071
MKSI,MKS Instruments  Inc.,Technology,146874.66354,181.73,18.7361
ABT,Abbott Laboratories,Healthcare,376462.06476,109.2,18.4979
EBAY,eBay Inc.,Consumer Cyclical,125574305.88051,64.07,18.4746
C,Citigroup  Inc.,Financial Services,26127114575.84585,79.63,18.2506
STX,Seagate Technology Holdings PLC,Technology,73806038.10776,97.57,18.0405
PEG,Public Service Enterprise Group,Utilities,22232815.28215,61.71,17.8389
LH,Laboratory Corporation of Ameri,Healthcare,2871389.33526,265.18,17.7434
AKAM,Akamai Technologies  Inc.,Technology,464421.2071,114.56,17.6522
HPE,Hewlett Packard Enterprise Comp,Technology,431595.02887,15.9,17.0477
KMI,Kinder Morgan  Inc.,Energy,31115267.95888,18.77,16.9259
MMM,3M Company,Industrials,91304098.58981,203.67,16.8984
PFE,Pfizer  Inc.,Healthcare,1955123.65236,38.97,16.7714
FCX,Freeport-McMoRan  Inc.,Basic Materials,4428139.29065,41.87,16.3609
LITE,Lumentum Holdings Inc.,Technology,195.27581,80.69,16.0773
VRTX,Vertex Pharmaceuticals Incorpor,Healthcare,26241.43566,211.15,16.0156
OMF,OneMain Holdings  Inc.,Financial Services,2646.03097,59.32,15.8642
CDK,CDK Global  Inc.,Technology,2006071.17098,52.57,15.7577
KR,Kroger Company (The),Consumer Defensive,130234.40339,38.49,15.685
REGN,Regeneron Pharmaceuticals  Inc.,Healthcare,27242.51762,505.66,15.6609
QCOM,QUALCOMM Incorporated,Technology,850294.81722,131.78,15.6157
SCCO,Southern Copper Corporation,Basic Materials,361613.55208,69.4,15.459
AMAT,Applied Materials  Inc.,Technology,13419264.18729,136.38,15.0732
CCK,Crown Holdings  Inc.,Consumer Cyclical,1923629.9848,100.6,14.7944
VIAC,ViacomCBS Inc.,Communication Services,39557112.03766,41.58,14.2251
AXP,American Express Company,Financial Services,10322502.87638,164.52,14.096
RJF,Raymond James Financial  Inc.,Financial Services,115110.98021,132.9,14.0281
BAC,Bank of America Corporation,Financial Services,97679582621.68033,43.25,13.7744
ATH,Athene Holding Ltd.,Financial Services,554.22125,62.85,13.7067
CNC,Centene Corporation,Healthcare,2755.75153,72.41,13.6677
BAH,Booz Allen Hamilton Holding Cor,Industrials,352851.42317,85.22,13.5672
AAPL,Apple Inc.,Technology,30963475.21507,123.54,13.4035
SCI,Service Corporation Internation,Consumer Cyclical,1062214.56354,52.53,13.2661
PHM,PulteGroup  Inc.,Consumer Cyclical,5734.42418,56.31,13.1446
TSN,Tyson Foods  Inc.,Consumer Defensive,607417.34828,79.17,13.0957
UHS,Universal Health Services  Inc.,Healthcare,343133.72371,158.86,12.9755
ES,Eversource Energy (D/B/A),Utilities,2185622.25519,82.2,12.8427
MRK,Merck & Company  Inc.,Healthcare,2759269.7514,73.91,12.7348
ANAT,American National Group  Inc.,Financial Services,14588.34704,147.31,12.5897
HCA,HCA Healthcare  Inc.,Healthcare,1056361411.12891,213.26,12.5139
RF,Regions Financial Corporation,Financial Services,12284476.98903,22.94,12.5031
SSNC,SS&C Technologies Holdings  Inc,Technology,14989041.89573,72.74,12.4
AVY,Avery Dennison Corporation,Industrials,57255811.51747,219.25,12.3387
HUM,Humana Inc.,Healthcare,226720.25738,430.65,12.1227
GM,General Motors Company,Consumer Cyclical,205098.06213,63.46,11.9466
CMS,CMS Energy Corporation,Utilities,3500137.76656,62.67,11.8388
HPQ,HP Inc.,Technology,12687759.0159,29.93,11.8234
IBM,International Business Machines,Technology,60094855.9083,145.55,11.7459
KEY,KeyCorp,Financial Services,4699474.73076,23.0,11.7164
KEYS,Keysight Technologies Inc.,Technology,5323699.84314,145.03,11.5536
WLK,Westlake Chemical Corporation,Basic Materials,102759.11167,105.14,11.482
G,Genpact Limited,Technology,2515355.10279,45.77,11.4553
CPB,Campbell Soup Company,Consumer Defensive,6493802.83707,49.42,11.4267
DELL,Dell Technologies Inc.,Technology,6430842.119,101.66,11.3913
GHC,Graham Holdings Company,Consumer Defensive,153598.83189,647.05,11.2658
BEN,Franklin Resources  Inc.,Financial Services,236588.58903,35.54,11.2575
NEM,Newmont Corporation,Basic Materials,9001677.09884,71.06,11.2572
SC,Santander Consumer USA Holdings,Financial Services,3430138.54876,38.14,11.1106
JD,JD.com  Inc.,Consumer Cyclical,1562.31743,75.52,11.0482
ORCL,Oracle Corporation,Technology,107797125.8603,81.09,10.9631
COST,Costco Wholesale Corporation,Consumer Defensive,33577366.97676,383.87,10.9393
DTE,DTE Energy Company,Utilities,14921448.16028,137.66,10.7899
CTSH,Cognizant Technology Solutions ,Technology,166717.32757,70.8,10.6477
CVS,CVS Health Corporation,Healthcare,1777938.23298,87.06,10.5573
NXST,Nexstar Media Group  Inc.,Communication Services,30669.75588,148.66,10.4522
CAG,ConAgra Brands  Inc.,Consumer Defensive,4820975.54161,38.81,10.3884
XEL,Xcel Energy Inc.,Utilities,26894896.91102,70.48,10.3866
CMI,Cummins Inc.,Industrials,4407674.87802,260.97,10.3609
AVGO,Broadcom Inc.,Technology,6004308.74871,464.8,10.3259
CSCO,Cisco Systems  Inc.,Technology,56923926.55307,53.33,10.131
AMD,Advanced Micro Devices  Inc.,Technology,7364930.52799,80.28,10.0256
NTES,NetEase  Inc.,Communication Services,1041.78301,113.66,9.8155
GOOGL,Alphabet Inc.,Communication Services,4711014.21906,2347.58,9.5298
FTV,Fortive Corporation,Technology,12767523.08288,73.55,9.4591
GOOG,Alphabet Inc.,Communication Services,6641581.8044,2404.61,9.1972
AMCR,Amcor plc,Consumer Cyclical,3225520.02723,11.94,9.0568
ADP,Automatic Data Processing  Inc.,Industrials,1999398053.3496,196.99,9.004
FNF,FNF Group of Fidelity National ,Financial Services,162823.90022,46.9,8.9435
ORI,Old Republic International Corp,Financial Services,165806.39915,26.32,8.8184
OLLI,Ollie's Bargain Outlet Holdings,Consumer Defensive,26511.23807,86.62,8.7394
PKI,PerkinElmer  Inc.,Healthcare,6185.03741,138.61,8.6457
ADI,Analog Devices  Inc.,Technology,33406959.74524,162.07,8.6428
K,Kellogg Company,Consumer Defensive,24813143.42205,66.73,8.5284
CHKP,Check Point Software Technologi,Technology,138164.714,117.81,8.4612
DOX,Amdocs Limited,Technology,2178370.27755,80.06,8.4026
GRMN,Garmin Ltd.,Technology,10974237.13343,142.22,8.3809
TER,Teradyne  Inc.,Technology,11278741.75545,128.32,8.2784
AMCX,AMC Networks Inc.,Communication Services,280556.10048,56.77,8.241
